episodes,rewards
0,-100.27205531319417
1,-141.39553660938236
2,-183.51025517274337
3,-89.90080455330472
4,-411.5799887249863
5,-59.82539298277128
6,-74.0949781728443
7,-346.3277650639193
8,-212.5835652142223
9,-134.88062766710425
10,-216.77366716645002
11,-264.57812699787246
12,-257.3113720911533
13,-60.33067159144679
14,-71.28699006470521
15,-101.18476855908743
16,-75.66497115846606
17,-313.1736362483112
18,-280.9333267513135
19,-76.65243524873185
20,-168.8930025397372
21,-331.34351723440466
22,-987.8933550158188
23,-367.6722068346389
24,-245.48226019184526
25,-430.78067044880925
26,-141.82050580395628
27,-232.96980089696947
28,-502.79455588416886
29,-442.3982895406929
30,-60.33400273095023
31,-500.93926800583876
32,-268.93545666125243
33,-447.4425477903197
34,-446.9918822531803
35,-384.25729817221503
36,-94.19483805271516
37,-144.1891181892635
38,-236.05471461638294
39,-157.5818192628799
40,-63.73287429480118
41,-220.92836560516344
42,-108.3799749896998
43,-291.3492821008512
44,-165.33519171857012
45,-74.31011568374821
46,-70.90699028510718
47,-322.10930937812964
48,-211.54125344470697
49,-169.06378146269768
50,-258.49390957458127
51,-67.02396841870589
52,-112.43054003534154
53,-106.75198314979913
54,-103.38672761469346
55,-148.72383206490656
56,-132.11891804231024
57,-120.94874391401036
58,-68.26216570203577
59,-152.64661739010586
60,-95.87145993091137
61,-92.63723986238459
62,-120.42644576210776
63,-129.43022404033377
64,-177.1691727303206
65,-63.30919569411641
66,-201.98908072241895
67,-101.5694000708507
68,-116.18090757556818
69,-220.4401514224304
70,-130.97775154483213
71,-257.8523594403946
72,-126.62998700922778
73,-95.44048998890355
74,-46.11025586227646
75,-233.85596526033598
76,-59.7889640857397
77,-124.23052039551872
78,-166.39309310045417
79,-219.46580771848295
80,-55.90981310958429
81,-138.04097405437295
82,-95.94960864885157
83,-72.9362808270754
84,-143.97923424599026
85,14.161712454385963
86,-314.76999555308157
87,-50.82038814722744
88,-62.949101362121205
89,-265.67631553824503
90,-311.3085842064323
91,-352.1461999790846
92,-204.26671040547913
93,-97.5338057823747
94,-130.7584567255019
95,-31.97615920932391
96,-214.25113119443571
97,-317.44669087665227
98,-233.26667452940487
99,-148.63139054220454
100,-144.99219807426442
101,-337.45316700038126
102,-382.5695599954033
103,-242.03586579849411
104,-176.09782187266
105,-199.51661851808907
106,-41.94941336718196
107,-313.22659434416545
108,-67.8488862663364
109,-280.01208369840845
110,-150.50690036756657
111,-62.13525186286078
112,-72.2895870576565
113,-506.729445851395
114,-110.25369733748931
115,-53.51217970472875
116,-87.05208522797807
117,-311.76884625283446
118,-261.2999609434705
119,-197.95718390482935
120,-237.38407406948087
121,-106.62929486773987
122,-266.11624438185794
123,-150.4367844557308
124,-66.23100618443829
125,-269.2813245975518
126,-304.0586129275641
127,-123.9860004776627
128,-89.54389730631699
129,-237.0243735340949
130,-59.24748328093021
131,-308.7707584281966
132,-184.40833660386215
133,-56.452106791124606
134,-145.56748091755054
135,-76.92855618090783
136,-64.42079984972304
137,-281.17956678936787
138,-176.6422291406419
139,-101.8867837415366
140,-115.37966040556292
141,-72.61380225814904
142,-118.07025043757457
143,-150.28862473335775
144,-21.2891617309148
145,-85.98690178747036
146,-84.8858114598645
147,-108.81942999046375
148,-83.11751502116472
149,-135.62183505748547
150,-80.24482753907495
151,-111.52995024603577
152,-124.77163368622934
153,-67.51902681784775
154,-90.49946544811853
155,-82.90932782740634
156,-190.94478298386275
157,-117.62242452669604
158,-290.6964990997253
159,-50.95858090576054
160,-200.08032241064615
161,-122.95021311298578
162,-240.12603270366697
163,-63.14128087359073
