episodes,rewards
0,-294.52898816514426
1,-421.58900028483316
2,-124.00597736675232
3,-419.223355517835
4,-109.97610831132123
5,-106.77997217001196
6,-70.51510731749659
7,-126.66759879717098
8,-299.6838409311763
9,-237.69693609342025
10,-40.21697394521519
11,-351.70751944647805
12,-245.0330454645833
13,-133.8391042992639
14,-315.3729008821875
15,-394.8993889644045
16,-326.7476417662966
17,-76.26726354970894
18,-401.69936663812314
19,-126.87144953324591
20,-24.67159061098735
21,-365.6185216942728
22,-71.15297118369509
23,-227.63907416862162
24,-74.39054492414985
25,-154.41038833092676
26,-168.99897084795015
27,-79.43988528804394
28,-218.07947925516265
29,-125.311809398459
30,-491.81085945336997
31,-101.51604622927104
32,-374.23000793670747
33,-115.26212829052028
34,33.10856115672652
35,-340.869119497795
36,-119.11200728102486
37,-215.36259677077823
38,-115.38660269740913
39,-71.37276527862036
40,-278.9200752342538
41,-210.91951490405017
42,-347.2411006424311
43,-258.1270643233037
44,-375.52683098989735
45,-97.5542343265962
46,-111.64289374422916
47,-471.08407062037656
48,-249.4582248937505
49,-120.50436748489169
50,-223.12292920947385
51,-284.5166726020934
52,-336.93988772733564
53,-80.02763870472265
54,-254.02898469047
55,-266.76365081456936
56,-251.6324227925778
57,-397.43944648044396
58,-71.33647177192266
59,-293.47294186762224
60,-150.6112400838456
61,-459.67533584275543
62,-334.41740735569874
63,-295.74212870378824
64,-206.45636198685975
65,-73.17421871596073
66,-50.27737165837212
67,-314.1527680393764
68,-209.13849006769237
69,-83.10909655366513
70,-199.54141006811943
71,-44.80117288096199
72,-79.20534714394542
73,-167.67441751905608
74,-38.74682940427277
75,-148.73071367235195
76,-264.02299514566306
77,-162.1858794275688
78,-190.50547125309316
79,-72.13405452479802
80,-160.63649595366263
81,15.502318461631816
82,-306.9316617764399
83,-193.10251269029138
84,13.337362093168437
85,-177.37144696905884
86,-175.53926500113988
87,-6.072939079390679
88,-8.87431915273335
89,-101.98348063764116
90,-16.617662202161995
91,-286.91248370063164
92,-50.71519669044181
93,-196.0114115815736
94,-476.99230740397644
95,-235.24049322621363
96,-240.3253948825088
97,-274.8511043326274
98,-257.7308016393305
99,-254.29195654217455
100,-235.4395746599144
101,-175.55940306634335
102,-402.8091810216499
103,-207.833130711271
104,-200.56825184224545
105,-165.0590806287314
106,-396.3394429961135
107,-196.07773333491764
108,-154.9572374411536
109,-136.584791799721
110,-231.47107597819019
111,-13.05087093229858
112,-302.2740645257071
113,-16.66193780867259
114,-343.6552495173745
115,-214.76913765402816
116,-40.40350607067751
117,-259.46403982014056
118,-226.3676357849241
119,-258.39419679860225
120,-139.98167321436932
121,-199.76076598479744
122,-176.36249598397302
123,-261.05850307667913
124,-75.21656771901422
125,-247.24858298057768
126,-239.70122444717606
127,-215.9369362150428
128,-114.85969843734281
129,-85.12179055278246
130,-223.49105740801696
131,-61.260507308296056
132,-158.0028013358993
133,-227.52431031030727
134,-56.910873809621755
135,-204.34107784426166
136,-200.77035801873834
137,-307.3533168156972
138,-89.76721282806587
139,-304.8610590066926
140,-1.3157384301429147
141,-185.0874189529874
142,-271.9752359937338
143,-65.50036600352644
144,-121.61724418964403
145,-429.4588242124813
146,-465.78279280217123
147,-118.57626357976437
148,-77.36525725083295
149,-74.78399998430089
150,-253.728647058092
151,-161.95110453813146
152,-63.05132567495326
153,31.159140651998484
154,-134.10763300189603
155,-210.7077593801689
156,-128.0571410213124
157,-328.79031352019285
158,-280.1082071124065
159,-221.2831734810233
160,-262.7343875694718
161,-358.89363597925325
162,-213.4540459718197
163,-256.878847500854
164,-113.64750335306216
165,-267.43046629477084
166,-276.58551990043054
167,-184.0576804267842
168,-272.5400345880988
169,-80.80481663630613
170,-231.59451196136354
171,-112.73363098087607
172,-193.23044198931092
173,-181.4614578852199
174,-208.87598464081006
175,-241.39740527472142
176,-93.94102789959693
177,-49.31513402289771
178,-213.51679041076457
179,-44.49161424614211
180,-143.28525675321558
181,-26.815731943112652
182,-94.28156170392948
183,-198.75039302548828
184,-305.2256175393809
185,-70.23450801568755
186,-215.22270700027937
187,-28.78055165329465
188,-178.36648623639007
189,-283.8080733475979
190,-184.31366147892606
191,-208.66169437995774
192,-162.20136614286116
193,-245.00736723426553
194,-222.55542168339073
195,-204.6423674303545
196,-191.9075816839738
197,-345.71623999158567
198,-188.0406387887963
199,-84.88700176403233
200,-84.58726331632843
201,-359.29098840233075
202,-184.70386515778893
203,-144.88412591573436
204,-540.3978994464048
205,-58.80860980329298
206,-222.66433065220474
207,-357.03435038186973
208,-231.63150576584803
209,-202.14281203288158
210,-507.45869744048525
211,-233.21226188604118
212,-207.7087261037168
213,-89.99182241401579
214,-249.15020157553346
215,-188.47567698163977
216,-186.364266986205
217,-208.69333851979343
218,-147.32990532545392
219,-160.2936888227613
220,-168.08029296100997
221,-164.15035094500792
222,-347.2432564760471
223,-117.87545586252436
224,-154.31442382768427
225,-304.4882397157853
226,-330.89907634839255
227,-94.57512363236556
228,-392.83117100819493
229,-353.31279596798885
230,-205.60649154169806
231,-182.10918463546597
232,-231.0984441862359
233,-64.33000399207957
234,-233.26464586299565
235,-170.13555547685627
236,-264.73176077173025
237,-295.6159561370472
238,-182.1987115534873
239,-222.1308084295817
240,-395.8153442366861
241,-47.82963312212047
242,-280.50150862378064
243,-191.6010979130728
244,-103.72995043194814
245,-53.32871987594808
246,-168.53351342406486
247,-205.10803507764462
248,-110.79975067673341
249,-231.0308807065831
250,-174.25431306023796
251,-173.7138864377314
252,-138.68598061975567
253,-283.3496657021143
254,-203.41783461599425
255,-212.88652166523386
256,-155.81056112434663
257,-242.00030595776113
258,-230.26566375441362
259,-360.44471372960305
260,-259.5239292444155
261,-250.50326685438944
262,-186.24124264706316
263,-186.16103665558563
264,-362.37025022901105
265,-247.9210901785425
266,-206.21165075195097
267,-211.33814371435102
268,-229.6653547123557
269,-91.39131853199385
270,-193.2646514610235
271,-108.17200118635469
272,-80.85325861957938
273,-172.58793034479402
274,-203.7024287111995
275,-264.5381124310791
276,-280.3689664734154
277,-242.43872509261016
278,-377.59945274275407
279,-248.49018304888725
280,-241.00789068937996
281,-96.85841153562379
282,-166.27170560092867
283,-245.70148439536922
284,-25.65412924113285
285,-68.25441716263995
286,-11.052662096009357
287,-345.2691584910866
288,-85.5765577088302
289,-75.21079762395686
290,-91.38190270197323
291,-24.967789556096747
292,-245.43024862201287
293,-140.9882130160765
294,-127.14408713001814
295,-70.71689885548165
296,-216.93801946639775
297,-326.8218526666707
298,-188.50700342168537
299,-141.05930220839195
