episodes,rewards
0,-119.66023296716338
1,-108.7452869562228
2,-78.0748881570633
3,-90.71841181035468
4,-552.9969293314032
5,-196.5572737662027
6,-144.22986219184156
7,-75.17090650818037
8,-72.63496964302419
9,-58.93745348147641
10,-67.0841357787135
11,-42.546471273438115
12,-239.98016192220214
13,-379.9434706261603
14,-577.7489256232952
15,-48.09916760274542
16,-211.30591393477354
17,-176.57867056641797
18,-153.4974483301056
19,-158.5139246947954
20,-161.6882811972987
21,-99.32148403907853
22,-26.524794988413475
23,-234.6808292636309
24,-4.060213257396256
25,-209.2365133176778
26,-25.96622070984533
27,-30.840986463578417
28,-65.20167625647491
29,-11.184583396396405
30,133.9313488401713
31,-140.01552099915614
32,-83.26082746840308
33,-119.17682001741952
34,-274.99312358369207
35,-119.76050846090959
36,-99.70087321047063
37,-82.21909442472214
38,-121.40281242940159
39,-41.23292552598083
40,-9.48420446351725
41,-190.9317318902275
42,-146.93511986424002
43,-119.32605455274272
44,-89.43079336960821
45,-7.851264716373066
46,-150.88656940599395
47,-167.68780274374095
48,-98.94608023962675
49,-34.89193197640279
50,-201.6547090093734
51,-126.99007626392263
52,-96.7355379570415
53,-87.96519360928676
54,-123.33627509880404
55,-126.44206890881362
56,-35.46873562056331
57,-49.93631141388242
58,164.51117895190333
59,-167.9167807896311
60,-91.36424715252735
61,207.6076865197871
62,-84.37385370173403
63,-138.97891331938303
64,-111.6320833669375
65,-36.70917299345622
66,-80.72418012790989
67,-75.44844165079857
68,-100.3475170502296
69,-64.14913690931753
70,-81.7800078891051
71,-65.62079897595338
72,-19.184204866507393
73,-180.3927751205001
74,178.58492255434027
75,-44.377601860451634
76,-193.08251922587274
77,-212.47395579491916
78,-31.682468004395986
79,-166.647279413751
80,284.8791566102392
81,205.59558641499237
82,-107.08546529329935
83,-152.4237268142733
84,-164.6573099895789
85,-98.29217507462367
86,-119.11391008106389
87,-181.27489186141128
88,-145.62750027600546
89,-81.13721240729734
90,-68.12329156917522
91,-57.33309571628328
92,-129.45857452875643
93,-35.119898316415856
94,-21.853345574324365
95,-100.85559130319884
96,-100.62375695328912
97,21.733264449445542
98,18.020329153991213
99,-201.21994492376763
100,-161.4607574666663
101,-262.95677143412775
102,-221.98107473831257
103,-121.08965619552326
104,-92.44638870277237
105,-32.842130508578755
106,237.74844789560765
107,179.6507744514299
108,-92.80769377422419
109,-201.47606893812804
110,-70.7062472194724
111,-25.25284953910566
112,231.03228545413538
113,-102.93586722345077
114,-23.112986442250453
115,-67.27349397661835
116,-83.85687707876745
117,-51.09601845204325
118,-72.12611002685784
119,99.67212284466319
120,-141.55121232264426
121,-54.62884322565269
122,-150.63336084097077
123,-99.6502738012871
124,-171.82686309402501
125,-190.57807040729847
126,-172.8660248855244
127,-101.7921337990879
128,-39.46858482888178
129,-87.75962788245364
130,-17.61312682390387
131,-63.610875480441976
132,-291.7118823958293
133,0.891460018557626
134,20.17714404791221
135,-76.77609672521555
136,-88.14147459951174
137,-130.11652213700455
138,-133.08654162471376
139,-95.7261586650035
140,-48.32232666484846
141,210.67015384902385
142,-55.7915840081455
143,-73.1352153657714
144,208.2089595516691
145,-28.527365158889246
146,-176.66115717382866
147,-42.90985740771582
148,41.32624012379142
149,-7.357240101994065
150,-77.17859521699548
151,-87.55074588423889
152,-158.59522552222194
153,-249.57597667957754
154,-419.36245096401075
155,-120.16236459990577
156,-36.631707806372425
157,-24.386200403479027
158,229.4287034355361
159,-85.80365793596232
160,-118.92483262939432
161,-113.50454562414076
162,-130.93180571682493
163,-81.59973277274705
164,-40.863902028083054
165,-85.98608679277605
166,-123.68346153401748
167,-20.92176536792461
168,-84.54310000062348
169,-13.295031527244525
170,-60.337817863073056
171,-70.7121163444894
172,-102.44009336929963
173,28.812654715991698
174,55.94313074631779
175,-73.9705989116495
176,-124.67287907017028
177,-27.126896470679316
178,-106.39871363016927
179,-107.9072927346373
180,-52.336975324117674
181,-34.67282466522908
182,-28.36206886444814
183,-37.99047927655814
184,-39.95495641729121
185,-56.05836911069689
186,-112.10519739324839
187,-47.87669874808254
188,-78.33552778470936
189,-101.70254381967698
190,-89.70752874372432
191,-94.09916311446577
192,-118.91935832659243
193,-73.52479754099467
194,-50.71717476429876
195,-126.8719450375217
196,-33.54393618209791
197,-61.55278033416229
198,-55.31419044892765
199,-61.61949499739781
200,-62.70426833251372
201,-150.65911808266273
202,-8.323722751935506
203,-71.50203655150072
204,-129.81850654761112
205,-94.93642302604056
206,-73.51209310664261
207,-120.43453402092699
208,-102.12082297666308
209,-323.4079411709879
210,-101.864826660519
211,-76.66984886401266
212,-66.74847882619775
213,-96.62840753740862
214,-61.47934169608619
215,-35.85356409718235
216,-62.67856419353605
217,-89.29950827171166
218,-31.375310512967495
219,-230.67966351372073
220,-333.3133122873405
221,-154.01488723503417
222,-158.11586996556497
223,-280.28142841322614
224,-48.05287457335913
225,-2.5230077724723663
226,-58.15521171075055
227,-58.54763006179542
228,-23.266928267059388
229,8.773030554932497
230,-42.89024533213116
231,-150.14930585252762
232,-265.8737405964509
233,-44.830890290650565
234,-20.333517441705215
235,-124.87257563921625
236,-6.9106176037873475
237,-153.8711482603317
238,-136.99567450713502
239,-129.71234884548988
240,-349.03966685468436
241,-147.0390917397029
242,-98.98658963896239
243,-2.3781093579264185
244,-88.56006375892758
245,-164.93094897917442
246,-150.96216054441007
247,-90.83824938195461
248,-64.4905048615662
249,-117.26510660415309
250,-89.21563274248916
251,-256.24662650058076
252,27.580390586714557
253,-58.9578723823699
254,-18.953728053194872
255,-5.859135589311084
256,-141.5907016037526
257,-55.03370090744951
258,-48.49408731189032
259,-99.08793079910828
260,-14.522061930040508
261,-106.49224575891357
262,-137.53904807426684
263,-112.41854792522389
264,-56.50111567980814
265,-62.81427853461346
266,-56.2642724079953
267,-129.54313323430944
268,-493.8781248219434
269,-122.20991781176687
270,-103.98283752236459
271,-133.06664326440648
272,-85.35180970129136
273,-21.46379626455176
274,-71.5081162043777
275,-1.3580186618834407
276,-144.45190671200473
277,-30.418341675019725
278,-24.89109190388011
279,-33.14082998272444
280,-84.51274813164359
281,-133.31263814448835
282,-115.67742985847141
283,-125.65498297255913
284,-82.85306955361803
285,-156.6330556211832
286,-63.60428207213447
287,-128.1905664949825
288,-40.54644116602336
289,-101.01785700804264
290,-35.84564447949798
291,-49.67730221401295
292,-54.40150253686261
293,54.25220956530376
294,-54.03473162629544
295,-82.42747234717235
296,-64.01338910975294
297,-24.580850510659925
298,-15.814393455816138
299,136.61099587630798
