episodes,rewards
0,-103.43048569968731
1,-94.62403765183538
2,-321.6791638044299
3,-92.40627036698575
4,8.941825620327023
5,-190.82436202084006
6,-364.8888466959988
7,-35.74170255075779
8,-225.63965715446392
9,-94.63351029722463
10,-124.538320636421
11,-188.53998837032407
12,-81.30908590024126
13,-90.81435684492075
14,-38.78313082469798
15,-560.3217977404206
16,-574.0858112541937
17,-230.0026767798414
18,-101.79367999724997
19,-112.88371059008655
20,-131.54316537212344
21,-15.63397460738473
22,-196.1726140657497
23,-16.991682683321883
24,-54.86010692907354
25,-78.9408301227754
26,-32.534295596777
27,-127.38126181861628
28,-64.45715916147299
29,-80.89677624109193
30,-36.19930079013898
31,-288.88918464330527
32,-80.35949326460887
33,-103.6390305423228
34,-115.98523495806845
35,-125.18278862232158
36,-111.07039447477291
37,-126.9582646073452
38,-121.40417375579226
39,-114.17749519738658
40,-327.18555135298675
41,-418.17575136543985
42,-403.9765842044447
43,-82.09726159085005
44,-61.35599089557169
45,-67.1713017374723
46,-92.15193441051288
47,-113.87547462940043
48,-130.75046440036292
49,-102.32202762672762
50,-63.35385835470569
51,-133.567773765149
52,-286.6465309036894
53,-103.45307490680806
54,-46.97932068654176
55,-76.63467898791755
56,-77.76627567611655
57,-82.55667063257815
58,-83.87233455087183
59,-99.04329006154965
60,-170.0524869048389
61,-204.68643940586534
62,-157.7505663195119
63,-126.62865557997598
64,-153.2687887379947
65,-166.0798425706666
66,-58.928909721844406
67,11.609334386273645
68,-148.86956090014914
69,-46.6372828538091
70,-285.2591908596337
71,-12.681292298664857
72,-242.87469834318676
73,-166.26527769478378
74,-50.08546107957984
75,-97.08949920378159
76,-117.03708629187474
77,-34.63686825116101
78,-39.3651874985383
79,-127.22525570380328
80,-89.90044303710006
81,-81.184462377607
82,-97.82670952109925
83,-103.8779210419481
84,-246.86492446266837
85,171.63703221523028
86,-64.93267236329524
87,-560.1905953080907
88,-80.61524976495606
89,-23.830220540929133
90,-311.40861294273395
91,-18.279435426571936
92,-332.1488506377708
93,-746.1508937616917
94,-318.3123807108734
95,-356.4548627530594
96,-301.8522170348815
97,-146.44962446850985
98,-330.60597571681706
99,-130.81403122068343
100,-37.322527735504075
101,-139.7393597938462
102,-105.54587751130943
103,-131.8841021969598
104,-232.40227850859767
105,-90.81126303754722
106,-139.27835971894925
107,-155.19763230787464
108,-417.6809130280721
109,-33.77512145531556
110,-60.815359924091254
111,-148.36668235490308
112,-99.03951476841455
113,-137.89695407041236
114,-129.31110709145457
115,-106.26905893000504
116,-153.59146452396976
117,-103.46029572532002
118,-129.57238081388508
119,-524.5924516626776
120,-181.30557041348771
121,-34.781742399258604
122,-468.02925392152713
123,-47.14470570256062
124,-220.0900302779244
125,-319.805723774953
126,-334.0488027686061
127,-168.57545128308647
128,-83.04903646794982
129,-77.61003802689999
130,-372.7981000978805
131,-367.26768431734854
132,-50.53773162594513
133,-106.71116188655044
134,-101.73517800769899
135,-14.27194175818535
136,-108.29406914444638
137,-139.5915983557044
138,-19.680832927218276
139,-419.5335033491629
140,-76.00807924401957
141,-15.262360350548917
142,-126.06355351088672
143,-671.1367434208001
144,-239.08583703028148
145,-364.77042530299593
146,-193.83469045628664
147,-181.42988398523016
148,-116.65994949812357
149,-324.7228004839003
150,-272.12719978071345
151,-93.70104591427699
152,-127.41494482409288
153,-157.39542853388062
154,-83.18754626313007
155,-160.04245197535167
156,-43.165091465687254
157,-108.5524093000757
158,-213.3975228557725
159,-125.82989887077333
