episodes,rewards
0,14.07131030393785
1,-105.91478812782417
2,-90.50610507291503
3,15.457789489129652
4,-317.8946003366524
5,-119.29344996781484
6,-171.6151567084899
7,-185.16157946515688
8,-142.4145137551585
9,-130.36972978869588
10,-246.42658037086187
11,-197.9685911487333
12,-109.08342236289059
13,-115.10148317518843
14,-125.72475095509463
15,-179.17611631371142
16,-93.63686950149959
17,-44.85702773663563
18,-191.27613772237697
19,-120.55801858113932
20,-111.68167736678046
21,-286.15961768838827
22,-133.43379961984166
23,-96.67913342078981
24,-110.52526648824174
25,-103.64757003462287
26,-371.7865882428493
27,-238.72406225270603
28,-107.69877983754363
29,-187.25809882784557
30,-291.94727583514157
31,-126.74448909288381
32,-256.9864855639196
33,-102.67281080850877
34,-74.35528223907903
35,-68.10358228449697
36,-324.8696982758511
37,-27.14596125324465
38,-102.90157809080539
39,-106.8864892126052
40,-94.65160138582576
41,-34.370806891754
42,-130.44161874717682
43,-172.38295587497083
44,-213.35644274402918
45,-526.1744864821517
46,-282.0527514853452
47,-312.88866981819115
48,-323.2913970785173
49,-214.82131258388455
50,-139.36817969950178
51,-58.90047550404716
52,-80.48043085205735
53,-2.748230937784399
54,-149.8966383415733
55,-48.690764139497176
56,-175.2579812200225
57,-287.29446774650893
58,-21.96436485632303
59,-205.5510901070026
60,-213.95604010112544
61,-258.88830248975773
62,-279.2605888262724
63,-444.2436541872095
64,-356.06535245129044
65,-155.70247679978638
66,13.113896419997715
67,-152.97283684288914
68,-233.0077478828845
69,-241.40342388993966
70,-149.94673202811424
71,-142.19258415246588
72,-299.01315080195945
73,-283.2367519193177
74,-115.24353653791101
75,-229.1663743449934
76,-129.4139739711268
77,-110.89498468752915
78,-59.13840960023738
79,-162.68731733542103
80,-50.392207670136784
81,-157.58456314735017
82,-88.62622592967189
83,-53.42692495817219
84,-271.846212119913
85,-377.4238495825153
86,-246.6890386904139
87,-188.13241202242477
88,-147.80496482987056
89,-214.14272799533845
90,-409.5339760815792
91,-315.955211574347
92,-74.00543088739167
93,-69.08591057605548
94,-129.1294402089148
95,-271.72727305607145
96,-320.2164208489054
97,-137.0106163485391
98,-259.3495607676654
99,-27.083264542346768
100,-180.97089844457844
101,-108.75586065444897
102,-103.14612415450325
103,-252.59462554668812
104,75.81543252179594
105,-62.963099096675634
106,-83.7858581631311
107,-105.48051293433102
108,-93.58510500766683
109,-323.4106620156947
110,-223.06351434287433
111,-180.2493006458589
112,-302.07250009640177
113,-227.26952400153257
114,-101.85789481416266
115,-291.44195694184555
116,-190.5376538505871
117,-180.3346082880281
118,-170.51029215547413
119,-282.5912470705596
120,-119.07905619140459
121,-170.75343157560008
122,-261.51974242341737
123,-181.40366239611552
124,-36.90249128805519
125,-246.3425609856381
126,-56.12992704615864
127,-252.37229272343876
128,-320.56171212128163
129,-212.63878967313144
130,-140.8047337095046
131,-188.4850537600475
132,-100.28659157512261
133,35.209208886607996
134,-113.63280162307194
135,-123.85379940041186
136,-165.6515112765885
137,-130.54951474516565
138,-171.25390923441358
139,-255.03254120990204
140,-36.71257588235804
141,-125.19460486050245
142,-91.28084511743711
143,-114.36887243281403
144,-205.04118052558198
145,-151.36811115289336
146,-110.17032000112476
147,-70.55551156730377
148,49.18475618456551
149,-196.5622839059822
150,-325.0379718634007
151,-182.05976695766924
152,-39.78018641344788
153,-228.01087815606033
154,-251.25155134774172
155,-176.03187068088965
156,-249.27094483983677
157,-140.09587930251269
158,-53.74146532540539
159,-268.74288975420814
160,-126.96569027857657
161,-366.44712734115745
162,-322.2868601606087
163,-324.2461981408836
164,-162.85629113047003
165,-131.348841283298
166,-50.10254124816524
167,-290.4293682402455
168,-225.40329696593807
169,-243.80550258127246
170,-109.36908528137033
171,-155.20791587310208
172,-129.48447718850258
173,-194.54981100711302
174,-208.75287156786567
175,-163.84108642138165
176,-88.70570911044297
177,-74.91230013540076
178,-79.31029648242506
