episodes,rewards
0,16.0
1,11.0
2,17.0
3,21.0
4,48.0
5,24.0
6,40.0
7,21.0
8,25.0
9,14.0
10,47.0
11,28.0
12,13.0
13,15.0
14,25.0
15,14.0
16,11.0
17,13.0
18,13.0
19,28.0
20,13.0
21,21.0
22,23.0
23,26.0
24,27.0
25,37.0
26,19.0
27,61.0
28,50.0
29,12.0
30,21.0
31,13.0
32,27.0
33,34.0
34,43.0
35,21.0
36,25.0
37,34.0
38,13.0
39,14.0
40,11.0
41,10.0
42,17.0
43,15.0
44,10.0
45,15.0
46,17.0
47,12.0
48,12.0
49,13.0
50,41.0
51,21.0
52,95.0
53,15.0
54,26.0
55,26.0
56,14.0
57,15.0
58,17.0
59,15.0
60,12.0
61,100.0
62,47.0
63,26.0
64,90.0
65,21.0
66,100.0
67,18.0
68,74.0
69,48.0
70,66.0
71,17.0
72,11.0
73,25.0
74,19.0
75,12.0
76,19.0
77,18.0
78,16.0
79,37.0
80,19.0
81,40.0
82,24.0
83,111.0
84,13.0
85,74.0
86,54.0
87,42.0
88,23.0
89,16.0
90,45.0
91,39.0
92,23.0
93,60.0
94,74.0
95,19.0
96,42.0
97,47.0
98,31.0
99,37.0
100,120.0
101,52.0
102,27.0
103,39.0
104,75.0
105,25.0
106,30.0
107,29.0
108,85.0
109,88.0
110,63.0
111,88.0
112,84.0
113,61.0
114,164.0
115,56.0
116,101.0
117,106.0
118,36.0
119,84.0
120,54.0
121,132.0
122,76.0
123,139.0
124,97.0
125,193.0
126,105.0
127,218.0
128,83.0
129,28.0
130,33.0
131,117.0
132,102.0
133,79.0
134,100.0
135,104.0
136,116.0
137,35.0
138,170.0
139,96.0
140,82.0
141,94.0
142,98.0
143,70.0
144,29.0
145,28.0
146,56.0
147,35.0
148,100.0
149,64.0
150,53.0
151,77.0
152,20.0
153,57.0
154,89.0
155,20.0
156,109.0
157,85.0
158,40.0
159,35.0
160,70.0
161,18.0
162,246.0
163,256.0
164,246.0
165,49.0
166,213.0
167,145.0
168,167.0
169,288.0
170,204.0
171,71.0
172,265.0
173,74.0
174,180.0
175,194.0
176,84.0
177,145.0
178,116.0
179,215.0
180,157.0
181,101.0
182,39.0
183,104.0
184,38.0
185,73.0
186,126.0
187,23.0
188,95.0
189,112.0
190,120.0
191,182.0
192,239.0
193,309.0
194,367.0
195,400.0
196,295.0
197,80.0
198,500.0
199,256.0
200,132.0
201,126.0
202,250.0
203,116.0
204,392.0
205,371.0
206,131.0
207,137.0
208,48.0
209,142.0
210,133.0
211,310.0
212,155.0
213,211.0
214,395.0
215,294.0
216,292.0
217,212.0
218,403.0
219,425.0
220,356.0
221,194.0
222,232.0
223,36.0
224,160.0
225,274.0
226,255.0
227,259.0
228,79.0
229,287.0
230,273.0
231,63.0
232,192.0
233,219.0
234,221.0
235,260.0
236,201.0
237,105.0
238,251.0
239,204.0
240,227.0
241,438.0
242,264.0
243,247.0
244,246.0
245,382.0
246,274.0
247,225.0
248,250.0
249,218.0
250,308.0
251,285.0
252,246.0
253,500.0
254,500.0
255,343.0
256,309.0
257,106.0
258,491.0
259,500.0
260,393.0
261,336.0
262,342.0
263,264.0
264,277.0
265,251.0
266,402.0
267,347.0
268,103.0
269,332.0
270,227.0
271,255.0
272,272.0
273,319.0
274,276.0
275,276.0
276,221.0
277,229.0
278,373.0
279,310.0
280,282.0
281,500.0
282,500.0
283,500.0
284,361.0
285,417.0
286,437.0
287,259.0
288,295.0
289,372.0
290,288.0
291,203.0
292,193.0
293,184.0
294,211.0
295,197.0
296,230.0
297,254.0
298,212.0
299,196.0
