episodes,rewards
0,-137.77009952704526
1,-706.2282490768652
2,-592.9522976486626
3,-410.80878861912146
4,-446.76409745520226
5,-395.0538511968892
6,-691.9034910288511
7,-426.95951005066235
8,-681.9974248225
9,-2865.5516703919875
10,-1394.9759241922864
11,-572.2590842114123
12,-1074.4546294344123
13,-438.70102535052683
14,-458.62561381470573
15,-553.4188158851895
16,-611.2107818505923
17,-631.659404053376
18,-1965.7739773930678
19,-634.4607999715793
20,-1222.3016935940936
21,-1044.475582870209
22,-462.5670062816625
23,-1056.2051202776142
24,-724.8786172572175
25,-1004.3990333375722
26,-712.0356246368646
27,-994.4527389093028
28,-704.6845003516319
29,-722.3165388586788
30,-1435.5117860038702
31,-729.4884185576016
32,-546.5754235871598
33,-566.7041463068547
34,-712.6057698609372
35,-728.0626957103506
36,-1557.4598086360384
37,-377.1068391990521
38,-395.43190908729673
39,-1814.5241233771076
40,-643.7419659851126
41,-538.6317536767194
42,-493.74383241077766
43,-359.81418342603894
44,-444.7088806751127
45,-758.6790079325317
46,-723.2329890647859
47,-887.1357431725819
48,-966.4968256007026
49,-649.4084354799139
50,-470.2444506840106
51,-614.2378985275353
52,-507.83615083211674
53,-1036.6373464504609
54,-507.9944595688649
55,-645.2274654976269
56,-840.3788553473046
57,-570.3303050166905
58,-494.5129705367127
59,-1464.1967628575212
60,-521.6380964439497
61,-618.0827174878158
62,-540.1661483460684
63,-482.39003867029317
64,-1227.3158916412833
65,-441.38629751526366
66,-2352.497175808183
67,-1041.5413136358948
68,-690.2433729287903
69,-652.287460758691
70,-1207.828039082174
71,-1046.473582415945
72,-624.9192631094954
73,-834.3893254174351
74,-472.18909509523405
75,-561.590962871373
76,-1766.862666035409
77,-663.4464061085232
78,-563.7413488033023
79,-650.2196845781034
80,-630.3258035435412
81,-628.6767470887067
82,-455.3671088695917
83,-1321.002993885123
84,-1072.3599626678927
85,-495.5552451532426
86,-1384.890691789829
87,-619.9477361978795
88,-666.4498871082815
89,-500.5548924223907
90,-658.1895111465855
91,-607.3933112094019
92,-555.0601154306928
93,-2075.2287092341644
94,-1096.856043539084
95,-384.27254063635445
96,-780.6821244224838
97,-1463.472214813155
98,-1363.7423863803062
99,-565.1735880181802
100,-526.20444176698
101,-514.6229105907937
102,-791.7606062323673
103,-740.9267263903133
104,-690.5806900597576
105,-780.481278266303
106,-383.4590511157299
107,-746.0068830282493
108,-829.1201282162077
109,-559.7113764964279
110,-537.1684843387392
111,-768.4677752340764
112,-1383.0926347423833
113,-422.32982394712826
114,-873.686534814468
115,-669.2004671827675
116,-705.2847773570152
117,-2975.775759680237
118,-1314.9342621798955
119,-631.4747980655484
120,-630.3884278199075
121,-443.920498322037
122,-577.6260051010331
123,-590.6280331185042
124,-812.3918376365193
125,-1220.9227347450571
126,-445.73226596058686
127,-581.6521546594986
128,-2173.58262622331
129,-4206.320532625205
130,-1436.535891757431
131,-599.3063538154561
132,-576.3308906801217
133,-615.9991381511735
134,-595.3039786685134
135,-756.9008186168655
136,-1451.2719214115248
137,-366.4469759027172
138,-679.845241735299
139,-3971.2916808340947
140,-666.8432111494137
141,-705.657841014014
142,-782.1468027847507
143,-808.5830686721769
144,-541.5104918678649
145,-1915.1297034634931
146,-613.7822657228612
147,-810.5379302499232
148,-1233.0548622117299
149,-550.4766791930955
150,-1018.970814408275
151,-1574.148549549906
152,-587.4024391050016
153,-586.9132740469402
154,-1513.2226444557834
155,-2038.1702470756588
156,-951.1267184209569
157,-497.03368813173176
158,-651.4767881516549
159,-511.02255419408476
160,-535.6288572062027
161,-688.9208166299004
162,-1247.1219462693089
163,-813.5927095015861
164,-670.0775351410231
165,-2409.6364362350296
166,-837.6446556355017
167,-810.8705549729261
168,-591.7703343940334
169,-1343.6619407176945
170,-2114.121284124615
171,-1222.600350378521
172,-608.9196445933418
173,-699.0477520395793
174,-702.5442827004963
175,-645.0635400519876
176,-645.2635019390731
177,-1057.9136834958663
178,-601.2251726791302
179,-699.094725207126
180,-776.4233177083288
181,-497.91311612432804
182,-1523.3920520734846
183,-656.3318630221376
184,-561.4202364745965
185,-642.7022705251185
186,-501.90845078756183
187,-792.5989429483224
188,-1573.942432208774
189,-4021.978231311662
190,-590.7537209489701
191,-560.2960853166416
192,-575.8180662241732
193,-641.3482778619857
194,-414.73845828262864
195,-853.4606945933956
196,-1120.6898349524492
197,-446.7704087520467
198,-717.0733989315206
199,-1932.6209800421434
200,-3258.7496305532864
