episodes,rewards
0,-59.61080243083941
1,-125.45063058583025
2,-109.4768270558407
3,-229.51926591531512
4,-166.4932775637654
5,-109.086525733873
6,-90.28025737350137
7,-134.63848462637537
8,-102.8580319641317
9,-124.321141464173
10,-92.42759628804957
11,-355.2336055441899
12,-315.48519935340414
13,-115.57725727264277
14,-430.39700253502053
15,-387.44075186027953
16,-403.1364775681762
17,-159.89263271097496
18,-130.8378079446531
19,-85.20665350041924
20,-126.36049289744886
21,-174.1991031673566
22,-292.4780039806941
23,-518.6873818276481
24,-201.6129989134913
25,-285.70340910923994
26,-427.5185390082046
27,-105.07597476038539
28,-396.4291789038807
29,-267.48264949437885
30,-379.71942204638145
31,-106.88533318376203
32,-101.49064635711342
33,-70.76254019938628
34,-81.23464774791299
35,-325.90782276227003
36,-82.7559436926424
37,-79.05431482703081
38,-308.7147616982138
39,-33.84741119552105
40,-317.71077077369245
41,-150.16258192277033
42,-102.11655603179793
43,-247.5120415838341
44,-241.8490381799134
45,-187.70493853848916
46,-54.84540180105242
47,-38.76643905889689
48,-141.47391603013952
49,-73.19467250417742
50,-339.45071750803254
51,-382.8702424039351
52,-304.113279735379
53,-198.24116916280633
54,-134.2362704585217
55,-459.42720418217965
56,-357.99397723322016
57,-479.42708581098424
58,-396.3235429049216
59,-330.18865429544564
60,-457.9843902596596
61,-373.7332246505088
62,-446.0036270404121
63,-320.84725346897903
64,-135.70185581418474
65,-520.1550349874956
66,-431.1713552120547
67,-457.2896377760373
68,-429.071399856994
69,-223.364222100264
70,-83.0766384702756
71,-75.16000630847299
72,-112.80044647030847
73,-102.23160893479191
74,-161.9658812685036
75,-334.96848170627084
76,-423.52062716303004
77,-141.37443080724174
78,-31.823433548192043
79,-157.8215495462387
80,-334.9794584548885
81,-115.12732089898051
82,-20.91283452338672
83,-356.33046636618104
84,-326.00620247322667
85,-87.9891397870528
86,-160.66768269297404
87,-151.9649532453612
88,-133.02119585281937
89,-72.49154823896494
90,-223.69970457772638
91,-233.88876791936218
92,-334.09736130607797
93,-17.79789999712692
94,-320.8376739895999
95,-50.76183932464824
96,-150.46323370593132
97,-363.53035607376074
98,-109.7043155319445
99,-372.58255053395806
100,-301.70794691388244
101,-100.26055983320839
102,-217.39571591688116
103,-376.7481979179066
104,-51.11110513125701
105,-62.373028256944224
106,-129.75629685044987
107,-149.69661500357228
108,-473.70127614399405
109,-178.77622905172848
110,-121.95873318714752
111,-357.28947564571257
112,-296.93655389919434
113,-173.9844449249706
114,-272.66179933523085
115,-113.88567441233148
116,-320.37738667212864
117,-347.5476876622414
118,-108.62415755455234
119,-209.35029061098635
120,-97.34165763150027
121,-274.38089642094167
122,-39.95264042436345
123,-90.03540855272547
124,-177.60810312815562
125,-149.24526805976947
126,-60.865641231534504
