episodes,rewards
0,-359.6807559672261
1,-120.1434711049877
2,-186.9867047869054
3,-426.26544056755733
4,-274.99089714695504
5,-340.11472752854297
6,-133.90645639919717
7,-179.56073293023152
8,-18.636715197099704
9,-88.1746626832196
10,-201.10274049232623
11,-132.40899594026408
12,-66.32311419776269
13,-109.37161796460512
14,-254.68130746829613
15,-121.05831263923956
16,-375.3134467252185
17,-126.3023417754602
18,-403.6405320091317
19,-104.68184989944157
20,-351.5405962558166
21,-236.53290811722698
22,-131.48028546609945
23,-318.3165403623973
24,-380.5133316307755
25,-222.60527763468025
26,-494.6273010958029
27,-69.81222885394583
28,-178.01394075407234
29,-172.5012198799328
30,-269.35943209743937
31,-130.91857060118102
32,-108.7389262469922
33,-108.50025770822197
34,-280.83362020091204
35,-121.00839478520723
36,-323.5230837927154
37,23.559977254113676
38,-169.56553394553703
39,-12.072310462491075
40,-146.70212725589144
41,-134.11898702404588
42,-232.1977830518341
43,-201.32215893781077
44,-365.85705393351657
45,-113.52090679540449
46,-248.68473856649845
47,-97.3870145576639
48,-87.06046590349843
49,-77.67780974112104
50,-156.63925965948687
51,-138.06195425836876
52,-99.31392002500256
53,-455.3348112225857
54,-235.0547553852587
55,-82.35575301088292
56,-116.93442283619858
57,-154.44572404034568
58,-200.1636267202984
59,-33.666350223838606
60,-44.11782482816329
61,-40.81187377198449
62,-52.881009583302166
63,-358.0584381282648
64,-158.77725951991897
65,-223.76664624317726
66,-35.29289084581886
67,-187.28659714672227
68,-97.17590366089614
69,-170.1217901125936
70,-52.45487367815771
71,-124.95955952207689
72,-34.25801262994425
73,-99.21277079993197
74,-176.23994294619408
75,82.47594533790841
76,-131.318156681098
77,-413.64752755919926
78,-221.17439394653033
79,-263.1032737109273
80,-259.59554209548446
81,-107.75315885101685
82,-156.80448639709488
83,-183.48185070666557
84,-237.13998161273486
85,-55.0956334737202
86,-193.18469498853648
87,-235.54801205639174
88,-341.9427681116643
89,-206.45435741565586
90,-374.6374015947116
91,-38.59011057769496
92,-226.03838407747415
93,-78.42595585133502
94,-139.45875608345526
95,-211.65470237556235
96,-443.8431302621778
97,-323.32630796264357
98,-277.86327825893943
99,-125.32175845636806
100,-114.77168037058703
101,-122.44504812639866
102,0.6170228190272979
103,-185.64347673059086
104,13.158012776468993
105,-350.3807669479213
106,-173.73983130622292
107,-139.92997155226382
108,-147.5692506480841
109,26.484263360266624
110,-186.16909168755024
