episodes,rewards
0,-348.03660690729373
1,-56.22841290272173
2,-231.65889432970923
3,-112.59415091297114
4,-109.05084839873305
5,-96.56292645694644
6,-266.4851723071897
7,-106.38238879888496
8,-308.6785800950315
9,-179.39899029655317
10,-55.26117244154134
11,-86.04041162578999
12,-443.93486268957025
13,-81.85849057504217
14,-370.45387032767195
15,-50.37707443812132
16,-119.33917523269461
17,-323.8938061796806
18,-449.23950401695765
19,-322.4634598631119
20,-311.56436080358446
21,-183.92380949818073
22,-408.0492212011968
23,-308.68998834370325
24,-369.6188396734387
25,-198.4525901503425
26,-266.1314325770975
27,-330.52110095770405
28,-234.99219285734463
29,-166.2143826232418
30,-122.33555303732366
31,-243.5144927948424
32,-320.003562426792
33,-273.77582999271567
34,-236.22423250021984
35,-282.4378094286827
36,-103.26907707628956
37,-108.57682123751627
38,-278.3855683732627
39,-83.79540670799719
40,-259.3938079916657
41,-178.71417438943524
42,-175.02558270910893
43,-347.08462774197915
44,-458.8303733940656
45,-123.05713730437323
46,-292.92744059105166
47,-110.12365573940346
48,-118.13677580366247
49,-330.9787607082669
50,-256.0510393825541
51,-109.25062651382723
52,-201.0295320457558
53,-103.17545247861987
54,-109.12517981793061
55,-365.2510270229181
56,-192.34410924834432
57,-256.0575369501606
58,-98.36227604664846
59,-465.76334842154364
60,-201.0129365429332
61,-354.2062874069561
62,-179.85011565930603
63,-258.094152660192
64,-261.7841354386214
65,-80.54901432998261
66,-432.5265508967269
67,-112.00834488234732
68,-170.26397551127653
69,-177.78101883142807
70,-90.82295023663124
71,-189.16811846125177
72,-353.593137897749
73,-88.61516398826396
74,-79.73716279929572
75,-388.17682240530837
76,-46.54354251223941
77,-192.83198888552795
78,-403.38836928548983
79,-107.48990672303812
80,-390.6620323659869
81,-85.21708210324022
82,-353.7741843926974
83,-517.0276625879333
84,-88.85738984576737
85,-267.46394456297435
86,-39.37229712111437
87,-75.25107523044818
88,-90.90051041803592
89,-115.23234537370914
90,-147.63955528827304
91,-125.75820193891569
92,-364.29118279323836
93,-343.0113695568652
94,-218.690172776285
95,-168.55075003246338
96,-123.79694259752203
97,-58.44800183664321
98,-310.1368944391487
99,-84.81355073253667
100,-117.03415897430608
101,-148.56688886314834
102,-292.4616425474386
103,-430.0434366165823
104,-251.44912631925467
105,-148.05885045176979
106,-431.65916675731665
107,4.827379497309494
108,-386.1292780747368
109,-162.39838842146173
110,-35.94655833448721
111,-175.84860939294896
112,-298.1799173095227
113,-466.7046798198289
114,-94.99935456721481
115,-135.06545320587205
116,-147.69937776918536
117,-45.30017014063735
118,-250.73640880928414
119,-114.48971980931397
120,-195.82877955715102
121,-173.60245192586927
122,-117.46176486512553
123,-115.44251236622534
124,-401.4825222964595
125,-263.5137841524362
126,-65.13058694652425
127,-14.78902136161635
128,-47.71789333165519
129,-88.79230384571731
130,-42.17115770173024
131,0.9314519625081488
132,-317.3736030842013
133,-449.38961926180724
134,-415.4728260868366
135,-382.49447588127043
136,-313.2108169081081
137,-131.4984970485828
138,-354.5845642414448
139,-406.2421278334934
140,-285.01747552751556
141,-368.6705803537534
142,-190.13465495510246
143,-290.17131604388237
144,-181.96003885344888
145,-220.19213802000175
146,-257.25490637053986
147,-145.16970440211355
148,-135.64622440508444
149,-120.38589288237388
150,-102.04547838085126
151,-267.91693769928895
152,-319.5698533849979
153,-29.182799313048235
154,-360.08026115061796
155,-197.38068617725332
156,-63.81571131328238
157,-521.0586074015222
158,-376.7322085884452
159,-360.9376600815196
160,-54.64581490410774
161,-242.10726417447626
162,-229.6744635859232
163,-27.80476048563547
164,-435.1747093603617
165,-225.851743136224
166,-21.78565303411567
167,-371.84062242489534
168,-211.759974946015
169,-268.24358862309504
170,-245.5584661464227
171,-69.99551184776777
172,-317.9502044899032
173,-349.91462806717965
174,-201.85663912729362
175,-88.55481210890676
176,-250.5959335553812
177,-283.08447774105275
178,-50.44323850886293
179,-25.286192125309952
180,-95.1563324177959
181,-193.8657569569861
182,-69.17832814449088
183,23.332263633233453
184,-80.12001318269431
185,-456.9032416182976
186,-387.39881254995794
187,-51.866617563063244
188,-337.2584875178329
189,-29.10291023773368
190,-64.5844078265738
191,-235.88477813665884
192,-188.86926803999205
193,-149.68235219993517
194,-225.28337413008882
195,-413.76815425378777
196,-246.53657621221132
197,-388.95467575626583
198,-117.6500594606769
199,-86.34084330316516
200,-87.41850890309769
201,-254.73316904678924
202,-267.19647531353024
203,-284.4917757950583
204,-90.42494885765775
205,-29.193133656177807
206,-166.558136004585
207,-45.54175876991562
208,-316.5851123356381
209,-309.57079774408163
210,-127.3037222275068
