episodes,rewards
0,-114.68924818064856
1,-183.05313944444129
2,-232.4962484340153
3,-339.791457995244
4,-47.35325538683661
5,-410.9596629314298
6,-333.4247554771049
7,-236.58763308766453
8,-133.93066013623087
9,-169.94875720582957
10,-104.74101080553613
11,-113.0511380658911
12,-444.4126966807157
13,-154.66692145123906
14,-148.04045857031156
15,-355.4497274691316
16,-96.50716803699582
17,-130.1881984320936
18,-441.35814947273553
19,-197.5417849942887
20,-182.7131859887675
21,-122.93272438862199
22,-91.36639473299081
23,-88.95728901767335
24,-331.8153737080426
25,-221.80434439493513
26,-236.80439598047502
27,-193.01014401692657
28,-157.13713448577434
29,-113.19356054455237
30,-87.85924724382737
31,-107.6988385698567
32,-126.46704034333541
33,-125.0643528172007
34,-117.53886558928403
35,-304.42487091936744
36,-121.5059950406756
37,-95.08105072341597
38,-111.07451906670389
39,-0.7804612724160478
40,-168.87492818004313
41,-294.2658772700338
42,-121.28306427876328
43,-134.5671388324656
44,-138.31553509588468
45,-149.04013316443329
46,-129.80320617107225
47,-159.08692215758882
48,-87.34072952898505
49,-142.8990946299728
50,-4.012923186889509
51,-184.49184206116672
52,-128.66374796541942
53,-131.03962711838926
54,-140.15364362533774
55,-184.46219223023522
56,-123.2410965813463
57,-113.80959560216324
58,-147.1511859770381
59,-90.0978483305405
60,-137.29643253275452
61,-149.8253876983793
62,-138.1984308117676
63,-108.55973868666105
64,-180.33472682554464
65,-84.86117524923873
66,-153.92262061054984
67,-143.83383557708342
68,-162.8181039791076
69,-167.70470343841419
70,-231.46005424697992
71,-122.41325968163417
72,-158.8603026606636
73,-108.65133656297479
74,-160.91486076071112
75,-202.90152851911438
76,-178.80483241515032
77,-178.13085975520204
78,-67.7929007941627
79,-111.55987055413297
80,-109.28428287168022
81,-261.86435798289324
82,-99.82431761702914
83,-58.53137975940484
84,-176.03040616272443
85,-119.76144059741085
86,-74.55412822348482
87,-343.0778302823536
88,-356.495341946384
89,-157.8897672542908
90,-169.83252915876466
91,-70.69804489428867
92,-217.97385400272555
93,-213.40382923343333
94,-108.06385235339538
95,-212.37209456664465
96,-206.85834662576758
97,-136.81301039063032
98,-239.2685093295459
99,-3.1755670593822884
100,-127.34412260499974
101,-123.03618082085
102,-172.4545588864183
103,-141.217975326899
104,-78.09964548681215
105,-120.13992888078548
106,-243.71305735106154
107,-270.8792061801575
108,-217.94451006768037
109,-73.7114640350833
110,-163.57078638864527
111,-85.6212456387314
112,-155.41777012201894
113,-392.60208882061124
114,-116.80947036242435
115,-118.22610332348994
116,-88.58091591190923
117,-177.53546194829988
118,-171.83490744995012
119,-146.25179225695305
120,-80.00381785205536
121,-76.3123963190976
122,-270.8394043825973
123,-105.85246958204208
124,-266.12591334144594
125,-76.89213408066675
126,-70.3884001428756
127,-53.616532025091395
128,-33.140021994062835
129,-41.38015629171774
130,2.909627073434052
131,-243.31203421674286
132,-92.31861057341021
133,-282.4864411042414
134,-122.43509716523609
135,-82.2978296105725
136,-202.62101287645808
137,-35.01158877632871
138,10.666375406090495
139,-104.16168936094888
140,10.017627086191581
141,-190.35321033553458
142,-18.18234299002073
143,-42.49654561521061
144,-58.0453763046565
145,-44.8207113503251
146,-20.87612254928412
147,-42.765977089470915
148,-28.685534912720783
149,18.46485166753058
150,-67.85870106482504
151,-14.361419791952187
152,-40.657660932038866
153,-37.25927316048033
154,-59.713267948545806
155,-29.363894707035854
156,-25.088842398763788
157,-191.7182885993126
158,30.34443318339848
159,46.90718453948074
160,-256.3841427591682
161,9.257513291645964
162,19.859517854152585
163,-4.525345853261271
164,13.730884299296392
165,67.99169883641923
166,-169.36084279084815
167,22.67814605817412
168,23.031196082948455
169,10.664789613639243
170,-151.466338610212
171,-378.36335240861257
172,-322.74816281376246
173,-147.9363844728013
174,-185.93455085779206
175,-16.23863854498869
176,-326.07514657936815
177,-421.0516235340429
178,-467.06927440625003
179,-11.100627200672733
180,-87.90501595335012
181,-82.21689343404162
182,-327.04842409836414
183,-106.57317030785214
184,-90.19255873350379
185,-21.460508834139233
186,36.26050679982552
187,-114.91751388344858
188,-524.4860954186507
189,-60.186402605248986
190,-338.0442639371823
191,-130.75850606786472
192,-546.8317502538027
193,-483.8891025183522
194,-37.91807453755102
195,-507.4137819654454
196,-241.2929594035618
197,-485.94527456531125
198,-88.94616753454355
199,-119.48959002650001
200,-298.8134909639886
201,-1.5761659214936259
202,-56.06060661701011
203,-61.17119127511114
204,-10.42244655869139
205,-14.868143841509948
206,-8.634709225199629
207,-49.54560253627205
208,-16.178375012610374
209,-131.25583020597227
210,-47.25333020308085
211,-19.66003454377214
212,-30.34584286639857
213,-35.259835642946385
214,-243.12724637343905
215,-33.1059266382712
216,-134.5181606927748
217,42.33546422721301
218,-302.58600458910314
219,-138.24136127161734
220,-26.192610006431906
221,-171.0972930032378
222,-1.9290974490324402
223,-16.42963042401348
224,15.022094467404685
225,14.801402013911897
226,35.80517399013925
227,50.60365938910752
228,4.884869933548018
229,0.5155976346889304
230,27.621319638078944
231,-6.802490732582925
232,-37.61695511066324
233,-0.7648759433234176
234,-91.73797852455695
235,-157.45297577175825
236,-114.27240039158093
237,-169.6872317042459
238,-76.94584285932325
239,-72.45222499016494
240,-108.60128836155016
241,-74.58602948847556
242,-144.00808937133468
243,-124.0290926056559
244,-120.36981128267814
245,-148.56218439138775
246,-146.788224177225
247,-118.88699622130693
248,-95.72078576416072
249,-87.72198125787018
250,-126.81575578001853
251,-118.04010813646009
252,-95.77160969022867
253,-108.07799330967063
254,-119.03361996610407
255,-75.58179600041058
256,-103.85451510924021
257,-41.8277517708124
258,-70.61882549336754
259,-61.8564928103674
260,-59.670890274396825
261,-63.833349961995026
262,-51.09315448450515
263,-21.321389828742582
264,-44.65870135041554
265,-21.662362404124735
266,-61.856753685214635
267,-8.227559427160955
268,-11.280518810166186
269,-50.19188843601603
270,-8.93846615483345
271,-47.004495267580026
272,-44.51415553133472
273,-102.00248734051245
274,-27.048067188643103
275,-37.47660430824533
276,-73.45406308491204
277,-59.11000875550966
278,-150.28621332398663
279,-97.2858780879164
280,-147.41953266734944
281,-108.60568445300845
282,-158.96233713340789
283,-123.03830767479587
284,-159.00966978407564
285,-100.38201258519894
286,-132.34496407707397
287,-32.62686867360557
288,-82.15114796854152
289,-91.28550123169445
290,-147.83507224877505
291,-194.7787594042775
292,179.4761584482435
293,-160.12301188976224
294,-82.9263980288107
295,-65.51442801782491
296,-83.42428547243026
297,-146.20034252815773
298,129.9521291205226
299,-31.772385144725405
300,-51.43763688033965
301,-57.09148922486733
302,78.01825867804911
303,-121.47388082856178
304,-26.860448234657056
305,7.670217534522578
306,-260.03710213849354
307,-854.394954212533
308,-831.0250630586347
309,-778.9494030855371
310,-803.0127427900401
311,-804.4741142085942
312,-809.3595042074705
313,-786.7869163723973
314,-185.07428979464382
315,-316.82657092262355
316,-784.9251504884643
317,91.94155736738807
318,-479.40809341279555
319,-944.3127471279967
320,-758.0806134903289
321,-782.137205541464
322,151.8288615955761
323,100.73542124580374
324,-731.8055512225486
325,-88.43266834632496
326,-44.804151954556204
327,-143.10840389711598
328,-208.54717090610632
329,79.2740895617387
330,153.70952537613977
331,-247.01882839882128
332,97.18953556814596
333,179.5866124582032
334,175.78754003650587
335,52.65048637587168
336,-63.80680825643999
337,-20.179806643488206
338,252.94859031418375
339,214.5105246008821
340,10.69008660793088
341,205.08214772514845
342,209.10740706266748
343,-90.8092361622836
344,209.55480621528199
345,-41.90306182205266
346,-1.5069266012813358
347,181.99970333274757
348,-41.69360031138335
349,170.3235382285138
350,-75.12945506414778
351,115.27599763092122
352,-414.067167174375
353,-786.4737189046384
354,-98.4174591216777
355,-777.5166093736318
356,-784.5767421416011
357,-733.6428016137423
358,178.92185476933287
359,-10.370868091267837
360,-97.3543329411952
361,185.48832181512114
362,-820.0827324549422
363,-782.9799832069403
364,-801.2979684700158
365,-798.1834838923564
366,-789.3255406890014
367,-760.6776012011837
368,212.0816619672059
369,-678.9269671454527
370,-73.63272934388701
371,-378.9028460634838
372,-302.2229158244086
373,57.66963480911983
374,141.32406821306816
375,109.68830184715159
376,-114.7158281764905
377,232.5116308049194
378,-162.1470015982959
379,-36.02002785753125
380,96.36235111174513
381,148.44445170044577
382,-142.44970034387336
383,164.59724221771313
384,-87.79993610705311
385,-36.595926189321254
386,121.46155302989249
387,123.46755579099006
388,-83.51907648573916
389,96.17167460449578
390,241.380992434569
391,-82.77367581636865
392,-3.9982429158083255
393,-80.1715930491667
394,176.16424982621578
395,-28.202844574696933
396,-2.352007724640753
397,-63.41495689080328
398,-42.79248160729104
399,223.39835914901658
400,-25.308467629392652
401,206.66922846712916
402,193.56421416576188
403,-5.8847850308180005
404,10.520653267823022
405,-48.01778296283243
406,8.486532249231626
407,-26.199723587089707
408,-39.32976070996321
409,-66.07013216559695
410,-69.35988714416791
411,209.14032450962497
412,-236.92869203207596
413,8.505800094914235
414,83.38065171642143
415,164.7791291761419
416,-120.57981484750154
417,143.55790601906057
418,-811.1267050515401
419,-334.08549434447366
420,-813.7778962260114
421,-301.6628361520056
422,-244.83982184483224
423,-212.87303820229744
424,-189.3865730933676
425,-130.4098390831387
426,-187.84433617778694
427,-203.67804877342678
428,-270.08385811660344
429,-207.64175949819156
430,-200.8708924886426
431,-323.90336132666584
432,-913.3059160044997
433,-889.9992864340026
434,-900.4818082420971
435,-858.0261184811948
436,-834.965866033103
437,-851.7253061467496
438,-825.9850945861589
439,-841.0671738477628
440,-826.1572806810984
441,-862.4485334355725
442,-827.7182938318249
443,-816.7843876335319
444,-845.1163845056328
445,-782.3551437772569
446,-783.4066822410864
447,-799.6865951313664
448,-794.9939157238557
449,-780.429725667824
450,-782.3795387175605
451,-781.6579774570589
452,-768.7909045845198
453,-759.5784175050229
454,-796.8237358959761
455,-788.5417443344621
456,-683.6893697681271
457,-435.753607026675
458,-221.8836244349476
459,-21.643350380400747
460,-189.4975675808847
461,-88.79713136510746
462,-51.789557852329764
463,-24.362905065574616
464,-35.212352983584964
465,261.76991405065104
466,5.745154742286378
467,-33.77712950516278
468,-9.194571229419742
469,9.919305451625318
470,15.207251362020019
471,24.936654128421935
472,-14.708688064828978
473,27.643726049523263
474,20.812148021056405
475,252.11150820089986
476,21.123618077339657
477,251.72859187186742
478,42.00478186053303
479,210.4786599612245
480,164.95769025056956
481,240.17059660221562
482,223.72899704931754
483,-0.8508628702444554
484,181.55505147750202
485,18.81647295845947
486,-55.582545053642605
487,197.4859878475387
488,-78.39074493148522
489,-128.4732665977424
490,-15.21394329118553
491,-135.92274057702264
492,-182.13316899331306
493,-102.12157301247503
494,208.90736704313468
495,-340.3600308371067
496,-839.2111587167138
497,-827.6986490721159
498,-804.0766631397552
499,-762.7668840776724
500,-842.4724074538675
501,-804.4678844528366
502,-794.5451783454354
503,-818.4365880268043
504,-794.2916212497018
505,-796.590293856512
506,-791.7576343612157
507,-756.2076107483215
508,-750.1952806082146
509,-825.3093882855904
510,-778.612423699605
511,-809.1112034627025
512,-757.0862339103796
513,-831.5258808761846
514,-809.2621212875572
515,-738.9357428431282
516,-760.0721399205843
517,-758.917323158796
518,-761.2553042774767
519,-767.1920942113901
520,-18.765161974175726
521,-778.0708104650495
522,95.64734463431289
523,41.23434474859489
524,-80.40668110611652
525,243.8809351732593
526,218.677274412491
527,127.6303798502991
528,224.10549496170114
529,252.90269383206783
530,175.9662322090405
531,263.963788833693
532,178.91199884483927
533,212.6441791856638
534,209.39694505931686
535,192.39389221634764
536,161.9888490855252
537,231.73311240534588
538,129.9979317025691
539,220.5893437126995
540,218.108758496422
541,-35.05523661977318
542,227.37863983045906
543,213.9542635336254
544,210.295052828322
545,129.33558689175973
546,-11.367795757298564
547,26.23838866939896
548,-21.257196365481054
549,221.0760495937046
550,-29.459428869071985
551,-38.29585422117998
552,203.04547303356443
553,-9.683625325884245
554,172.50299334312973
555,-39.91809643744881
556,-27.993154611607515
557,188.9747728905179
558,-73.66870557542127
559,-15.67413926407336
560,-53.628785150196045
561,218.5305114147272
562,-76.98459463342036
563,185.3434498083584
564,290.8657673993813
565,124.18900729137235
566,-18.020516861094055
567,-12.55794103196241
568,24.742751596569953
569,24.149862588115578
570,15.446931471056873
571,2.8679986735975342
572,11.35795845460163
573,-26.267824599890666
574,-19.745825815604952
575,-36.45911045190247
576,-12.869710547135847
577,-3.3202688431963248
578,-8.832501602427268
579,199.58582547441625
580,30.65201539905525
581,-8.794954792546823
582,148.6802848948624
583,-45.456669297102216
584,145.84112595453442
585,-16.474578267810802
586,-28.54597334572824
587,207.73617288146505
588,-37.76985297807888
589,11.023269403505633
590,-13.037117850854031
591,193.7689205058951
592,203.40634991662984
593,-20.511667330046716
594,237.07382847312962
595,-63.57509481562577
596,-48.92135592504333
597,200.30757444072157
598,204.38189391426417
599,-49.25306567919243
600,221.30492987600257
601,266.3952805132526
602,-10.117977934449502
603,16.73551193170634
604,120.91064450826825
605,220.2183767904114
606,210.8729298611653
607,-15.481918933227655
608,-34.78502109937313
609,-36.33554721397651
610,231.0475852072759
611,201.4020010319535
612,266.79772437965437
613,26.220600257305197
614,-17.55303252082035
615,192.34610851193816
616,53.18020421293062
617,195.9407178931198
618,45.1174897775287
619,0.6259459246347638
620,152.03739821398926
621,217.90438597890324
622,246.04129042471496
623,11.653915295897383
624,10.986714125428454
625,-9.311032980531817
626,246.89318612795458
627,266.4552476974184
628,26.50649415155299
629,221.00413309520656
630,-10.989862389644976
631,12.893915148219023
632,19.657408856059305
633,-10.043322339155296
634,-30.426164599507313
635,5.657750781621815
636,199.8078583437329
637,-138.75375285957455
638,144.8630319192912
639,-509.4998915417658
640,-702.0828331285427
641,-674.8791308702956
642,-739.4551780950047
643,-792.0905271405577
644,-336.2435486778535
645,-755.5020403079546
646,-647.174278133879
647,-78.8270569279598
648,-641.2499277356004
649,177.01378935656453
650,-226.11515560433148
651,126.19936885778175
652,-75.61541851199622
653,-113.03184730987103
654,-45.16493696430873
655,224.31720905005093
656,23.003805767637406
657,16.05801642881683
658,179.6550184455009
659,-6.761005200459249
660,33.49211691381162
661,14.110548711056607
662,-19.71830437914897
663,32.018471112884804
664,1.012792804579949
665,223.5900491566972
666,221.28670138549074
667,-27.148259234162275
668,250.96008991162614
669,192.21185751429473
670,225.3772027457655
671,-9.934442447856071
672,281.9387954526776
673,-15.979445869015862
674,199.84088572784378
675,249.4549963968483
676,-19.720523326920024
677,163.31316098003077
678,161.68981926697228
679,-113.14740029400676
680,-110.67508868400239
681,-18.03074809752539
682,-803.7297797037784
683,-330.1806020327279
684,-741.7541900314108
685,-745.9353981316333
686,-759.2945720984414
687,-763.0897007508952
688,-739.0029703608419
689,-743.727861778975
690,-750.3173665320604
691,-763.0701289001387
692,-760.8704864873234
693,-735.7040964341885
694,-791.5053050749573
695,-155.6268658081319
696,-50.56941107876693
697,-501.418202669293
698,-748.3605268467601
699,232.39473319374918
700,-185.10733707507836
701,160.8440690680094
702,176.6238375661933
703,181.14188564192278
704,165.73820578897264
705,201.40279220920527
706,208.8988501070521
707,-16.41495785300853
708,231.61057891485126
709,-31.573411492697645
710,260.72258151851224
711,223.49092527318334
712,25.3385180047556
713,9.61159770417056
714,-12.28492027373203
715,-28.631101420927138
716,-5.508857983797894
717,263.9112705980414
718,-17.057985594346277
719,-36.17963063785411
720,9.591103258574758
721,105.15244936611754
722,257.0358318010147
723,3.821542674211576
724,-34.89187513508881
725,-16.605877299023277
726,-37.98424990995221
727,39.0561898105694
728,-2.9836697504522496
729,12.212172011272589
730,-5.298806891651948
731,53.62294630670886
732,14.130655247050072
733,-1.78521132557419
734,-56.08750825240003
735,-34.27078146868855
736,-11.880732114010527
737,209.3227150804547
738,8.163490218125588
739,68.19635270968283
740,-20.814686952423784
741,-497.59238208121735
742,-438.51681515123806
743,-761.5351153223742
744,-585.3663194372225
745,131.55458379755237
746,-703.195519971796
747,-641.6149145385411
748,-706.8051439571962
749,-699.788127028645
750,-41.624574980860345
751,-112.39829613713955
752,23.1407517170082
753,-763.1572758636344
754,-768.4631720429796
755,-782.4875875058906
756,-775.6532209528144
757,-797.230644069102
758,-765.8321218178856
759,151.59277585739162
760,-753.3813049771852
761,-767.1555777465949
762,-778.5117461757958
763,-773.5340777136556
764,-748.5043558002051
765,-766.0773302571191
766,-752.5605810226548
767,-793.3557001819582
768,-779.6940860636723
769,-773.4302388086495
770,-216.91759174597374
771,-741.4325656557057
772,-277.6849587891914
773,-23.29743080451381
774,200.13632863813058
775,-112.46295991900472
776,166.64710964633818
777,-11.576516277167988
778,208.45073735720774
779,-54.15236140067081
780,167.61927220096888
781,-55.47378235911873
782,222.17177600290344
783,114.96550642033253
784,-68.32430758550437
785,214.65990059901804
786,175.07276774404698
787,275.2669595683689
788,170.9035834659657
789,-28.78724656292011
790,-56.23587589939311
791,43.50705219411938
792,147.95253120328093
793,-54.75437744465766
794,169.69164204428452
795,-38.54262218744377
796,-76.24178797313756
797,-102.47962835895514
798,-73.0860313663686
799,173.38269439720972
