episodes,rewards
0,88
1,105
2,98
3,103
4,89
5,67
6,88
7,159
8,120
9,92
10,92
11,96
12,83
13,64
14,63
15,91
16,62
17,104
18,118
19,67
20,63
21,95
22,81
23,101
24,85
25,91
26,80
27,105
28,79
29,72
30,86
31,93
32,104
33,72
34,110
35,81
36,79
37,106
38,73
39,87
40,99
41,63
42,72
43,99
44,88
45,57
46,131
47,91
48,77
49,65
50,101
51,79
52,97
53,71
54,71
55,120
56,76
57,61
58,70
59,92
60,89
61,96
62,86
63,121
64,63
65,125
66,77
67,86
68,75
69,76
70,76
71,77
72,113
73,79
74,94
75,99
76,76
77,64
78,125
79,115
80,139
81,104
82,85
83,106
84,90
85,94
86,89
87,85
88,109
89,96
90,74
91,56
92,66
93,92
94,66
95,116
96,85
97,62
98,117
99,70
100,130
101,65
102,135
103,65
104,116
105,95
106,71
107,103
108,96
109,76
110,65
111,103
112,72
113,94
114,78
115,114
116,93
117,110
118,94
119,98
120,120
121,158
122,101
123,120
124,130
125,63
126,79
127,101
128,116
129,167
130,90
131,105
132,65
133,118
134,124
135,101
136,71
137,82
138,101
139,117
140,171
141,73
142,112
143,72
144,104
145,140
146,113
147,122
148,112
149,67
150,97
151,97
152,79
153,116
154,76
155,80
156,101
157,74
158,63
159,124
160,119
161,91
162,65
163,71
164,103
165,107
166,110
167,131
168,70
169,83
170,140
171,85
172,86
173,91
174,84
175,165
176,85
177,102
178,82
179,70
180,107
181,96
182,92
183,116
184,130
185,107
186,165
187,99
188,105
189,68
190,86
191,76
192,89
193,68
194,134
195,104
196,134
197,83
198,87
199,89
200,104
201,121
202,114
203,78
204,93
205,106
206,94
207,110
208,96
209,74
210,124
211,169
212,76
213,180
214,128
215,118
216,170
217,90
218,64
219,71
220,121
221,108
222,97
223,111
224,79
225,155
226,77
227,97
228,153
229,83
230,86
231,97
232,84
233,128
234,129
235,102
236,102
237,74
238,105
239,144
240,204
241,116
242,116
243,126
244,144
245,159
246,188
247,111
248,108
249,91
250,118
251,110
252,121
253,123
254,101
255,108
256,113
257,95
258,88
259,97
260,190
261,90
262,194
263,188
264,87
265,118
266,195
267,171
268,80
269,79
270,171
271,123
272,69
273,96
274,97
275,117
276,95
277,88
278,140
279,88
280,120
281,73
282,143
283,108
284,124
285,88
286,81
287,80
288,139
289,147
290,99
291,72
292,68
293,76
294,129
295,101
296,76
297,109
298,74
299,79
