episodes,rewards
0,-259.8221962449081
1,-74.57767014495568
2,-166.147668574825
3,-79.22094308842358
4,-29.018256879006884
5,-425.7443157852345
6,-64.90357089203957
7,-78.71417073187328
8,-231.72261799647373
9,-238.6696669668298
10,-129.12478243115442
11,-89.62530493338376
12,-205.46816251720043
13,-118.96581765728715
14,-90.68229224337954
15,-98.4754116895148
16,-66.78361482509715
17,-103.95827332661347
18,-200.17944791055012
19,-203.93251897269909
20,-85.4756517954762
21,-292.92906345816834
22,-135.49179046289186
23,-536.4160567479267
24,-117.00827242023271
25,-265.1512183025008
26,-100.39409527761528
27,-179.9745778615079
28,-134.9390619460958
29,-94.53847059196072
30,-279.52156148298513
31,-144.70704642521468
32,-101.1372570490603
33,-110.31597548056206
34,-103.26817319173425
35,-182.89090590785338
36,-283.91580328199666
37,-62.728808317021844
38,-197.85769093820926
39,-100.26786249585462
40,-111.52192772977932
41,-173.05106415552368
42,-150.52789242188499
43,-383.30559872756214
44,-251.92724253779153
45,-207.24327057738498
46,-264.8869921786934
47,-93.2302732130958
48,-120.19776090035131
49,-139.936279515877
50,-196.95027306551367
51,-272.7898606515532
52,-224.99919504783588
53,-129.71068559081613
54,-271.9144986908887
55,-0.0538770428108819
56,-258.76925799949436
57,-144.4752289335634
58,-153.0599396870877
59,-104.14284424658857
60,-130.13145595375863
61,-131.63377813771154
62,-323.2228893814606
63,-137.1380156156276
64,-204.7421695587265
65,-112.98678060746218
66,-399.5619593056348
67,-72.30067465771076
68,-71.6272564683442
69,-170.58884347186972
70,-76.32015967421601
71,-108.3371001130194
72,-120.2600681220965
73,-311.29789035539943
74,-134.80505864277723
75,-134.88618052611707
76,-130.6049719192299
77,-101.59600187371258
78,-154.0387283541911
79,-86.31100884169686
80,-145.5274105255922
81,-299.3192277196831
82,-120.1515259133882
83,-104.17759031582062
84,-134.9356632879364
85,-133.26733740221454
86,-123.05077719205829
87,-186.410672478732
88,-76.2829123306088
89,-125.83827097414736
90,-92.89104570696338
91,-185.43969506544977
92,-258.8768181002975
93,-72.62707990344052
94,-135.79143492470934
95,-166.92068812096858
96,-99.1538521727561
97,-77.75837048826331
98,-166.24630065346742
99,-149.60458681877432
100,-219.04028386195222
101,-226.48299565118282
102,-214.80940998572964
103,-109.77153657362864
104,-143.98897170717004
105,-221.099815110802
106,-162.21410724331645
107,-107.80894001268852
108,-322.8357539927525
109,-87.12294226687072
110,-291.42645251838724
111,-86.66168513454446
112,-152.66045953459542
113,-115.31342306501247
114,-131.63998876649384
115,-149.8359849103124
116,-147.65355463640446
117,-181.77225611353623
118,-150.0008376422478
119,-116.47143860678756
120,-75.56748259587201
121,-280.65282059203537
122,-88.22939745829868
123,-60.13049111407604
124,-74.73334884599188
125,-128.51706732324936
126,-9.066122169047688
127,-382.6006654937922
128,-82.9141619736825
129,-141.28089463146648
130,-255.48537387002526
131,-178.8497677541606
132,-131.43236941210898
133,-112.65761940878915
134,-86.37900434866594
135,-132.96002808261133
136,-122.60749510790123
137,-49.86362618115127
138,-339.48346078690196
139,-76.00198608466604
140,-216.3806859842118
141,-103.20240079423475
142,-133.19980445937534
143,-265.7609133778067
144,-125.8796960478386
145,-92.40233346180459
146,-132.54314560713425
147,-97.98048989837406
148,-88.26634704415298
149,-96.49901890279857
150,-308.47472460618974
