episodes,rewards
0,-242.9224128315335
1,-281.44677841240707
2,-169.599081892728
3,-203.13696363178968
4,-310.2446463331675
5,-244.37455836920873
6,-86.21839449702114
7,-140.48522151438056
8,-102.8842642463487
9,-286.12574562589754
10,-112.97424519108878
11,-199.3107608841848
12,-224.55924476795724
13,-125.40518058204401
14,-102.64407470168118
15,-367.00461871325393
16,-195.41888944912836
17,-142.29047810884248
18,-220.91644173431558
19,-35.073317951660755
20,-157.02724189098723
21,-293.76737624805105
22,-421.72126173603226
23,-408.0065432496067
24,-407.78853118008453
25,-107.52398402541306
26,-80.17343303717252
27,-297.8796191192606
28,-300.9072638778023
29,-397.40878709669164
30,-134.59884079658013
31,-229.4744599730272
32,-360.4016073562027
33,-23.717928532181773
34,-188.63972526845367
35,-267.5812370636841
36,-478.1471093208002
37,-91.21246266636827
38,-94.3130504179194
39,-64.60042356721783
40,-188.74373132202814
41,-101.07092565247927
42,-278.8904124998958
43,-509.55242148375015
44,-265.43840643039835
45,-413.8142871936077
46,-439.19670300994477
47,-42.833992913181035
48,-189.60866889438645
49,-39.95685643746677
50,-351.0480113794839
51,-84.13024478162923
52,-108.7796025648447
53,-258.6478637623629
54,-83.26059419239438
55,-59.174965701689544
56,-35.172201328618556
57,-215.8633809084704
58,-259.97596537714185
59,-139.65864187636407
60,-105.09742678351952
61,-285.07518769300754
62,-348.64557114602945
63,-315.2653694457953
64,-31.06129799177954
65,-295.61793707905804
66,-132.18797197101975
67,-116.66546136773407
68,-309.8665734573955
69,-371.25761041931867
70,-84.52137631213165
71,-158.9308511133264
72,-158.4699999140135
73,-36.611107381207276
74,-100.47803359367533
75,-190.25455950169112
76,-281.0983291708095
77,-223.2893395904996
78,-115.67579425682636
79,-455.6991519409018
80,-180.92126117107165
81,-308.5962528807323
82,-288.92120923444645
83,-388.4286285439364
84,-403.3525128735269
85,-233.22392709884593
86,-302.867133170035
87,-218.68863957392756
88,-307.1058077949355
89,-286.4723702434431
90,-34.31676117211673
91,-78.09419636809967
92,-281.5059331432617
93,-67.26920659480692
94,-145.91838619798438
95,-124.94299752111986
96,-281.7408233748308
97,-147.02105126995474
98,-145.5804011453074
99,-142.06550404202363
100,-140.7048082141891
101,-197.920869160155
102,-290.8964665625242
103,-85.2386111087018
104,-176.33473479259774
105,-178.57093931268332
106,-130.7269559015204
107,-123.74654191244238
108,-151.45458175973505
109,-145.49802865759716
110,-96.27876260016113
111,-257.09146416095916
112,-170.67422058549522
113,-237.3274203151602
114,-140.33385182196645
115,-223.0917321985131
116,-297.4291941827471
117,-406.815456275629
118,-93.82372615360036
119,-142.80368906587938
120,-285.1130839378599
121,-320.97348518182383
122,-273.01447997520796
123,-298.1414041855046
124,-302.9982890834797
125,-208.79736891025848
126,-235.41676043529063
127,-405.4714606550937
128,-413.7718367982529
129,-397.98838034643745
130,-233.88309873161546
131,-172.82808111041095
132,-251.01737429110233
133,-297.490719018704
134,-377.47332630220444
135,-259.06152242369427
136,-167.6039019686644
137,-144.91362396777328
138,-222.34407797688397
139,-266.0563237905096
140,-203.7541751316765
141,-148.72098180423623
142,-253.44805392818913
143,-169.67361924431833
144,-640.2760591417081
145,-232.62655430287407
146,-115.02721366937652
147,-289.46776250953934
148,-168.66733667106115
149,-373.3617539106895
150,-197.82490769900144
151,-194.39480666702752
152,-232.88288125397523
