episodes,rewards
0,-211.50402856283685
1,-173.90407098901335
2,-77.63157732728101
3,-187.11191197807676
4,-128.08250846302872
5,-117.71639079666483
6,-93.69582493508497
7,-325.5703422383435
8,-122.01350447623577
9,-249.42978049587003
10,-165.84233709289256
11,-170.98191560724916
12,-104.38924412756153
13,-80.9526555754317
14,-89.92989237432161
15,-91.13781215640397
16,-169.7231385675699
17,-157.7769557685027
18,-231.9475299382869
19,-260.611227739057
20,-173.52777862790703
21,-90.80039328838375
22,-239.9716814721388
23,-232.1251412096371
24,-236.5700565853599
25,-261.9928727050383
26,-307.7046286072019
27,-119.38108089292625
28,-91.11492479169132
29,-53.61826254917133
30,-456.5826985232031
31,-240.28628766206973
32,-269.49346603139026
33,-143.9157809067071
34,-383.2288200692609
35,-365.00196589674107
36,-352.8376819558041
37,-149.3486211338971
38,-302.68814793833815
39,-152.90758952895823
40,-19.609890561201667
41,-207.61561258935325
42,-368.64094232707976
43,-224.68399287534402
44,-56.182471342372125
45,-135.06747949562663
46,-56.11819662985655
47,-270.04202607474394
48,-261.5057623138839
49,-117.57314874880407
50,-293.32224560654333
51,-467.69469931720914
52,-190.73326835263768
53,-80.7374754415631
54,-216.70305843288332
55,-163.53506334259805
56,-98.37560376980231
57,-324.46743550251097
58,-404.69507039420733
59,-268.4263235923388
60,-78.74440268131323
61,-41.91175594449106
62,-334.1234944016292
63,-346.560986384433
64,-411.2876564938475
65,-208.951853985491
66,-41.28291871394991
67,-149.82060567828194
68,-92.0550574800951
69,-133.74360865390352
70,-418.1305611714099
71,-391.5257471922219
72,-149.03017225464077
73,-190.1533342099141
74,-176.8602959431595
75,-199.60514006453292
76,-191.65873372472683
77,-174.14667882195937
78,-177.04951920614246
79,-398.8943831994604
80,-254.7940064588063
81,-158.82681786599812
82,-72.92543201748185
83,-180.02521250808655
84,-86.78183093459262
85,-249.92626769875253
86,-30.31734003675747
87,-146.86807698624705
88,-25.559469222742877
89,-183.8716532607507
90,-148.91166549910366
91,-72.2912617272532
92,-60.15366133254031
93,-269.7016045342506
94,-315.32490357365396
95,-18.563186057146922
96,-250.58003142206084
97,-216.13750032390976
98,-261.59989505925637
99,-176.0419070577143
100,-322.2027875448646
101,-83.18466346607836
102,-31.12506755299853
103,-214.40613231735182
104,-328.32362285929173
105,-10.713941956933013
106,-93.6741421204445
107,-333.53815660077316
108,-16.125895839962027
109,-255.0190094186925
110,-169.2169879933578
111,-52.049238716778405
112,-114.88672694729257
113,-108.129890288941
114,-7.485079747173742
115,-3.384439892384968
116,-113.25583126937866
117,-38.838310129449326
118,-36.26665672646514
119,-50.437706358124906
120,15.790802260132153
121,-6.521938682829585
122,-106.09086776676082
123,-93.80507830338821
124,-289.96819469229973
125,-74.83861689538696
126,-21.555558917134363
127,-22.79882741812186
128,-84.29625686232957
129,-61.63147673554464
130,-95.65619166147049
131,-134.20044257605394
132,-61.214418766528894
133,-113.0141206336011
134,-73.99475612322301
135,-44.2691694441679
136,-95.36620832006656
137,7.322236386103427
138,-62.20640075838742
139,-85.03432140471935
140,-72.5766333681081
141,-223.255264403384
142,-236.10350933949653
143,-208.5127448995543
144,-189.5808445621081
145,-294.9154921331242
146,-60.171673857478694
147,-40.915802760759405
148,-128.57892786540629
149,-164.92337263116988
150,7.961190174873394
151,-355.4666438432654
152,-89.12717718094959
153,-171.59011800130233
154,-353.91290226826686
155,-354.90749112194385
156,-111.25686014944469
157,-317.46471424341314
158,-291.5778908485347
159,-266.8662150630558
160,-286.994192199244
161,-78.36151001056689
162,-74.6086139137379
163,-63.01711804743303
164,-346.4767459313261
165,-143.45268318662403
166,-75.87203707831515
167,-65.16437427160878
168,-121.13255814773954
169,-188.35236236613667
170,-308.308991369666
171,-132.31007705873006
172,-128.4724639440008
173,-183.18262062398276
174,-129.3323182634154
175,-78.23310553142146
176,-431.92920814271577
177,-142.09025958187482
178,102.56847444737642
179,-144.1608366105234
180,-115.30547762732601
181,-121.03249637321314
182,-95.9391416839338
183,-73.23069179718716
184,-152.22968077028096
185,-450.25837754939454
186,-185.37165114083007
187,-101.45359853965618
188,-139.20911843672087
189,-337.03913813844974
190,-150.4487394203235
191,-575.5546518909032
192,-239.36444355600952
193,-236.23297004073817
194,-374.7606479266871
195,-284.9416393478549
196,-349.783617775626
197,-172.62297166921954
198,-191.912348942675
199,-245.95925008345208
200,-506.02520514495706
201,-272.45232038470283
202,-46.52400686398447
203,-78.0278263003203
204,-121.90054273708742
205,-259.4973607735552
206,-223.8060889443388
207,-73.92635142193487
208,-431.38429820566506
209,-116.48670229693082
210,-478.0359623194617
211,-110.64829215353083
212,-186.56513292286428
213,-246.2829525494433
214,-121.22342208428925
215,-296.0604508387084
216,-446.55629725785553
217,-134.5843064855889
218,-113.1515314012077
219,-263.65889491153905
220,-292.80155495644726
221,-235.1944286128783
222,-195.15584323693844
223,-61.53895289416234
224,-55.32733200946916
225,-181.45615283568912
226,-288.23289152079457
227,-82.99106595334905
228,-270.84884317061346
229,-248.6038953022174
230,-177.71400754933993
231,-1.5805449530832618
232,-181.24571955794676
233,-93.94016893868607
234,-387.8673958649152
235,-176.5915334623551
236,-260.44439576943336
237,-248.03430999735264
238,-199.33978996480016
239,-212.99455225995825
240,-109.97083674711726
241,-304.1180660244828
242,-321.2345138662432
243,-92.64289830054913
244,-297.37008784512574
245,-198.53523220352116
246,-162.23277905581722
247,-103.50066958768383
248,-64.12322511701558
249,-136.39446599130227
250,-276.24102607139116
251,-98.54184771629222
252,-250.30935583120893
253,-185.64874238975597
254,-136.15792949492635
255,-157.4771429390289
256,-16.823107435332787
257,-23.61952566387977
258,-152.2821769795117
259,-243.88392320156137
260,14.203889432042388
261,-386.1924447730872
262,-320.358960185447
263,-181.42076707721725
264,-207.44177414406934
265,-198.13591295024963
266,-363.01642686614525
267,2.0630848975374363
268,-108.73158001070165
269,-108.55425167279631
270,-203.52319558197934
271,-818.2911364266288
272,-869.713029711438
273,-431.6242022740512
274,-437.22014405080847
275,-493.762022698582
276,-680.4953982191292
277,-239.61564856562333
278,-592.258818638486
279,-394.9557230178527
280,-371.11492410016797
281,-225.2997152279337
282,-199.9364775318899
283,-291.2586782014331
284,-594.6133033251404
285,-104.87227836075544
286,-146.9594215263489
287,-424.30619801489
288,-300.14642011544476
289,-427.64748776347244
290,-251.57882667949858
291,-537.7708994577855
292,-513.9020521840243
293,-164.58098600409375
294,-469.9273312366023
295,-370.9946977159926
296,-348.76712592108515
297,-100.5467743361641
298,-609.5835238918364
299,-520.3576082843676
