episodes,rewards
0,-104.49530276170725
1,-423.95304919809104
2,-83.47280457466118
3,-95.13952167229212
4,-434.9934004055431
5,-130.96586609546824
6,-190.1378048075387
7,-218.66360222807467
8,-143.84428657711618
9,-193.45766646080602
10,-64.71810380744051
11,-75.82108411218377
12,-121.69394192354412
13,-237.68969171929868
14,-123.03922097732416
15,-152.19444505145415
16,-97.25884452927367
17,-295.195006076819
18,-249.00734083726644
19,-95.68556978913914
20,-222.4568239617456
21,-98.9208458427215
22,-189.50195227519956
23,-86.96597830111438
24,-33.70271873589749
25,-129.6389493762067
26,-79.62151950169
27,-346.22715085441064
28,-171.99036008322514
29,-293.029772165639
30,-104.81176516695177
31,-123.77590910073704
32,-277.745836499589
33,-87.68742533207981
34,-137.97133398393416
35,-128.7204404614949
36,-170.41432986606145
37,-474.0878836393984
38,-442.0703339735456
39,-76.16018940636494
40,-115.79507878409711
41,-113.95209568719581
42,-146.3890148992584
43,-171.43978003135015
44,-174.60641037093262
45,-123.25229354039587
46,-74.97265180787666
47,-441.1098094467013
48,-274.14366584442143
49,-124.38184867215355
50,-155.23892204411237
51,-352.42448642404946
52,-231.94048383713866
53,-307.88854933788355
54,-264.02585545972875
55,-39.33879568701573
56,-63.18839718599786
57,-237.96415351208543
58,-104.73868942482308
59,-79.89449222726915
60,-116.50908872249022
61,-52.149539265629286
62,-71.14542705469094
63,-165.8386551169242
64,-95.66150949453674
65,-42.54358608634929
66,-91.98511336887391
67,-365.6162159800546
68,-205.48360164466686
69,-285.2617845442884
70,-89.41452226386377
71,-122.09187726467269
72,-217.0242837743629
73,-224.38502058957033
74,-105.57961514431243
75,-366.8190670610025
76,-164.95933608294382
77,-512.9897257276477
78,-453.1117031361656
79,-95.18053848763252
80,-231.75359717505648
81,-101.75705251071032
82,-159.87191476438943
83,-147.5735719641558
84,-174.71625706890578
85,28.599028676461387
86,-74.0686530674837
87,-384.85303886246726
88,-173.34684895331102
89,-121.65310369147373
90,-118.8811546990725
91,-121.48885425919552
92,-176.31150938616986
93,-56.23524223257481
94,-180.33151513654704
95,-74.17391860484773
96,-120.57504002250252
97,-60.093906510965326
98,-339.049951201078
99,-298.7443437526733
100,-272.75814366616567
101,-269.8079562900168
102,-272.5190211911171
103,-76.63421973407998
104,-71.31656067866415
105,-67.84358369468418
106,-218.49150790497276
107,-24.352328764000646
108,-378.59668755817785
109,-267.20241867261836
110,-104.84725955043156
111,-120.92161963658347
112,-228.52245550489968
113,-87.41934570540872
114,-373.0283174130184
115,-211.12115899581198
116,-53.60105645102199
117,-437.33201772262163
118,-318.23704299646647
119,-93.30776016498257
120,-95.68690531829172
121,-227.32490151110977
122,-406.44610879267964
123,-438.616782776963
124,-19.086661065951148
125,-161.7679972601496
126,-533.3241701572047
127,-114.742721540122
128,-128.8867317621963
129,-23.979833068184647
130,-119.04673194395801
131,-235.3736783098276
132,-101.55421878670133
133,3.902204348033848
134,-222.92679718402272
135,-333.26291100405956
136,-63.59457888209307
137,-181.96063542265404
138,-138.73451693973692
139,-91.21646967168564
140,-297.7378297737728
141,-281.1311916515368
142,-418.9732538702905
143,-80.06793580087388
144,-106.5100776514378
145,-289.0302877637673
146,-71.41829982137223
147,-114.46266060202878
148,-230.08212883866895
149,-61.430795447260365
150,-122.69924124115653
151,-174.44298783779527
152,-310.1018378971583
153,-88.60709713263324
154,-31.43709768195012
155,-243.35775995159878
156,-284.013871516184
157,-71.0078841048039
158,-142.02567257694938
159,-89.3393719900105
160,-66.55024593509715
161,-282.3876798193876
162,-243.92052411306946
163,-91.335765300356
164,-305.1997557641208
165,-220.79008876317982
166,-141.79895999719145
167,-103.09790459532738
168,-96.86634966104894
169,-114.60633867648419
170,-148.60491650721974
171,-93.04064239616979
172,-73.92812303890673
173,-222.93801215210613
174,-202.68170893873247
175,-210.07003572950748
176,-96.58555080587308
177,-415.62699361166494
178,-199.67798953091554
179,-137.36078028335731
180,-244.50155904314073
181,-88.4615245640914
182,-66.27783111149725
183,-214.35806600242927
184,-96.59142042790401
185,-137.26302268877026
186,-112.76146931917775
187,-100.29049563877454
188,-392.592393158199
189,-226.2495631108556
190,-123.01585977962964
191,-213.22555429256562
192,-209.25255119384542
193,-145.59408938458432
194,-91.97888122027823
195,-237.83617558385436
196,-306.1458318491875
197,-232.19452583672205
198,-91.984717149424
199,-36.898906894203066
200,-222.8114079801635
201,-90.58536726717148
202,-107.10363233782715
203,4.63511104496574
204,-136.51602393593538
205,-338.03793517433746
206,-304.3485705764075
207,-75.16874686990161
208,-261.9104431443177
209,-35.92558683019874
210,-137.00877504972888
211,-456.91584275196817
212,-119.03092348866508
213,-72.55603905330395
214,-117.37608474910584
215,-191.35179586067616
216,-136.67834211261925
217,-121.03782591116918
218,-213.2460668868814
219,-129.87933970247684
220,-87.46133018237657
221,-97.18182144132587
222,-83.59972429607781
223,-108.28796882265249
224,-70.77588928553773
225,-131.59288471151362
226,-158.57316404805084
227,-64.46705140842676
228,-103.21099166875835
229,-67.9248221604281
230,-100.7577831588583
231,-189.12249397742067
232,-317.06189501984454
233,-80.1537117398235
234,-102.95411028199776
235,-66.99381943201641
236,-341.58427716849536
237,-191.5144171065067
238,-131.5415757697067
239,-75.0860650267179
240,-41.538006127926025
241,-249.48756933935175
242,-57.411151686467896
243,-128.7625947793417
244,-260.63805666472354
245,-219.89299004649763
246,-221.4750157953767
247,-323.88192761049095
248,-78.3933598814976
249,-112.76121966548273
250,-303.7168937587731
251,-278.87443499601983
252,-169.5377012626014
253,-91.1482872873652
254,-190.46874573345238
255,-257.26982655737413
256,-97.98941232887513
257,-160.79929625876457
258,-142.3665334975047
259,-286.67879308712793
260,-93.99170332523904
261,-112.67171602164572
262,-49.5942964607746
263,-92.49642159912483
264,-117.9358002879242
265,-88.07683640836083
266,-133.8683203665013
267,-198.0082310996592
268,-90.03361710976262
269,-129.57139740546498
270,-287.5335665771265
271,-186.07145031727396
272,-27.855095939882332
273,-181.58603249207567
274,-53.745642470707615
275,-117.97869402744153
276,-62.94432475870111
277,-140.04242082466016
278,-243.42075599818628
279,-103.79744697670088
280,-49.820005815321096
281,-192.94076011237797
282,-26.205959988945168
283,-249.26545840718526
284,-73.08653652919062
285,-309.4349522572155
286,14.80779323284942
287,-84.12609780510128
288,-104.06519733291884
289,-178.67099016379154
290,-65.97482073462524
291,-284.8939432573511
292,-287.9277001813001
293,-505.7440958652921
294,-337.55436942024875
295,-121.32376995458495
296,-111.81651784599677
297,-256.32476179245964
298,-98.38712365926781
299,-256.57480184664837
