episodes,rewards
0,17.0
1,12.0
2,11.0
3,32.0
4,16.0
5,39.0
6,13.0
7,25.0
8,20.0
9,12.0
10,12.0
11,34.0
12,22.0
13,21.0
14,11.0
15,39.0
16,21.0
17,13.0
18,25.0
19,17.0
20,14.0
21,11.0
22,46.0
23,31.0
24,17.0
25,12.0
26,35.0
27,14.0
28,12.0
29,19.0
30,15.0
31,10.0
32,27.0
33,10.0
34,11.0
35,9.0
36,15.0
37,18.0
38,16.0
39,21.0
40,20.0
41,18.0
42,40.0
43,28.0
44,44.0
45,39.0
46,16.0
47,30.0
48,24.0
49,26.0
50,18.0
51,18.0
52,17.0
53,14.0
54,9.0
55,13.0
56,14.0
57,14.0
58,18.0
59,22.0
60,12.0
61,13.0
62,28.0
63,13.0
64,14.0
65,12.0
66,15.0
67,9.0
68,39.0
69,19.0
70,13.0
71,16.0
72,29.0
73,16.0
74,13.0
75,12.0
76,18.0
77,21.0
78,29.0
79,10.0
80,19.0
81,26.0
82,20.0
83,19.0
84,28.0
85,22.0
86,16.0
87,14.0
88,17.0
89,19.0
90,10.0
91,80.0
92,109.0
93,30.0
94,50.0
95,22.0
96,100.0
97,57.0
98,28.0
99,47.0
100,38.0
101,51.0
102,21.0
103,18.0
104,30.0
105,80.0
106,25.0
107,25.0
108,29.0
109,31.0
110,24.0
111,35.0
112,22.0
113,31.0
114,53.0
115,62.0
116,39.0
117,24.0
118,40.0
119,44.0
120,50.0
121,18.0
122,17.0
123,61.0
124,81.0
125,49.0
126,37.0
127,30.0
128,26.0
129,74.0
130,28.0
131,37.0
132,39.0
133,34.0
134,115.0
135,39.0
136,25.0
137,69.0
138,96.0
139,35.0
140,25.0
141,17.0
142,19.0
143,33.0
144,16.0
145,46.0
146,31.0
147,28.0
148,25.0
149,34.0
150,28.0
151,49.0
152,35.0
153,25.0
154,25.0
155,100.0
156,85.0
157,40.0
158,28.0
159,82.0
160,113.0
161,73.0
162,125.0
163,238.0
164,109.0
165,161.0
166,191.0
167,80.0
168,189.0
169,118.0
170,65.0
171,141.0
172,137.0
173,188.0
174,118.0
175,255.0
176,217.0
177,185.0
178,276.0
179,109.0
180,111.0
181,16.0
182,111.0
183,217.0
184,274.0
185,205.0
186,316.0
187,177.0
188,184.0
189,238.0
190,32.0
191,29.0
192,104.0
193,46.0
194,268.0
195,301.0
196,385.0
197,111.0
198,189.0
199,203.0
200,211.0
201,196.0
202,201.0
203,307.0
204,286.0
205,68.0
206,55.0
207,331.0
208,126.0
209,111.0
210,214.0
211,145.0
212,192.0
213,219.0
214,158.0
215,181.0
216,185.0
217,159.0
218,119.0
219,52.0
220,185.0
221,239.0
222,288.0
223,188.0
224,183.0
225,245.0
226,303.0
227,289.0
228,315.0
229,371.0
230,255.0
231,421.0
232,480.0
233,218.0
234,408.0
235,285.0
236,500.0
237,321.0
238,301.0
239,481.0
240,387.0
241,250.0
242,245.0
243,352.0
244,268.0
245,37.0
246,281.0
247,123.0
248,165.0
249,500.0
250,238.0
251,385.0
252,377.0
253,351.0
254,426.0
255,339.0
256,500.0
257,187.0
258,332.0
259,268.0
260,187.0
261,250.0
262,227.0
263,237.0
264,200.0
265,240.0
266,250.0
267,316.0
268,217.0
269,277.0
270,259.0
271,207.0
272,153.0
273,70.0
274,231.0
275,171.0
276,208.0
277,179.0
278,45.0
279,253.0
280,204.0
281,444.0
282,435.0
283,450.0
284,291.0
285,429.0
286,350.0
287,262.0
288,429.0
289,231.0
290,276.0
291,217.0
292,189.0
293,250.0
294,240.0
295,252.0
296,266.0
297,263.0
298,252.0
299,199.0
