episodes,rewards
0,-145.69485883388055
1,-122.84127631952136
2,-127.43226289621893
3,-253.52632905384124
4,-77.94356339870356
5,-390.41198976479893
6,-44.91956274083297
7,-111.51560935428424
8,-387.9206891627216
9,-116.04415522601393
10,-355.6411742338019
11,-131.55775606940236
12,-249.66754700799657
13,-77.32696007913256
14,-67.41179131896402
15,-141.7494348891816
16,-358.3896444617709
17,-114.3990452302912
18,-189.50660053331978
19,-100.8748467957561
20,-434.8803854319607
21,-216.47148194134977
22,-79.83874632933569
23,-209.75330367686664
24,-177.9084403684065
25,-193.806393386475
26,-85.86646098528779
27,-115.01580283387449
28,-67.5822313905725
29,-201.72638150542127
30,-88.09133559583057
31,-86.62291765130257
32,-115.16945810423324
33,-98.94116808262504
34,-102.36857366312928
35,-182.0104879510785
36,-94.9271177105491
37,-89.68242401644393
38,-228.52306966747082
39,-249.9866788865144
40,-118.21283401446
41,-31.976074273434136
42,-114.0527487948402
43,-112.18696488998842
44,-65.89419584279248
45,-160.05500133727372
46,-85.00445687271838
47,22.948156259790125
48,-118.50334185626454
49,-262.63744229346037
50,-301.2962604049525
51,-398.10217932530674
52,-421.2991599899281
53,-65.47708961476118
54,-248.44118081328403
55,-148.6889105752047
56,-406.4749738880319
57,-153.95605511841222
58,-363.6207588410234
59,-236.15742267239577
60,-389.69941103150364
61,-281.6057807018933
62,-133.9290368457887
63,-412.4165604190198
64,-146.407083190324
65,-82.36140671733172
66,-315.7755161767785
67,-250.6669600559196
68,-71.76216307154877
69,-253.34897814174974
70,-63.731821831766936
71,-62.45705789235871
72,-209.27639109290408
73,-45.1694906664023
74,-44.983277519706476
75,-14.925566310227666
76,-301.9680863622566
77,-338.21984209161957
78,-217.78930242350123
79,-349.8924505101996
80,-122.10669320599429
81,-158.58583559304083
82,-202.90501681395898
83,-308.9619934202108
84,-40.62201252633743
85,-126.96372146215865
86,-389.5250179247747
87,-256.77084667466613
88,-188.60168196380357
89,-130.28403875897857
90,-165.18538611683556
91,-119.3654241922679
92,-180.5761796814707
93,-148.73661963186993
94,-85.02305377726181
95,-124.97495104135974
96,-184.12201913685072
97,-244.58301755037763
98,-162.5742741877142
99,-105.88837290476867
100,-239.3607988048578
101,-140.3483249686239
102,-50.2085584097873
103,-23.51492819189312
104,-209.97016753707342
105,-101.76433996034693
106,-210.92665217833735
107,-170.7344162886644
108,-329.15096143182416
109,-45.863517040392246
110,-148.43356462892618
111,-209.15350706057828
112,-322.61140300887735
113,-210.5441842503016
114,-74.36438429470698
115,-391.06359343476595
116,-227.08105376732013
117,-96.1865225939392
118,-212.54006887242338
119,-253.85073763903577
