episodes,rewards
0,13.0
1,16.0
2,14.0
3,37.0
4,15.0
5,15.0
6,23.0
7,42.0
8,13.0
9,13.0
10,10.0
11,13.0
12,12.0
13,15.0
14,55.0
15,13.0
16,37.0
17,16.0
18,14.0
19,19.0
20,17.0
21,10.0
22,25.0
23,15.0
24,33.0
25,21.0
26,12.0
27,24.0
28,11.0
29,30.0
30,13.0
31,28.0
32,17.0
33,10.0
34,37.0
35,16.0
36,21.0
37,16.0
38,16.0
39,11.0
40,20.0
41,15.0
42,38.0
43,33.0
44,11.0
45,39.0
46,19.0
47,14.0
48,15.0
49,20.0
50,35.0
51,41.0
52,27.0
53,15.0
54,54.0
55,22.0
56,53.0
57,20.0
58,38.0
59,33.0
60,20.0
61,74.0
62,121.0
63,10.0
64,47.0
65,76.0
66,67.0
67,93.0
68,49.0
69,43.0
70,47.0
71,104.0
72,22.0
73,62.0
74,47.0
75,26.0
76,73.0
77,139.0
78,12.0
79,181.0
80,13.0
81,42.0
82,56.0
83,62.0
84,74.0
85,143.0
86,96.0
87,28.0
88,15.0
89,83.0
90,30.0
91,123.0
92,63.0
93,64.0
94,99.0
95,61.0
96,22.0
97,11.0
98,90.0
99,159.0
100,12.0
101,68.0
102,89.0
103,10.0
104,63.0
105,133.0
106,15.0
107,49.0
108,42.0
109,55.0
110,100.0
111,62.0
112,121.0
113,24.0
114,146.0
115,95.0
116,31.0
117,80.0
118,24.0
119,42.0
120,21.0
121,70.0
122,62.0
123,23.0
124,134.0
125,16.0
126,187.0
127,78.0
128,187.0
129,19.0
130,42.0
131,164.0
132,109.0
133,161.0
134,130.0
135,205.0
136,89.0
137,190.0
138,119.0
139,75.0
140,62.0
141,122.0
142,122.0
143,90.0
144,96.0
145,86.0
146,53.0
147,108.0
148,52.0
149,124.0
150,89.0
151,258.0
152,136.0
153,256.0
154,81.0
155,127.0
156,44.0
157,33.0
158,382.0
159,251.0
160,247.0
161,16.0
162,42.0
163,198.0
164,175.0
165,134.0
166,16.0
167,179.0
168,178.0
169,152.0
170,187.0
171,27.0
172,187.0
173,34.0
174,319.0
175,320.0
176,115.0
177,156.0
178,102.0
179,221.0
180,118.0
181,152.0
182,47.0
183,203.0
184,157.0
185,47.0
186,163.0
187,37.0
188,91.0
189,135.0
190,49.0
191,182.0
192,189.0
193,262.0
194,175.0
195,152.0
196,196.0
197,93.0
198,17.0
199,153.0
200,304.0
201,169.0
202,198.0
203,197.0
204,80.0
205,151.0
206,97.0
207,191.0
208,172.0
209,258.0
210,232.0
211,187.0
212,273.0
213,146.0
214,184.0
215,188.0
216,233.0
217,228.0
218,182.0
219,189.0
220,231.0
221,173.0
222,185.0
223,174.0
224,166.0
225,183.0
226,150.0
227,167.0
228,179.0
229,240.0
230,164.0
231,194.0
232,92.0
233,261.0
234,175.0
235,36.0
236,127.0
237,74.0
238,174.0
239,258.0
240,245.0
241,175.0
242,190.0
243,182.0
244,178.0
245,176.0
246,171.0
247,177.0
248,210.0
249,170.0
250,174.0
251,173.0
252,171.0
253,146.0
254,58.0
255,212.0
256,166.0
257,29.0
258,166.0
259,201.0
260,184.0
261,345.0
262,190.0
263,199.0
264,222.0
265,221.0
266,238.0
267,194.0
268,207.0
269,268.0
270,209.0
271,123.0
272,79.0
273,264.0
274,213.0
275,307.0
276,216.0
277,341.0
278,319.0
279,219.0
280,271.0
281,181.0
282,205.0
283,256.0
284,154.0
285,252.0
286,237.0
287,223.0
288,233.0
289,197.0
290,306.0
291,185.0
292,178.0
293,339.0
294,179.0
295,204.0
296,226.0
297,175.0
298,192.0
299,176.0
