episodes,rewards
0,-343.4805777837848
1,-190.73362173791833
2,-144.0705408708303
3,-124.86162140403644
4,-68.59275192209284
5,-253.55974760530796
6,-187.55295481770355
7,-164.99552795153403
8,-90.427186762041
9,-124.95863738540918
10,-60.81914606270905
11,-81.46260433444188
12,-74.88483347364088
13,-187.52019543645503
14,-145.95244933005227
15,-130.86284291023676
16,-81.90122078821503
17,-111.07054930318091
18,-113.78491414605394
19,-215.9290651775716
20,-401.46894358134983
21,-131.9759447982195
22,-370.769415585697
23,-330.0514320987329
24,-100.76954510897075
25,-99.53351156744932
26,-478.9263978231798
27,-183.01838116499027
28,-79.90696830255345
29,-85.8307788193803
30,-343.56950537556645
31,-212.25108870737625
32,-95.48729290398865
33,-305.64182971926846
34,-354.8008675706945
35,-224.918446012103
36,-411.9268468191498
37,-70.7229820640928
38,-136.22790706870134
39,-162.92978565656625
40,-205.1533106314571
41,45.94379475712361
42,-96.14068797598443
43,-71.87635851186025
44,-283.9540548756977
45,-267.85927264301927
46,-203.06229251187995
47,-130.44484695943865
48,-106.30934313239752
49,-86.92888927936826
50,-86.60403542072484
51,-195.23262639203378
52,-362.24565842837376
53,-77.94555068623477
54,-79.25081009601632
55,-85.01536503229389
56,-199.9010929629235
57,-209.1310402673941
58,-177.8288900891998
59,-30.346927581334057
60,-125.39482100039967
61,-227.2670561094811
62,-57.22376141005728
63,-2.360484207923946
64,-63.49090479132266
65,-185.6841729442129
66,-137.1141942981016
67,-240.29528777363947
68,-116.152981656468
69,-83.28736548734715
70,-228.39122816738018
71,-217.12914785858192
72,-182.64288121169886
73,-183.32707063030148
74,-107.2689506327161
75,-314.2387006333576
76,-205.71722451773925
77,-161.49121463663602
78,-182.42387860672255
79,-162.12135068725874
80,-122.17170808431187
81,-265.85547206359524
82,-97.02045369612233
83,-236.38091657298853
84,-69.16580757895778
85,-215.73808811274287
86,-223.10931631058548
87,-119.39256522912902
88,-90.0471724258325
89,-71.62155723511574
90,-124.12735974858913
91,-36.03104912672993
92,-201.73876258834295
93,-101.74237301412651
94,-161.05911362994283
95,-140.84318750533623
96,-132.5676858255324
97,-173.53402784928358
98,-167.0402726050503
99,-178.78274531180557
100,67.77873875862979
101,-85.87312489185163
102,-67.25048730789197
103,-98.52309002434616
104,-121.64412993289363
105,-242.22265573604338
106,-328.17196603381507
107,-242.82028426691662
108,-137.75127278107487
109,-192.69851808661934
110,-61.59363346276935
111,0.4947476167784828
112,-64.98135991757096
113,59.91097237279732
114,-211.92308883739844
115,-167.21009419480424
116,-193.3416420725478
117,-121.38529458530056
118,-127.19675011515392
119,-2.8852394697627943
120,-0.21777935263497739
121,-209.64224986126908
122,-78.19424427028915
123,-295.9914409069024
124,8.106548375286607
125,-149.40143060559808
126,-128.35771295675215
127,-128.496397163884
128,-141.2079819124985
129,-59.46814043694717
130,-200.06616150088465
131,-122.3901215131711
132,-121.98598987817141
133,-110.7669924065378
134,-52.75383805759572
135,-50.402119481785974
136,-118.98114223020875
137,-141.4032144637208
138,-118.75816599283762
139,-65.34178605158291
140,-88.87148010333445
141,-204.0943387493669
142,-140.65236292914472
143,-160.0936964857778
144,-208.78640163157857
145,-78.8395598240538
146,-318.052271403854
147,-62.88472858913006
148,-98.57575155493574
149,-70.0210541338995
150,-157.42477762418002
151,-6.530217109666381
152,-60.47046357028874
153,-154.88926871877348
154,-82.48082249116962
155,-122.45308306095048
156,-342.32190727877173
157,-71.67949441604443
158,-41.640562203833774
159,-131.2283292602724
160,-72.31169930142931
161,-74.50223690823525
162,-154.83946368086904
163,-151.61447879553492
164,-102.80577508702629
165,-54.35790621986974
166,-305.793995233872
167,-104.49092742606584
168,-182.17673185725414
169,-171.92776359083103
170,-63.73178689657725
171,-125.41035264383484
172,-253.85669566815614
173,-127.99673664352359
174,-32.97062055717747
175,-57.63119589553042
176,-108.63018030432413
177,-205.47743511395188
178,-27.728891497282618
179,-139.9473851425954
180,-70.40639439576913
181,-89.16207195655024
182,-82.47862911148792
183,-293.30190164796363
184,-259.76340323709724
185,-207.15151912967718
186,-224.91254892742555
187,-89.5137091862194
188,-125.47232060923079
189,-148.5502118996052
190,-296.49662263704533
191,-67.02300237111767
192,-134.9817179362252
193,-282.374162058793
194,-101.80447653602177
195,-88.23692608880809
196,-162.13427685773638
197,-89.82665031747136
198,-259.29438666912597
199,-78.59991401606477
200,-94.97704131050993
201,-154.9997773638891
202,-126.57586612976138
203,-480.7183710200517
204,-93.25558304247092
205,-93.64227727224932
206,-45.229552313975134
207,-182.8834202851328
208,-37.00120287345805
209,-196.92840023465112
210,-99.65406056103897
211,-126.82445163389795
212,-357.9495907765337
213,-468.69000261418506
214,-451.54774532254135
215,9.382232983775623
216,-481.75150853784874
217,-383.9370910980372
218,-263.57781305316746
219,-111.44418123342905
220,-76.851179296915
221,-84.4725235813246
222,-267.8460126255121
223,-220.7397013841316
224,-215.72426915307355
225,-251.70769507537403
226,-424.28381327372193
227,-128.545755038254
228,-170.92809154756696
229,-212.37144643272052
230,-288.50951372307594
231,-161.7444770399095
232,-88.38994871278459
233,-131.04436895511554
234,-199.95274726463438
235,-331.49641280849255
236,-282.501052091404
237,-72.76705818493824
238,-196.93837882289637
239,-86.44714201386637
240,-133.17549445395144
241,-173.34997945328706
242,-205.11553375492093
243,-36.80133461210746
244,-179.47937530998814
245,-229.39807224696398
246,-35.024303445720506
247,-204.8804288998321
248,-76.42727466632233
249,-267.101285313233
250,-116.59106471135516
251,-147.59133634783018
252,-232.20457510923694
253,-230.51584079347958
254,-305.08874737648546
255,-56.531428258925054
256,-228.84311019671952
257,-147.4676343060566
258,-444.4010005436117
259,-272.36730001699107
260,-224.99090528548822
261,-98.56555111842893
262,-392.4749723007935
263,-319.10315126715204
264,-100.56941997297012
265,-237.9279766095756
266,-69.04330433589737
267,-329.65810187929696
268,-87.73338056537756
269,-509.14973155567105
270,-298.8545102527622
271,-128.80595138721213
272,-115.60576881728
273,-100.27515909129983
274,-173.70666327553027
275,-92.64882420477733
276,-167.17013415384758
277,-200.0497433010894
278,-204.82699376126686
279,-184.07618234226086
280,-251.12604138200416
281,-367.22573942385895
282,-324.495216932106
283,-373.2683762478112
284,-348.219969456442
285,-407.04488785393517
286,-293.9986061377852
287,-353.9406987867897
288,-337.39993459253026
289,-188.13079137741738
290,-69.1090609447484
291,-396.88148435651345
292,-345.9130219939299
293,-150.64620326643274
294,-222.35613634178492
295,-335.12259100165966
296,-267.038903916091
297,-272.25183464392387
298,40.782480503428076
299,-356.9054668327856
300,-305.6838732118044
301,-89.81694975287175
302,-215.38499478947284
303,-83.18704689733188
304,-59.24594673087666
305,-112.04777038909752
306,-85.00873388663247
307,-209.79362925147865
308,-271.1365902406992
309,-259.3877853546227
310,-59.6277196023909
311,-97.09537689620859
312,-123.15254793961822
313,-129.46127312124963
314,-402.6095156050099
315,-72.61160074520225
316,-145.55692680567955
317,-194.9110740033027
318,-186.36629126419112
319,-270.1741530140901
320,-226.00719441556086
321,-278.7210690509952
322,-138.9635452026777
323,-200.10927885628308
324,-326.48954072471406
325,-263.0823596609065
326,-339.9204230479783
327,-241.95178029534966
328,-113.00091193805659
329,-291.64783624015973
330,-214.1690344376184
331,-217.40102732118126
332,-255.45573063374573
333,-373.3541056384624
334,-269.5696456970138
335,-197.09333597140835
336,-257.4904492439181
337,-214.3863656732752
338,-129.94546302575517
339,-281.3078642602935
340,-685.8753453273455
341,100.5017528701532
342,-334.6454712070023
343,-260.96150337471306
344,-238.40940002088448
345,-327.5755784163087
346,-204.85050351153149
347,-258.3477342393602
348,-177.13952115567562
349,-110.7250451429828
350,-310.41090453710206
351,-35.96056830931258
352,-61.057725113117385
353,-104.80554574722906
354,-53.04831664043981
355,-25.011923075763335
356,219.05782049412073
357,-89.76201662146791
358,-120.70377662437525
359,194.81167208721303
360,8.6650404582428
361,43.23264948612726
362,201.05689720714372
363,232.23810955688742
364,-111.62295657954067
365,211.60752857305056
366,185.18495724749187
367,146.1955153481569
368,-31.379469444438485
369,-55.167133779996654
370,53.56859205856753
371,-169.20592029528106
372,-225.41441243900408
373,-246.2031625155225
374,-167.42288078102533
375,-228.5657361685088
376,138.80747728625823
377,-239.91539960737063
378,-174.28203410757675
379,-80.05241897231801
380,-217.62240078885418
381,-150.30215216357527
382,-34.01233366314307
383,-252.0105909454217
384,-17.815561571990354
385,-232.45393487806783
386,-51.42448446428352
387,-208.7037433191163
388,-41.167331073780844
389,-203.83881569586492
390,-267.9567210833594
391,192.67962839187174
392,-40.79983086504389
393,22.414385375287264
394,285.6898481896552
395,-218.12583306802065
396,244.12471433435735
397,272.1197849066592
398,4.862724891194504
399,160.06347689296462
400,268.18061736352365
401,121.05106123237489
402,153.7335148507272
403,-239.52533181364046
404,-59.01609093604211
405,-76.91670614855698
406,-51.26201559053109
407,-222.32390481321153
408,219.84795329950003
409,-15.233654270466516
410,-33.122113753629165
411,-155.0429362305222
412,-310.4441060313834
413,-231.18031572349253
414,232.64004636736647
415,-16.561352399686864
416,-78.9810269165774
417,237.12113632508635
418,-200.3670865725025
419,-314.2083553585636
420,-54.84728215649124
421,-83.77943282508934
422,-55.78071402069381
423,-190.1512998280274
424,-32.29837295126204
425,-228.91651810512406
426,16.329704100934904
427,269.2297330179856
428,240.35845087787445
429,-195.54195377836163
430,-104.41814911763693
431,-414.01329746128965
432,198.10185474901715
433,-3.695544748797218
434,-560.6515267883716
435,-568.286190902645
