episodes,rewards
0,11
1,10
2,9
3,9
4,9
5,9
6,8
7,9
8,8
9,7
10,8
11,7
12,9
13,7
14,9
15,8
16,8
17,9
18,9
19,9
20,9
21,8
22,8
23,9
24,9
25,9
26,7
27,8
28,8
29,7
30,9
31,7
32,8
33,7
34,8
35,9
36,9
37,9
38,9
39,9
40,9
41,7
42,9
43,7
44,9
45,9
46,9
47,9
48,8
49,9
50,9
51,7
52,7
53,9
54,9
55,8
56,9
57,8
58,8
59,9
60,7
61,9
62,9
63,9
64,8
65,9
66,9
67,8
68,8
69,8
70,7
71,8
72,7
73,10
74,9
75,8
76,8
77,8
78,8
79,8
80,9
81,8
82,10
83,9
84,9
85,9
86,8
87,9
88,8
89,8
90,8
91,9
92,9
93,7
94,7
95,9
96,8
97,9
98,8
99,7
100,9
101,8
102,9
103,7
104,9
105,8
106,8
107,8
108,8
109,9
110,9
111,9
112,9
113,7
114,8
115,7
116,9
117,9
118,9
119,7
120,8
121,9
122,9
123,8
124,9
125,9
126,9
127,8
128,8
129,9
130,9
131,9
132,8
133,9
134,7
135,9
136,8
137,9
138,8
139,7
140,9
141,8
142,9
143,9
144,8
145,8
146,8
147,7
148,8
149,9
150,8
151,9
152,7
153,9
154,9
155,7
156,9
157,8
158,8
159,9
160,9
161,9
162,8
163,9
164,9
165,9
166,10
167,7
168,9
169,9
170,9
171,9
172,9
173,7
174,8
175,9
176,8
177,8
178,8
179,8
180,9
181,10
182,9
183,9
184,8
185,8
186,8
187,9
188,8
189,9
190,9
191,7
192,8
193,7
194,9
195,8
196,9
197,8
198,8
199,8
200,7
201,8
202,7
203,9
204,7
205,9
206,9
207,7
208,9
209,9
210,8
211,9
212,9
213,9
214,8
215,7
216,8
217,8
218,8
219,9
220,8
221,9
222,8
223,10
224,8
225,8
226,8
227,9
228,8
229,9
230,7
231,9
232,8
233,8
234,7
235,10
236,9
237,9
238,7
239,8
240,8
241,8
242,8
243,9
244,9
245,8
246,8
247,9
248,8
249,9
250,8
251,8
252,8
253,9
254,9
255,7
256,9
257,9
258,7
259,8
260,9
261,7
262,8
263,10
264,7
265,8
266,9
267,9
268,10
269,7
270,9
271,9
272,9
273,8
274,10
275,8
276,10
277,8
278,8
279,9
280,7
281,9
282,7
283,9
284,8
285,7
286,10
287,8
288,8
289,8
290,9
291,8
292,8
293,9
294,9
295,8
296,9
297,9
298,7
299,7
