episodes,rewards
0,34.0
1,23.0
2,36.0
3,13.0
4,23.0
5,13.0
6,15.0
7,16.0
8,21.0
9,16.0
10,49.0
11,12.0
12,30.0
13,15.0
14,11.0
15,14.0
16,34.0
17,21.0
18,34.0
19,21.0
20,21.0
21,61.0
22,17.0
23,16.0
24,32.0
25,20.0
26,9.0
27,15.0
28,17.0
29,34.0
30,14.0
31,20.0
32,29.0
33,44.0
34,17.0
35,12.0
36,11.0
37,82.0
38,18.0
39,9.0
40,19.0
41,17.0
42,28.0
43,24.0
44,19.0
45,21.0
46,19.0
47,15.0
48,18.0
49,30.0
50,21.0
51,17.0
52,13.0
53,11.0
54,53.0
55,12.0
56,13.0
57,11.0
58,19.0
59,29.0
60,19.0
61,18.0
62,28.0
63,13.0
64,14.0
65,13.0
66,17.0
67,24.0
68,17.0
69,11.0
70,12.0
71,22.0
72,33.0
73,24.0
74,26.0
75,23.0
76,29.0
77,21.0
78,12.0
79,18.0
80,27.0
81,24.0
82,14.0
83,114.0
84,28.0
85,70.0
86,119.0
87,47.0
88,21.0
89,68.0
90,34.0
91,26.0
92,28.0
93,33.0
94,25.0
95,35.0
96,14.0
97,28.0
98,19.0
99,35.0
100,40.0
101,133.0
102,34.0
103,20.0
104,69.0
105,57.0
106,105.0
107,89.0
108,64.0
109,107.0
110,81.0
111,48.0
112,12.0
113,55.0
114,12.0
115,67.0
116,14.0
117,88.0
118,73.0
119,71.0
120,28.0
121,37.0
122,72.0
123,9.0
124,157.0
125,34.0
126,69.0
127,65.0
128,126.0
129,136.0
130,64.0
131,85.0
132,28.0
133,13.0
134,33.0
135,122.0
136,117.0
137,10.0
138,33.0
139,59.0
140,129.0
141,113.0
142,25.0
143,34.0
144,17.0
145,29.0
146,14.0
147,30.0
148,62.0
149,129.0
150,50.0
151,11.0
152,53.0
153,32.0
154,82.0
155,123.0
156,50.0
157,28.0
158,43.0
159,55.0
160,65.0
161,166.0
162,140.0
163,157.0
164,165.0
165,194.0
166,147.0
167,148.0
168,130.0
169,135.0
170,112.0
171,14.0
172,84.0
173,100.0
174,101.0
175,18.0
176,84.0
177,12.0
178,92.0
179,14.0
180,89.0
181,121.0
182,57.0
183,63.0
184,99.0
185,39.0
186,53.0
187,89.0
188,74.0
189,108.0
190,106.0
191,110.0
192,125.0
193,18.0
194,16.0
195,95.0
196,15.0
197,14.0
198,89.0
199,120.0
200,42.0
201,10.0
202,141.0
203,118.0
204,36.0
205,85.0
206,104.0
207,13.0
208,31.0
209,11.0
210,122.0
211,33.0
212,132.0
213,125.0
214,16.0
215,17.0
216,136.0
217,157.0
218,134.0
219,139.0
220,14.0
221,16.0
222,118.0
223,112.0
224,18.0
225,56.0
226,24.0
227,26.0
228,114.0
229,113.0
230,113.0
231,105.0
232,12.0
233,20.0
234,108.0
235,14.0
236,17.0
237,107.0
238,23.0
239,13.0
240,111.0
241,105.0
242,96.0
243,95.0
244,18.0
245,21.0
246,13.0
247,107.0
248,14.0
249,21.0
250,13.0
251,98.0
252,17.0
253,19.0
254,94.0
255,94.0
256,91.0
257,98.0
258,95.0
259,23.0
260,93.0
261,16.0
262,28.0
263,97.0
264,93.0
265,96.0
266,95.0
267,89.0
268,99.0
269,27.0
270,15.0
271,93.0
272,96.0
273,100.0
274,11.0
275,99.0
276,14.0
277,15.0
278,20.0
279,45.0
280,79.0
281,36.0
282,139.0
283,72.0
284,127.0
285,30.0
286,160.0
287,69.0
288,40.0
289,56.0
290,68.0
291,406.0
292,500.0
293,412.0
294,238.0
295,443.0
296,462.0
297,364.0
298,422.0
299,330.0
