episodes,rewards
0,24
1,9
2,8
3,8
4,8
5,8
6,10
7,8
8,8
9,8
10,9
11,8
12,10
13,8
14,8
15,9
16,9
17,9
18,8
19,8
20,7
21,9
22,9
23,8
24,7
25,9
26,8
27,9
28,9
29,10
30,8
31,8
32,8
33,9
34,9
35,7
36,8
37,10
38,9
39,9
40,8
41,9
42,9
43,8
44,8
45,10
46,9
47,8
48,9
49,8
50,8
51,9
52,9
53,10
54,8
55,7
56,9
57,10
58,8
59,9
60,9
61,10
62,9
63,8
64,7
65,8
66,7
67,8
68,9
69,9
70,8
71,8
72,9
73,8
74,8
75,9
76,8
77,7
78,9
79,8
80,9
81,9
82,8
83,8
84,9
85,9
86,9
87,9
88,8
89,9
90,8
91,8
92,9
93,8
94,9
95,8
96,8
97,9
98,9
99,9
100,9
101,9
102,9
103,8
104,8
105,8
106,8
107,8
108,9
109,9
110,9
111,9
112,9
113,8
114,8
115,10
116,8
117,9
118,8
119,7
120,7
121,7
122,9
123,8
124,9
125,8
126,8
127,8
128,9
129,9
130,7
131,7
132,8
133,10
134,8
135,8
136,8
137,7
138,9
139,9
140,9
141,9
142,8
143,7
144,8
145,8
146,9
147,9
148,9
149,9
150,8
151,9
152,9
153,9
154,7
155,8
156,7
157,7
158,9
159,8
160,9
161,7
162,8
163,8
164,8
165,8
166,7
167,8
168,7
169,9
170,8
171,9
172,9
173,8
174,7
175,9
176,9
177,8
178,9
179,8
180,9
181,8
182,8
183,7
184,8
185,9
186,7
187,7
188,8
189,7
190,7
191,9
192,8
193,8
194,7
195,8
196,8
197,7
198,9
199,8
200,8
201,9
202,9
203,9
204,9
205,9
206,9
207,8
208,8
209,8
210,9
211,8
212,8
213,8
214,9
215,10
216,8
217,8
218,9
219,8
220,7
221,8
222,8
223,8
224,8
225,8
226,9
227,8
228,7
229,9
230,10
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,8
239,8
240,9
241,8
242,9
243,8
244,7
245,8
246,9
247,8
248,9
249,8
250,9
251,8
252,9
253,9
254,8
255,9
256,7
257,8
258,9
259,8
260,8
261,7
262,9
263,9
264,9
265,7
266,9
267,9
268,8
269,9
270,9
271,9
272,9
273,9
274,9
275,9
276,7
277,7
278,9
279,8
280,8
281,9
282,7
283,8
284,8
285,9
286,8
287,7
288,9
289,9
290,8
291,9
292,8
293,9
294,9
295,7
296,8
297,9
298,9
299,9
