episodes,rewards
0,23
1,15
2,12
3,14
4,9
5,8
6,14
7,9
8,17
9,17
10,13
11,11
12,8
13,12
14,14
15,20
16,10
17,12
18,12
19,47
20,31
21,11
22,34
23,12
24,23
25,11
26,11
27,23
28,16
29,13
30,21
31,17
32,10
33,16
34,29
35,27
36,18
37,12
38,26
39,24
40,19
41,13
42,67
43,56
44,42
45,20
46,28
47,16
48,11
49,79
50,21
51,33
52,54
53,28
54,24
55,17
56,46
57,23
58,19
59,12
60,19
61,28
62,27
63,33
64,28
65,21
66,23
67,11
68,33
69,78
70,38
71,71
72,115
73,28
74,44
75,38
76,41
77,15
78,40
79,81
80,63
81,56
82,96
83,58
84,65
85,99
86,129
87,100
88,139
89,69
90,68
91,124
92,87
93,126
94,177
95,100
96,86
97,111
98,19
99,101
100,25
101,180
102,163
103,128
104,91
105,76
106,107
107,39
108,96
109,94
110,195
111,121
112,151
113,171
114,41
115,163
116,136
117,97
118,83
119,108
120,85
121,45
122,172
123,96
124,122
125,143
126,134
127,72
128,102
129,288
130,240
131,199
132,390
133,177
134,127
135,140
136,149
137,85
138,97
139,425
140,82
141,112
142,184
143,105
144,116
145,64
146,126
147,143
148,161
149,188
150,93
151,569
152,277
153,680
154,401
155,181
156,262
157,339
158,81
159,172
160,133
161,183
162,167
163,268
164,217
165,159
166,185
167,127
168,209
169,125
170,246
171,196
172,164
173,205
174,232
175,184
176,234
177,171
178,136
179,242
180,161
181,250
182,206
183,212
184,192
185,108
186,111
187,112
188,143
189,133
190,119
191,109
192,118
193,59
194,169
195,124
196,206
197,227
198,133
199,186
200,203
201,221
202,196
203,198
204,332
205,328
206,350
207,288
208,266
209,228
210,229
211,237
212,306
213,444
214,171
215,359
216,279
217,246
218,156
219,194
220,235
221,182
222,211
223,239
224,227
225,770
226,430
227,471
228,524
229,695
230,491
231,392
232,263
233,340
234,285
235,345
236,402
237,331
238,315
239,425
240,386
241,348
242,243
243,378
244,235
245,317
246,251
247,370
248,311
249,320
250,337
251,374
252,266
253,212
254,295
255,292
256,208
257,264
258,331
259,224
260,276
261,265
262,315
263,235
264,239
265,232
266,236
267,192
268,235
269,236
270,203
271,196
272,176
273,124
274,145
275,181
276,119
277,139
278,160
279,123
280,134
281,146
282,156
283,168
284,37
285,169
286,187
287,215
288,220
289,252
290,201
291,262
292,280
293,291
294,403
295,388
296,644
297,852
298,1731
299,709
