episodes,rewards
0,26.0
1,24.0
2,19.0
3,43.0
4,25.0
5,14.0
6,15.0
7,9.0
8,13.0
9,16.0
10,31.0
11,22.0
12,29.0
13,38.0
14,26.0
15,12.0
16,10.0
17,19.0
18,11.0
19,12.0
20,20.0
21,17.0
22,37.0
23,50.0
24,13.0
25,27.0
26,70.0
27,13.0
28,25.0
29,22.0
30,12.0
31,17.0
32,39.0
33,22.0
34,10.0
35,16.0
36,16.0
37,11.0
38,12.0
39,11.0
40,11.0
41,16.0
42,13.0
43,16.0
44,25.0
45,12.0
46,26.0
47,18.0
48,10.0
49,14.0
50,23.0
51,36.0
52,25.0
53,16.0
54,24.0
55,11.0
56,18.0
57,25.0
58,32.0
59,23.0
60,13.0
61,13.0
62,19.0
63,15.0
64,10.0
65,16.0
66,16.0
67,11.0
68,30.0
69,17.0
70,15.0
71,20.0
72,24.0
73,27.0
74,41.0
75,19.0
76,56.0
77,49.0
78,40.0
79,35.0
80,25.0
81,27.0
82,54.0
83,38.0
84,21.0
85,31.0
86,37.0
87,26.0
88,55.0
89,84.0
90,44.0
91,43.0
92,24.0
93,20.0
94,47.0
95,18.0
96,31.0
97,22.0
98,107.0
99,21.0
100,80.0
101,30.0
102,45.0
103,53.0
104,34.0
105,23.0
106,38.0
107,25.0
108,31.0
109,30.0
110,40.0
111,16.0
112,105.0
113,44.0
114,27.0
115,24.0
116,33.0
117,33.0
118,26.0
119,36.0
120,28.0
121,37.0
122,34.0
123,74.0
124,53.0
125,22.0
126,24.0
127,23.0
128,54.0
129,70.0
130,24.0
131,52.0
132,109.0
133,29.0
134,54.0
135,70.0
136,136.0
137,129.0
138,63.0
139,44.0
140,133.0
141,68.0
142,66.0
143,120.0
144,98.0
145,140.0
146,129.0
147,38.0
148,75.0
149,86.0
150,72.0
151,48.0
152,213.0
153,61.0
154,46.0
155,236.0
156,109.0
157,88.0
158,170.0
159,117.0
160,147.0
161,153.0
162,226.0
163,229.0
164,77.0
165,400.0
166,67.0
167,111.0
168,131.0
169,118.0
170,71.0
171,113.0
172,145.0
173,215.0
174,22.0
175,12.0
176,224.0
177,70.0
178,130.0
179,97.0
180,156.0
181,177.0
182,61.0
183,131.0
184,19.0
185,151.0
186,155.0
187,154.0
188,205.0
189,27.0
190,156.0
191,95.0
192,20.0
193,249.0
194,343.0
195,316.0
196,263.0
197,307.0
198,267.0
199,168.0
200,222.0
201,247.0
202,323.0
203,295.0
204,344.0
205,35.0
206,205.0
207,171.0
208,296.0
209,474.0
210,496.0
211,148.0
212,260.0
213,131.0
214,77.0
215,146.0
216,137.0
217,230.0
218,224.0
219,324.0
220,155.0
221,41.0
222,170.0
223,126.0
224,145.0
225,134.0
226,167.0
227,149.0
228,141.0
229,109.0
230,163.0
231,271.0
232,120.0
233,216.0
234,288.0
235,159.0
236,134.0
237,204.0
238,165.0
239,264.0
240,77.0
241,126.0
242,380.0
243,297.0
244,332.0
245,500.0
246,375.0
247,195.0
248,500.0
249,500.0
250,420.0
251,27.0
252,325.0
253,309.0
254,346.0
255,273.0
256,265.0
257,128.0
258,263.0
259,306.0
260,152.0
261,68.0
262,418.0
263,186.0
264,214.0
265,194.0
266,228.0
267,212.0
268,204.0
269,256.0
270,198.0
271,292.0
272,275.0
273,301.0
274,465.0
275,356.0
276,204.0
277,361.0
278,338.0
279,500.0
280,375.0
281,316.0
282,258.0
283,282.0
284,45.0
285,272.0
286,258.0
287,274.0
288,272.0
289,297.0
290,261.0
291,209.0
292,236.0
293,309.0
294,222.0
295,277.0
296,279.0
297,239.0
298,304.0
299,230.0
