episodes,rewards
0,12
1,9
2,9
3,8
4,9
5,8
6,9
7,7
8,9
9,7
10,7
11,8
12,9
13,9
14,8
15,7
16,9
17,7
18,9
19,8
20,8
21,8
22,8
23,7
24,9
25,9
26,9
27,7
28,8
29,10
30,8
31,9
32,8
33,9
34,8
35,9
36,8
37,7
38,9
39,9
40,8
41,8
42,9
43,8
44,9
45,8
46,9
47,8
48,8
49,7
50,9
51,8
52,9
53,10
54,8
55,7
56,9
57,7
58,8
59,8
60,8
61,9
62,8
63,7
64,9
65,9
66,8
67,8
68,8
69,7
70,9
71,9
72,8
73,9
74,8
75,8
76,10
77,9
78,9
79,9
80,8
81,9
82,9
83,9
84,8
85,10
86,9
87,9
88,8
89,8
90,8
91,8
92,7
93,8
94,8
95,8
96,8
97,8
98,9
99,7
100,8
101,9
102,9
103,8
104,8
105,8
106,9
107,8
108,10
109,7
110,7
111,9
112,7
113,8
114,9
115,9
116,9
117,9
118,9
119,8
120,8
121,9
122,8
123,9
124,8
125,8
126,8
127,8
128,9
129,7
130,8
131,8
132,7
133,9
134,8
135,7
136,9
137,9
138,8
139,8
140,8
141,8
142,9
143,9
144,7
145,10
146,8
147,9
148,8
149,9
150,9
151,8
152,7
153,9
154,9
155,7
156,7
157,7
158,9
159,8
160,7
161,7
162,9
163,8
164,7
165,9
166,9
167,7
168,9
169,9
170,8
171,9
172,9
173,7
174,8
175,8
176,9
177,9
178,7
179,8
180,8
181,9
182,7
183,8
184,8
185,9
186,7
187,8
188,8
189,8
190,9
191,9
192,8
193,9
194,8
195,9
196,8
197,8
198,8
199,9
200,10
201,9
202,9
203,9
204,8
205,8
206,9
207,9
208,9
209,7
210,9
211,8
212,9
213,8
214,7
215,8
216,9
217,9
218,8
219,8
220,9
221,8
222,9
223,8
224,9
225,9
226,8
227,9
228,7
229,7
230,9
231,7
232,8
233,7
234,8
235,8
236,9
237,8
238,9
239,9
240,9
241,8
242,8
243,8
244,9
245,8
246,8
247,8
248,8
249,8
250,9
251,8
252,9
253,8
254,8
255,9
256,7
257,8
258,8
259,8
260,9
261,9
262,9
263,9
264,9
265,8
266,8
267,10
268,8
269,9
270,8
271,9
272,9
273,8
274,9
275,9
276,8
277,7
278,8
279,8
280,8
281,9
282,9
283,7
284,8
285,9
286,8
287,10
288,9
289,9
290,8
291,9
292,8
293,9
294,8
295,9
296,9
297,9
298,8
299,8
