episodes,rewards
0,36
1,17
2,8
3,10
4,8
5,9
6,8
7,7
8,8
9,9
10,9
11,8
12,8
13,8
14,7
15,8
16,9
17,8
18,9
19,8
20,8
21,9
22,8
23,8
24,9
25,10
26,8
27,8
28,9
29,9
30,8
31,9
32,8
33,9
34,8
35,8
36,8
37,8
38,7
39,7
40,9
41,9
42,9
43,9
44,8
45,8
46,8
47,9
48,8
49,8
50,7
51,8
52,8
53,9
54,9
55,9
56,9
57,9
58,8
59,8
60,8
61,8
62,10
63,9
64,9
65,8
66,9
67,9
68,7
69,10
70,9
71,8
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,9
81,8
82,9
83,9
84,9
85,9
86,9
87,9
88,9
89,8
90,9
91,9
92,9
93,9
94,8
95,9
96,7
97,9
98,9
99,8
100,8
101,8
102,8
103,9
104,8
105,10
106,10
107,9
108,8
109,9
110,8
111,7
112,9
113,9
114,8
115,9
116,9
117,10
118,9
119,9
120,8
121,8
122,8
123,9
124,9
125,9
126,7
127,8
128,7
129,8
130,8
131,9
132,9
133,9
134,7
135,8
136,8
137,8
138,9
139,8
140,9
141,8
142,8
143,8
144,8
145,9
146,9
147,7
148,9
149,7
150,8
151,9
152,9
153,8
154,9
155,9
156,7
157,8
158,7
159,8
160,9
161,9
162,9
163,9
164,9
165,9
166,8
167,10
168,9
169,9
170,8
171,8
172,9
173,9
174,9
175,9
176,9
177,8
178,7
179,9
180,8
181,8
182,9
183,8
184,7
185,8
186,8
187,8
188,9
189,7
190,8
191,9
192,10
193,9
194,8
195,9
196,8
197,9
198,9
199,9
200,7
201,7
202,9
203,8
204,9
205,9
206,8
207,8
208,8
209,9
210,9
211,9
212,9
213,8
214,8
215,9
216,7
217,9
218,8
219,8
220,8
221,9
222,7
223,7
224,9
225,9
226,9
227,8
228,9
229,8
230,8
231,9
232,8
233,8
234,8
235,9
236,9
237,8
238,9
239,8
240,9
241,9
242,9
243,9
244,8
245,8
246,8
247,7
248,8
249,9
250,7
251,8
252,9
253,7
254,9
255,9
256,8
257,9
258,8
259,8
260,8
261,9
262,10
263,8
264,7
265,9
266,9
267,7
268,8
269,8
270,8
271,7
272,9
273,9
274,8
275,8
276,9
277,8
278,10
279,9
280,9
281,8
282,8
283,8
284,8
285,9
286,8
287,9
288,10
289,9
290,9
291,9
292,9
293,8
294,8
295,8
296,7
297,7
298,9
299,9
