episodes,rewards
0,10.0
1,19.0
2,29.0
3,16.0
4,11.0
5,14.0
6,67.0
7,20.0
8,36.0
9,16.0
10,20.0
11,49.0
12,23.0
13,17.0
14,10.0
15,42.0
16,22.0
17,19.0
18,14.0
19,11.0
20,11.0
21,17.0
22,11.0
23,36.0
24,22.0
25,33.0
26,24.0
27,15.0
28,41.0
29,16.0
30,60.0
31,17.0
32,20.0
33,13.0
34,11.0
35,11.0
36,10.0
37,12.0
38,11.0
39,18.0
40,19.0
41,44.0
42,29.0
43,12.0
44,18.0
45,11.0
46,12.0
47,13.0
48,10.0
49,13.0
50,13.0
51,11.0
52,17.0
53,10.0
54,8.0
55,31.0
56,10.0
57,25.0
58,17.0
59,10.0
60,12.0
61,9.0
62,16.0
63,11.0
64,13.0
65,21.0
66,15.0
67,11.0
68,13.0
69,10.0
70,15.0
71,12.0
72,12.0
73,26.0
74,16.0
75,10.0
76,16.0
77,12.0
78,9.0
79,14.0
80,12.0
81,12.0
82,15.0
83,16.0
84,31.0
85,15.0
86,11.0
87,14.0
88,18.0
89,13.0
90,13.0
91,15.0
92,11.0
93,18.0
94,20.0
95,13.0
96,11.0
97,16.0
98,14.0
99,33.0
100,14.0
101,14.0
102,23.0
103,14.0
104,10.0
105,40.0
106,20.0
107,23.0
108,15.0
109,8.0
110,15.0
111,17.0
112,10.0
113,13.0
114,25.0
115,13.0
116,10.0
117,9.0
118,14.0
119,10.0
120,14.0
121,10.0
122,12.0
123,13.0
124,12.0
125,13.0
126,11.0
127,19.0
128,12.0
129,15.0
130,11.0
131,85.0
132,243.0
133,166.0
134,54.0
135,143.0
136,33.0
137,57.0
138,79.0
139,43.0
140,43.0
141,14.0
142,77.0
143,67.0
144,38.0
145,91.0
146,26.0
147,62.0
148,343.0
149,187.0
150,98.0
151,62.0
152,46.0
153,82.0
154,23.0
155,47.0
156,73.0
157,71.0
158,41.0
159,67.0
160,50.0
161,46.0
162,55.0
163,136.0
164,50.0
165,63.0
166,29.0
167,45.0
168,71.0
169,55.0
170,101.0
171,65.0
172,57.0
173,59.0
174,123.0
175,51.0
176,51.0
177,45.0
178,30.0
179,52.0
180,32.0
181,54.0
182,61.0
183,36.0
184,43.0
185,37.0
186,29.0
187,34.0
188,50.0
189,67.0
190,36.0
191,43.0
192,104.0
193,182.0
194,85.0
195,112.0
196,43.0
197,152.0
198,111.0
199,52.0
200,108.0
201,242.0
202,116.0
203,10.0
204,62.0
205,147.0
206,166.0
207,37.0
208,89.0
209,86.0
210,188.0
211,111.0
212,99.0
213,113.0
214,97.0
215,125.0
216,103.0
217,58.0
218,69.0
219,164.0
220,72.0
221,57.0
222,71.0
223,50.0
224,80.0
225,64.0
226,42.0
227,50.0
228,39.0
229,89.0
230,14.0
231,42.0
232,78.0
233,55.0
234,55.0
235,62.0
236,53.0
237,127.0
238,29.0
239,75.0
240,98.0
241,116.0
242,112.0
243,49.0
244,55.0
245,102.0
246,163.0
247,53.0
248,45.0
249,98.0
250,97.0
251,157.0
252,62.0
253,68.0
254,163.0
255,135.0
256,210.0
257,143.0
258,78.0
259,44.0
260,229.0
261,82.0
262,40.0
263,66.0
264,46.0
265,64.0
266,118.0
267,28.0
268,90.0
269,81.0
270,124.0
271,42.0
272,44.0
273,50.0
274,55.0
275,37.0
276,73.0
277,47.0
278,37.0
279,34.0
280,60.0
281,65.0
282,45.0
283,54.0
284,76.0
285,31.0
286,42.0
287,59.0
288,52.0
289,53.0
290,63.0
291,99.0
292,86.0
293,65.0
294,145.0
295,105.0
296,92.0
297,148.0
298,89.0
299,164.0
