episodes,rewards
0,54.0
1,13.0
2,37.0
3,35.0
4,23.0
5,17.0
6,16.0
7,32.0
8,10.0
9,16.0
10,12.0
11,38.0
12,16.0
13,11.0
14,30.0
15,22.0
16,9.0
17,19.0
18,16.0
19,24.0
20,16.0
21,19.0
22,21.0
23,14.0
24,34.0
25,61.0
26,15.0
27,18.0
28,14.0
29,10.0
30,31.0
31,17.0
32,21.0
33,14.0
34,12.0
35,14.0
36,15.0
37,26.0
38,17.0
39,16.0
40,15.0
41,11.0
42,16.0
43,17.0
44,32.0
45,28.0
46,18.0
47,18.0
48,38.0
49,17.0
50,25.0
51,24.0
52,12.0
53,25.0
54,17.0
55,12.0
56,38.0
57,16.0
58,33.0
59,26.0
60,16.0
61,25.0
62,32.0
63,24.0
64,13.0
65,10.0
66,15.0
67,13.0
68,37.0
69,38.0
70,18.0
71,14.0
72,13.0
73,22.0
74,20.0
75,13.0
76,19.0
77,17.0
78,13.0
79,38.0
80,79.0
81,12.0
82,16.0
83,17.0
84,15.0
85,44.0
86,16.0
87,55.0
88,10.0
89,15.0
90,21.0
91,19.0
92,11.0
93,16.0
94,67.0
95,21.0
96,10.0
97,36.0
98,15.0
99,65.0
100,19.0
101,15.0
102,82.0
103,23.0
104,114.0
105,26.0
106,65.0
107,20.0
108,16.0
109,16.0
110,18.0
111,46.0
112,108.0
113,21.0
114,84.0
115,61.0
116,30.0
117,13.0
118,22.0
119,111.0
120,59.0
121,14.0
122,15.0
123,21.0
124,20.0
125,70.0
126,69.0
127,12.0
128,13.0
129,43.0
130,10.0
131,68.0
132,102.0
133,63.0
134,26.0
135,95.0
136,102.0
137,90.0
138,42.0
139,48.0
140,72.0
141,77.0
142,28.0
143,26.0
144,127.0
145,27.0
146,32.0
147,83.0
148,108.0
149,27.0
150,58.0
151,11.0
152,18.0
153,55.0
154,19.0
155,17.0
156,13.0
157,37.0
158,85.0
159,36.0
160,64.0
161,11.0
162,115.0
163,50.0
164,35.0
165,55.0
166,60.0
167,96.0
168,74.0
169,105.0
170,57.0
171,58.0
172,15.0
173,129.0
174,15.0
175,143.0
176,12.0
177,127.0
178,122.0
179,176.0
180,25.0
181,124.0
182,90.0
183,114.0
184,117.0
185,110.0
186,107.0
187,25.0
188,91.0
189,131.0
190,79.0
191,397.0
192,290.0
193,214.0
194,276.0
195,273.0
196,147.0
197,286.0
198,268.0
199,73.0
200,360.0
201,19.0
202,26.0
203,77.0
204,28.0
205,62.0
206,78.0
207,84.0
208,74.0
209,21.0
210,20.0
211,74.0
212,80.0
213,14.0
214,62.0
215,14.0
216,18.0
217,86.0
218,11.0
219,78.0
220,52.0
221,98.0
222,109.0
223,115.0
224,82.0
225,125.0
226,121.0
227,48.0
228,119.0
229,34.0
230,14.0
231,88.0
232,13.0
233,22.0
234,125.0
235,75.0
236,133.0
237,96.0
238,115.0
239,80.0
240,102.0
241,12.0
242,24.0
243,103.0
244,19.0
245,11.0
246,95.0
247,99.0
248,102.0
249,76.0
250,97.0
251,13.0
252,22.0
253,100.0
254,102.0
255,99.0
256,94.0
257,13.0
258,16.0
259,103.0
260,16.0
261,148.0
262,146.0
263,171.0
264,163.0
265,152.0
266,158.0
267,173.0
268,153.0
269,165.0
270,165.0
271,91.0
272,89.0
273,97.0
274,12.0
275,100.0
276,96.0
277,11.0
278,14.0
279,107.0
280,10.0
281,119.0
282,128.0
283,68.0
284,11.0
285,30.0
286,127.0
287,115.0
288,117.0
289,127.0
290,122.0
291,97.0
292,93.0
293,20.0
294,12.0
295,13.0
296,15.0
297,10.0
298,69.0
299,94.0
