episodes,rewards
0,58
1,87
2,65
3,82
4,53
5,57
6,50
7,64
8,65
9,79
10,95
11,70
12,85
13,76
14,58
15,90
16,83
17,73
18,58
19,58
20,82
21,67
22,102
23,87
24,49
25,77
26,53
27,64
28,82
29,58
30,63
31,56
32,76
33,67
34,53
35,77
36,52
37,69
38,78
39,54
40,55
41,73
42,59
43,61
44,74
45,53
46,59
47,71
48,52
49,59
50,71
51,65
52,77
53,83
54,57
55,55
56,57
57,83
58,73
59,55
60,62
61,55
62,77
63,66
64,71
65,63
66,85
67,55
68,62
69,54
70,55
71,66
72,54
73,80
74,80
75,50
76,64
77,63
78,85
79,51
80,65
81,67
82,87
83,49
84,54
85,65
86,78
87,63
88,49
89,51
90,59
91,68
92,72
93,63
94,81
95,82
96,80
97,85
98,59
99,56
100,61
101,62
102,76
103,64
104,55
105,75
106,79
107,63
108,77
109,49
110,50
111,67
112,59
113,82
114,94
115,55
116,54
117,83
118,67
119,57
120,50
121,79
122,66
123,64
124,110
125,71
126,71
127,78
128,80
129,65
130,78
131,72
132,57
133,64
134,51
135,74
136,62
137,62
138,77
139,106
140,75
141,56
142,101
143,83
144,51
145,69
146,117
147,60
148,53
149,54
150,67
151,97
152,56
153,85
154,65
155,52
156,87
157,64
158,55
159,80
160,80
161,82
162,50
163,84
164,47
165,84
166,50
167,59
168,76
169,50
170,67
171,73
172,78
173,64
174,47
175,81
176,68
177,86
178,52
179,50
180,85
181,55
182,53
183,61
184,71
185,72
186,49
187,58
188,58
189,56
190,52
191,56
192,60
193,59
194,61
195,65
196,57
197,58
198,85
199,70
200,61
201,71
202,72
203,51
204,70
205,52
206,64
207,55
208,53
209,86
210,57
211,54
212,56
213,53
214,82
215,49
216,65
217,74
218,76
219,55
220,64
221,79
222,75
223,63
224,56
225,58
226,55
227,80
228,59
229,69
230,54
231,53
232,65
233,62
234,64
235,61
236,76
237,55
238,57
239,90
240,58
241,52
242,52
243,57
244,53
245,76
246,70
247,64
248,68
249,73
250,49
251,59
252,48
253,74
254,64
255,86
256,86
257,58
258,54
259,75
260,49
261,60
262,84
263,68
264,59
265,50
266,67
267,56
268,54
269,48
270,58
271,72
272,61
273,58
274,82
275,65
276,47
277,74
278,86
279,62
280,72
281,52
282,73
283,64
284,56
285,53
286,67
287,55
288,52
289,51
290,77
291,72
292,70
293,75
294,57
295,85
296,47
297,63
298,67
299,80
