episodes,rewards
0,27.0
1,19.0
2,16.0
3,24.0
4,26.0
5,45.0
6,42.0
7,18.0
8,36.0
9,13.0
10,19.0
11,29.0
12,15.0
13,13.0
14,23.0
15,28.0
16,22.0
17,14.0
18,21.0
19,11.0
20,24.0
21,18.0
22,12.0
23,15.0
24,18.0
25,26.0
26,16.0
27,16.0
28,9.0
29,14.0
30,20.0
31,11.0
32,33.0
33,59.0
34,40.0
35,37.0
36,20.0
37,40.0
38,15.0
39,36.0
40,26.0
41,35.0
42,23.0
43,34.0
44,21.0
45,11.0
46,17.0
47,11.0
48,27.0
49,10.0
50,14.0
51,52.0
52,47.0
53,9.0
54,15.0
55,23.0
56,51.0
57,23.0
58,14.0
59,26.0
60,31.0
61,56.0
62,29.0
63,20.0
64,55.0
65,24.0
66,35.0
67,13.0
68,15.0
69,64.0
70,26.0
71,58.0
72,37.0
73,24.0
74,46.0
75,22.0
76,68.0
77,44.0
78,29.0
79,34.0
80,36.0
81,35.0
82,16.0
83,35.0
84,57.0
85,49.0
86,13.0
87,47.0
88,24.0
89,31.0
90,155.0
91,44.0
92,31.0
93,16.0
94,43.0
95,13.0
96,19.0
97,111.0
98,15.0
99,50.0
100,44.0
101,16.0
102,20.0
103,73.0
104,95.0
105,21.0
106,89.0
107,86.0
108,67.0
109,128.0
110,94.0
111,75.0
112,26.0
113,112.0
114,85.0
115,136.0
116,34.0
117,51.0
118,28.0
119,46.0
120,36.0
121,149.0
122,173.0
123,107.0
124,58.0
125,75.0
126,125.0
127,123.0
128,121.0
129,144.0
130,100.0
131,74.0
132,14.0
133,77.0
134,57.0
135,119.0
136,169.0
137,88.0
138,105.0
139,51.0
140,18.0
141,134.0
142,85.0
143,204.0
144,128.0
145,129.0
146,144.0
147,45.0
148,54.0
149,82.0
150,30.0
151,251.0
152,169.0
153,141.0
154,137.0
155,191.0
156,151.0
157,70.0
158,175.0
159,208.0
160,135.0
161,90.0
162,32.0
163,135.0
164,183.0
165,39.0
166,126.0
167,34.0
168,96.0
169,81.0
170,211.0
171,206.0
172,147.0
173,95.0
174,191.0
175,53.0
176,190.0
177,149.0
178,39.0
179,87.0
180,184.0
181,83.0
182,164.0
183,168.0
184,149.0
185,130.0
186,174.0
187,61.0
188,65.0
189,131.0
190,173.0
191,146.0
192,121.0
193,159.0
194,149.0
195,102.0
196,145.0
197,154.0
198,137.0
199,203.0
200,125.0
201,251.0
202,225.0
203,205.0
204,157.0
205,131.0
206,160.0
207,134.0
208,166.0
209,195.0
210,158.0
211,205.0
212,166.0
213,233.0
214,89.0
215,189.0
216,115.0
217,199.0
218,178.0
219,65.0
220,281.0
221,156.0
222,188.0
223,419.0
224,179.0
225,140.0
226,225.0
227,195.0
228,172.0
229,143.0
230,176.0
231,171.0
232,179.0
233,171.0
234,159.0
235,162.0
236,331.0
237,191.0
238,205.0
239,167.0
240,181.0
241,160.0
242,25.0
243,216.0
244,159.0
245,162.0
246,175.0
247,198.0
248,203.0
249,165.0
250,107.0
251,139.0
252,117.0
253,63.0
254,136.0
255,125.0
256,113.0
257,137.0
258,150.0
259,141.0
260,134.0
261,232.0
262,174.0
263,205.0
264,274.0
265,215.0
266,303.0
267,241.0
268,239.0
269,314.0
270,253.0
271,327.0
272,385.0
273,101.0
274,83.0
275,51.0
276,197.0
277,174.0
278,153.0
279,118.0
280,154.0
281,141.0
282,155.0
283,174.0
284,175.0
285,210.0
286,163.0
287,173.0
288,180.0
289,147.0
290,213.0
291,106.0
292,152.0
293,13.0
294,135.0
295,159.0
296,174.0
297,137.0
298,148.0
299,145.0
