episodes,rewards
0,27
1,33
2,13
3,13
4,22
5,41
6,18
7,20
8,20
9,30
10,44
11,18
12,61
13,75
14,15
15,32
16,18
17,21
18,29
19,18
20,18
21,107
22,17
23,22
24,58
25,21
26,12
27,25
28,99
29,15
30,68
31,28
32,43
33,77
34,77
35,19
36,48
37,33
38,17
39,31
40,57
41,43
42,54
43,46
44,19
45,33
46,51
47,55
48,52
49,33
50,66
51,68
52,48
53,22
54,36
55,38
56,103
57,45
58,19
59,26
60,13
61,31
62,22
63,15
64,90
65,109
66,45
67,23
68,221
69,24
70,67
71,22
72,27
73,31
74,84
75,46
76,42
77,56
78,36
79,30
80,43
81,51
82,44
83,54
84,104
85,80
86,37
87,34
88,25
89,20
90,35
91,49
92,40
93,15
94,25
95,49
96,58
97,34
98,23
99,176
100,43
101,53
102,52
103,85
104,114
105,103
106,40
107,87
108,18
109,41
110,31
111,46
112,84
113,63
114,31
115,61
116,30
117,168
118,122
119,53
120,23
121,203
122,157
123,56
124,103
125,36
126,57
127,20
128,85
129,197
130,134
131,115
132,137
133,84
134,154
135,50
136,153
137,144
138,274
139,197
140,22
141,32
142,28
143,32
144,28
145,207
146,99
147,100
148,101
149,16
150,175
151,107
152,90
153,214
154,103
155,257
156,145
157,113
158,143
159,146
160,94
161,272
162,193
163,220
164,254
165,154
166,166
167,299
168,196
169,217
170,326
171,138
172,201
173,146
174,137
175,161
176,110
177,204
178,203
179,100
180,111
181,37
182,54
183,87
184,120
185,87
186,53
187,95
188,98
189,98
190,82
191,96
192,98
193,78
194,49
195,234
196,109
197,371
198,97
199,116
200,76
201,209
202,208
203,138
204,233
205,138
206,260
207,313
208,202
209,71
210,145
211,136
212,86
213,82
214,127
215,59
216,105
217,30
218,172
219,184
220,201
221,73
222,77
223,146
224,157
225,248
226,169
227,218
228,122
229,122
230,338
231,142
232,133
233,259
234,160
235,195
236,187
237,180
238,142
239,206
240,178
241,194
242,152
243,232
244,218
245,350
246,188
247,286
248,458
249,356
250,192
251,198
252,276
253,386
254,289
255,246
256,205
257,211
258,195
259,312
260,385
261,215
262,261
263,398
264,211
265,356
266,170
267,163
268,267
269,231
270,209
271,492
272,398
273,308
274,392
275,422
276,431
277,196
278,177
279,270
280,364
281,466
282,311
283,271
284,280
285,227
286,247
287,311
288,329
289,318
290,309
291,390
292,178
293,270
294,413
295,221
296,271
297,375
298,260
299,284
