episodes,rewards
0,16.0
1,16.0
2,19.0
3,17.0
4,17.0
5,14.0
6,18.0
7,10.0
8,13.0
9,24.0
10,18.0
11,13.0
12,12.0
13,16.0
14,20.0
15,48.0
16,27.0
17,34.0
18,20.0
19,16.0
20,42.0
21,23.0
22,23.0
23,20.0
24,20.0
25,15.0
26,12.0
27,10.0
28,10.0
29,10.0
30,14.0
31,16.0
32,11.0
33,11.0
34,26.0
35,24.0
36,61.0
37,9.0
38,13.0
39,22.0
40,18.0
41,19.0
42,21.0
43,18.0
44,14.0
45,23.0
46,15.0
47,11.0
48,30.0
49,33.0
50,34.0
51,16.0
52,29.0
53,16.0
54,45.0
55,20.0
56,27.0
57,27.0
58,13.0
59,22.0
60,15.0
61,12.0
62,14.0
63,12.0
64,15.0
65,31.0
66,19.0
67,29.0
68,22.0
69,21.0
70,16.0
71,48.0
72,13.0
73,109.0
74,34.0
75,25.0
76,33.0
77,57.0
78,32.0
79,38.0
80,19.0
81,51.0
82,34.0
83,41.0
84,53.0
85,16.0
86,22.0
87,103.0
88,60.0
89,56.0
90,129.0
91,30.0
92,14.0
93,46.0
94,78.0
95,15.0
96,77.0
97,87.0
98,51.0
99,30.0
100,14.0
101,43.0
102,19.0
103,24.0
104,122.0
105,16.0
106,48.0
107,30.0
108,48.0
109,51.0
110,40.0
111,13.0
112,57.0
113,18.0
114,21.0
115,39.0
116,28.0
117,57.0
118,31.0
119,191.0
120,84.0
121,19.0
122,86.0
123,20.0
124,43.0
125,42.0
126,59.0
127,38.0
128,26.0
129,31.0
130,88.0
131,84.0
132,21.0
133,143.0
134,69.0
135,26.0
136,112.0
137,185.0
138,60.0
139,171.0
140,58.0
141,16.0
142,11.0
143,16.0
144,16.0
145,16.0
146,16.0
147,10.0
148,10.0
149,10.0
150,16.0
151,65.0
152,229.0
153,230.0
154,197.0
155,111.0
156,146.0
157,142.0
158,81.0
159,42.0
160,139.0
161,29.0
162,376.0
163,61.0
164,71.0
165,61.0
166,78.0
167,329.0
168,228.0
169,68.0
170,170.0
171,62.0
172,131.0
173,47.0
174,112.0
175,170.0
176,88.0
177,103.0
178,58.0
179,174.0
180,98.0
181,213.0
182,26.0
183,86.0
184,157.0
185,133.0
186,125.0
187,126.0
188,140.0
189,45.0
190,154.0
191,212.0
192,265.0
193,15.0
194,216.0
195,226.0
196,226.0
197,230.0
198,31.0
199,235.0
200,205.0
201,34.0
202,472.0
203,386.0
204,189.0
205,245.0
206,258.0
207,327.0
208,248.0
209,312.0
210,280.0
211,119.0
212,116.0
213,119.0
214,122.0
215,62.0
216,116.0
217,83.0
218,104.0
219,38.0
220,91.0
221,158.0
222,165.0
223,170.0
224,169.0
225,158.0
226,166.0
227,158.0
228,155.0
229,160.0
230,25.0
231,198.0
232,172.0
233,203.0
234,125.0
235,198.0
236,167.0
237,179.0
238,159.0
239,225.0
240,182.0
241,152.0
242,61.0
243,11.0
244,13.0
245,49.0
246,121.0
247,130.0
248,16.0
249,132.0
250,113.0
251,65.0
252,162.0
253,90.0
254,291.0
255,195.0
256,86.0
257,205.0
258,355.0
259,209.0
260,216.0
261,342.0
262,500.0
263,27.0
264,240.0
265,229.0
266,211.0
267,221.0
268,211.0
269,267.0
270,140.0
271,189.0
272,14.0
273,13.0
274,131.0
275,133.0
276,159.0
277,158.0
278,107.0
279,65.0
280,137.0
281,123.0
282,140.0
283,131.0
284,143.0
285,131.0
286,138.0
287,131.0
288,131.0
289,139.0
290,138.0
291,128.0
292,132.0
293,138.0
294,130.0
295,131.0
296,132.0
297,123.0
298,136.0
299,133.0
