episodes,rewards
0,-362.50962648203966
1,-107.15596030112602
2,-268.0720218416311
3,-196.50866029159613
4,-119.35133571985648
5,-362.2276372094203
6,-216.94705131236122
7,-95.13171855644134
8,-128.1462200482219
9,-400.24936819464176
10,-155.84104076185804
11,-100.37109899327994
12,-90.40030965798977
13,-139.53310906513485
14,-378.1780052362104
15,-89.56122064441165
16,-94.11644758467439
17,-223.4451241580665
18,-157.29790965236162
19,-79.3297932793867
20,-326.25165472385584
21,-26.57915757706661
22,-330.10571238564785
23,-108.20101680785403
24,-242.48947527393193
25,-97.8077811864907
26,-99.54444516784162
27,-352.83176201991466
28,-209.69932256686468
29,-79.38131555077669
30,-294.51876638872403
31,-212.14939052071492
32,-53.78220542900421
33,-81.02292603544475
34,-229.72764406662893
35,-135.29579757250752
36,-115.47780947682378
37,-296.03135827034623
38,-135.18352212694606
39,-265.62550063542517
40,-356.38118624113514
41,-317.645867976196
42,-93.72948441375273
43,-365.12646864934925
44,-83.81701938554964
45,-364.2885808040549
46,-185.50217359026408
47,-385.469611358304
48,-273.778177399294
49,-308.3828775147554
50,-177.42760855413624
51,-345.2478933869633
52,-20.488888929318023
53,-98.89265004027408
54,-229.71946361876854
55,-150.0243274040709
56,-101.66402035666513
57,-417.5546245558589
58,-70.94646336130448
59,-70.91241991831475
60,-31.539858028411942
61,-57.60154010994725
62,-142.0024826854869
63,-229.05049491817869
64,-150.27756648180787
65,-113.87083294044375
66,-185.54350000713748
67,-238.73558960748719
68,-172.9579556010102
69,-121.38289234255775
70,-61.07897118606731
71,-172.83685370399496
72,-145.32327448446796
73,-231.32850837058723
74,-77.87234891060044
75,-103.0960051484717
76,-118.20015242442939
77,-125.12884719602715
78,-194.42945740119114
79,-197.6950841752709
80,-215.65589760764195
81,-96.53487942292945
82,-115.85663472908563
83,-28.186393356500332
84,-94.99098497422246
85,-62.89881662581357
86,-102.23226861243923
87,-72.25570909183183
88,-167.01405158768642
89,-166.83234863939168
90,-127.13026596800199
91,-204.7938203186542
92,-242.53809306035694
93,-86.20036886263063
94,20.171858896448356
95,-113.63399379015127
96,-140.76929195169566
97,-96.86333528019351
98,-103.08264091068229
99,-154.391307935268
100,-43.37170055591184
101,-81.03071021926728
102,-97.41587995373949
103,-7.984435395950541
104,-49.264987773156065
105,-169.3084178251503
106,15.862072296719148
107,-115.87316496300323
108,-143.85453007887665
109,-212.15570825486964
110,-161.8152327868809
111,-45.70086432803243
112,-108.71626782036871
113,8.856099030847219
114,-246.22077256952838
115,-199.334535669448
116,-203.83095253568507
117,-115.19850821255827
118,-64.79573565476241
119,-81.3060270251467
120,-103.42540679405683
121,-153.63132837051776
122,-99.73701485476538
123,-48.89792787330412
124,-102.14326848303662
125,-122.137826987418
126,-232.01837889434287
127,-55.30722831712038
128,-138.93741243939718
129,-113.35679538457498
130,-166.02437160879796
131,-76.78726176153725
132,-139.47300837086692
133,-74.62349359140475
134,-55.14524110827751
135,-85.89876558366856
136,-179.89693082841976
137,-152.75994851761192
138,-188.85795047480252
139,-120.6253298012563
140,-85.12708546447918
141,-3.448903939884957
142,-180.94169145347993
143,-247.93187186064154
144,-172.67085942526342
145,-55.40169230255932
146,-105.472755417578
147,-84.90738123532526
148,-40.337205644414766
149,-105.68690458860493
150,-253.89132095383127
151,-165.08696615786502
152,-177.07146998978305
153,-152.04505148656273
154,-141.08735027687771
155,-162.75683279983386
156,-236.94202024830983
157,-184.11077467092275
158,-322.66008863853756
159,-133.26268057462897
160,-208.33347802655828
161,-101.21593026248071
162,-58.75208355756819
163,-80.59500717293338
164,-163.59281523920188
165,-203.78739907592296
166,-120.65937964798326
167,-266.6431619099891
168,-162.59814552955226
169,-121.82470406274612
170,-91.93560892474957
171,-48.73476399526754
172,-233.28513201609326
173,-151.30277452706022
174,-117.85514683016507
175,-83.43590227246393
176,-164.34394783434686
177,-207.0545265475131
178,-130.87387290976415
179,-6.214488271784788
180,-136.13038214205238
181,-215.2370456446642
182,-154.53466548523932
183,-138.87591659132391
184,-113.80758606541129
185,-104.16402440065181
186,-109.3682401777979
187,-261.95666892744225
188,-256.74116807910843
189,-155.28930425229487
190,-182.8221742622536
191,-84.13604623470222
192,-101.3343606438674
193,-266.8313146169736
194,-193.56144659738047
195,-135.6640281935199
196,-98.13768740592563
197,-117.52369133648979
198,-93.62767989162649
199,-211.9498958905751
200,-56.724158237442076
201,-161.10300314527043
202,15.112863363640585
203,-193.38469225777965
204,-198.78994640159846
205,-115.36517929037328
206,-209.20078604499412
207,-23.03280975731036
208,-198.60604370005672
209,-128.8076349317568
210,-180.0620045620467
211,-22.0939035428313
212,-11.173321396716034
213,-33.98364140351683
214,-53.28793643782463
215,-121.33697098993363
216,-82.57143418462144
217,-91.92948739908758
218,-124.66434248918875
219,-318.25100818180204
220,-117.59761584419434
221,104.19852419919442
222,-140.84599038655216
223,-57.99791391720023
224,-167.63365206182323
225,-207.3038736632689
226,-44.88893326879394
227,-101.12694014971291
228,-73.43964183973819
229,-201.28407106607216
230,-222.213762981956
231,-257.59006049023844
232,-158.89320982296877
233,-352.4965843096809
234,-185.20970357683592
235,-78.52525457802517
236,-281.20084154582867
237,-137.72847903615707
238,-76.5794527146779
239,-84.16445519614669
240,-100.66874592880883
241,-124.04732053701245
242,-401.48953684686245
243,-154.53768800513606
244,-273.9482894655987
245,-271.7313501102294
246,-172.4452686051825
247,-140.5273363193378
248,-97.32736060995103
249,-254.4075534785424
250,-250.99019322806308
251,-13.059786674366222
252,-254.6161072109919
253,-165.4040594004681
254,-313.56940060509515
255,24.927882740001706
256,-252.8844803371154
257,-401.21836187750057
258,-221.50465631643752
259,-68.93707189759766
