episodes,rewards
0,36
1,31
2,9
3,21
4,25
5,33
6,35
7,51
8,81
9,45
10,40
11,67
12,37
13,37
14,50
15,54
16,34
17,40
18,54
19,49
20,39
21,41
22,84
23,77
24,120
25,112
26,154
27,167
28,162
29,127
30,118
31,72
32,140
33,76
34,128
35,105
36,140
37,156
38,223
39,145
40,257
41,169
42,125
43,128
44,92
45,125
46,131
47,202
48,188
49,338
50,162
51,120
52,192
53,105
54,214
55,221
56,156
57,134
58,158
59,120
60,198
61,126
62,119
63,113
64,115
65,118
66,150
67,105
68,115
69,111
70,109
71,96
72,103
73,125
74,126
75,107
76,114
77,127
78,102
79,47
80,40
81,59
82,32
83,45
84,45
85,35
86,31
87,41
88,46
89,30
90,32
91,47
92,38
93,32
94,77
95,45
96,203
97,44
98,48
99,52
100,106
101,196
102,41
103,58
104,68
105,51
106,55
107,164
108,201
109,62
110,49
111,41
112,52
113,64
114,50
115,53
116,97
117,56
118,68
119,108
120,50
121,146
122,100
123,60
124,78
125,52
126,78
127,136
128,61
129,49
130,87
131,83
132,67
133,59
134,75
135,68
136,78
137,89
138,82
139,116
140,90
141,122
142,209
143,462
144,148
145,71
146,180
147,83
148,255
149,195
150,188
151,229
152,279
153,342
154,105
155,129
156,261
157,111
158,79
159,115
160,416
161,173
162,154
163,100
164,321
165,96
166,261
167,374
168,703
169,410
170,136
171,85
172,113
173,449
174,214
175,91
176,119
177,110
178,387
179,109
180,98
181,246
182,252
183,183
184,138
185,324
186,266
187,794
188,609
189,378
190,589
191,268
192,214
193,259
194,225
195,156
196,131
197,122
198,112
199,106
200,130
201,79
202,76
203,65
204,59
205,76
206,83
207,61
208,65
209,85
210,97
211,82
212,100
213,132
214,127
215,139
216,134
217,148
218,176
219,255
220,222
221,249
222,215
223,324
224,212
225,216
226,174
227,222
228,310
229,271
230,296
231,323
232,224
233,383
234,374
235,495
236,372
237,384
238,272
239,275
240,384
241,236
242,295
243,377
244,275
245,295
246,356
247,418
248,240
249,223
250,292
251,287
252,187
253,166
254,275
255,213
256,186
257,293
258,365
259,264
260,184
261,233
262,294
263,215
264,346
265,242
266,247
267,245
268,350
269,238
270,282
271,729
272,255
273,340
274,249
275,370
276,518
277,730
278,330
279,570
280,568
281,447
282,326
283,842
284,7127
285,399
286,713
287,319
288,680
289,2689
290,317
291,240
292,364
293,348
294,932
295,435
296,436
297,491
298,349
299,443
