episodes,rewards
0,20.0
1,30.0
2,22.0
3,15.0
4,38.0
5,19.0
6,17.0
7,43.0
8,22.0
9,30.0
10,16.0
11,14.0
12,21.0
13,64.0
14,36.0
15,14.0
16,20.0
17,11.0
18,51.0
19,19.0
20,12.0
21,11.0
22,32.0
23,17.0
24,29.0
25,11.0
26,14.0
27,26.0
28,14.0
29,28.0
30,16.0
31,14.0
32,10.0
33,14.0
34,48.0
35,40.0
36,35.0
37,24.0
38,11.0
39,12.0
40,10.0
41,24.0
42,20.0
43,26.0
44,17.0
45,14.0
46,24.0
47,11.0
48,12.0
49,15.0
50,15.0
51,35.0
52,28.0
53,17.0
54,14.0
55,88.0
56,26.0
57,107.0
58,16.0
59,37.0
60,43.0
61,42.0
62,17.0
63,18.0
64,22.0
65,34.0
66,49.0
67,64.0
68,36.0
69,99.0
70,125.0
71,17.0
72,32.0
73,31.0
74,25.0
75,83.0
76,9.0
77,35.0
78,90.0
79,18.0
80,85.0
81,89.0
82,222.0
83,28.0
84,40.0
85,43.0
86,69.0
87,30.0
88,36.0
89,13.0
90,122.0
91,29.0
92,47.0
93,31.0
94,27.0
95,91.0
96,32.0
97,23.0
98,96.0
99,49.0
100,63.0
101,62.0
102,14.0
103,94.0
104,20.0
105,22.0
106,222.0
107,60.0
108,44.0
109,61.0
110,31.0
111,80.0
112,67.0
113,75.0
114,19.0
115,77.0
116,162.0
117,165.0
118,137.0
119,276.0
120,147.0
121,17.0
122,70.0
123,130.0
124,109.0
125,166.0
126,102.0
127,89.0
128,73.0
129,177.0
130,89.0
131,85.0
132,24.0
133,38.0
134,64.0
135,87.0
136,29.0
137,126.0
138,190.0
139,108.0
140,34.0
141,122.0
142,236.0
143,205.0
144,162.0
145,181.0
146,308.0
147,45.0
148,87.0
149,69.0
150,122.0
151,367.0
152,56.0
153,39.0
154,165.0
155,191.0
156,55.0
157,230.0
158,257.0
159,79.0
160,156.0
161,225.0
162,182.0
163,133.0
164,145.0
165,47.0
166,67.0
167,191.0
168,177.0
169,17.0
170,211.0
171,395.0
172,291.0
173,113.0
174,126.0
175,155.0
176,198.0
177,226.0
178,332.0
179,30.0
180,247.0
181,68.0
182,500.0
183,54.0
184,101.0
185,90.0
186,194.0
187,259.0
188,135.0
189,238.0
190,193.0
191,278.0
192,269.0
193,100.0
194,224.0
195,316.0
196,20.0
197,171.0
198,279.0
199,43.0
200,280.0
201,460.0
202,92.0
203,261.0
204,392.0
205,247.0
206,419.0
207,345.0
208,216.0
209,326.0
210,275.0
211,238.0
212,275.0
213,254.0
214,217.0
215,209.0
216,233.0
217,232.0
218,40.0
219,175.0
220,264.0
221,260.0
222,267.0
223,233.0
224,273.0
225,17.0
226,236.0
227,245.0
228,192.0
229,283.0
230,196.0
231,246.0
232,274.0
233,231.0
234,243.0
235,245.0
236,249.0
237,174.0
238,217.0
239,211.0
240,284.0
241,306.0
242,319.0
243,384.0
244,403.0
245,132.0
246,458.0
247,266.0
248,272.0
249,343.0
250,304.0
251,404.0
252,298.0
253,276.0
254,382.0
255,500.0
256,280.0
257,297.0
258,411.0
259,312.0
260,382.0
261,376.0
262,272.0
263,262.0
264,281.0
265,240.0
266,295.0
267,215.0
268,175.0
269,264.0
270,254.0
271,175.0
272,213.0
273,14.0
274,228.0
275,191.0
276,232.0
277,203.0
278,210.0
279,210.0
280,230.0
281,173.0
282,209.0
283,226.0
284,198.0
285,215.0
286,191.0
287,205.0
288,217.0
289,168.0
290,107.0
291,186.0
292,197.0
293,167.0
294,229.0
295,186.0
296,183.0
297,215.0
298,184.0
299,208.0
