episodes,rewards
0,27.0
1,38.0
2,13.0
3,20.0
4,14.0
5,18.0
6,16.0
7,18.0
8,30.0
9,50.0
10,9.0
11,17.0
12,10.0
13,26.0
14,14.0
15,10.0
16,15.0
17,18.0
18,9.0
19,17.0
20,17.0
21,15.0
22,18.0
23,14.0
24,13.0
25,13.0
26,14.0
27,35.0
28,18.0
29,16.0
30,53.0
31,14.0
32,17.0
33,36.0
34,16.0
35,12.0
36,17.0
37,17.0
38,15.0
39,13.0
40,12.0
41,25.0
42,44.0
43,22.0
44,12.0
45,11.0
46,45.0
47,21.0
48,42.0
49,15.0
50,18.0
51,26.0
52,76.0
53,12.0
54,39.0
55,40.0
56,15.0
57,26.0
58,29.0
59,29.0
60,62.0
61,30.0
62,27.0
63,50.0
64,32.0
65,33.0
66,19.0
67,15.0
68,18.0
69,12.0
70,21.0
71,21.0
72,25.0
73,13.0
74,30.0
75,54.0
76,11.0
77,27.0
78,51.0
79,18.0
80,86.0
81,22.0
82,38.0
83,21.0
84,21.0
85,33.0
86,53.0
87,30.0
88,30.0
89,18.0
90,22.0
91,20.0
92,18.0
93,11.0
94,42.0
95,25.0
96,20.0
97,15.0
98,25.0
99,13.0
100,14.0
101,76.0
102,17.0
103,33.0
104,30.0
105,43.0
106,69.0
107,42.0
108,127.0
109,17.0
110,15.0
111,49.0
112,19.0
113,42.0
114,29.0
115,18.0
116,38.0
117,99.0
118,78.0
119,16.0
120,34.0
121,68.0
122,69.0
123,53.0
124,121.0
125,108.0
126,146.0
127,82.0
128,51.0
129,76.0
130,113.0
131,31.0
132,28.0
133,98.0
134,25.0
135,167.0
136,84.0
137,18.0
138,32.0
139,17.0
140,43.0
141,65.0
142,15.0
143,162.0
144,37.0
145,17.0
146,77.0
147,23.0
148,52.0
149,40.0
150,158.0
151,258.0
152,59.0
153,161.0
154,151.0
155,202.0
156,66.0
157,77.0
158,246.0
159,28.0
160,76.0
161,122.0
162,43.0
163,142.0
164,142.0
165,171.0
166,183.0
167,140.0
168,113.0
169,141.0
170,162.0
171,153.0
172,118.0
173,211.0
174,150.0
175,44.0
176,78.0
177,227.0
178,243.0
179,225.0
180,204.0
181,314.0
182,192.0
183,138.0
184,225.0
185,183.0
186,254.0
187,57.0
188,143.0
189,304.0
190,235.0
191,157.0
192,28.0
193,148.0
194,54.0
195,202.0
196,168.0
197,14.0
198,97.0
199,110.0
200,134.0
201,166.0
202,131.0
203,70.0
204,209.0
205,183.0
206,195.0
207,213.0
208,145.0
209,88.0
210,161.0
211,194.0
212,198.0
213,180.0
214,346.0
215,230.0
216,153.0
217,176.0
218,60.0
219,212.0
220,211.0
221,195.0
222,186.0
223,223.0
224,242.0
225,135.0
226,228.0
227,233.0
228,36.0
229,161.0
230,218.0
231,120.0
232,284.0
233,246.0
234,157.0
235,254.0
236,222.0
237,323.0
238,258.0
239,230.0
240,277.0
241,160.0
242,152.0
243,223.0
244,171.0
245,162.0
246,156.0
247,183.0
248,202.0
249,189.0
250,158.0
251,122.0
252,181.0
253,167.0
254,166.0
255,172.0
256,210.0
257,162.0
258,118.0
259,151.0
260,191.0
261,202.0
262,265.0
263,186.0
264,190.0
265,171.0
266,176.0
267,185.0
268,179.0
269,185.0
270,171.0
271,215.0
272,165.0
273,185.0
274,252.0
275,216.0
276,295.0
277,238.0
278,226.0
279,217.0
280,182.0
281,187.0
282,192.0
283,243.0
284,175.0
285,217.0
286,209.0
287,215.0
288,194.0
289,170.0
290,225.0
291,277.0
292,318.0
293,198.0
294,201.0
295,251.0
296,204.0
297,225.0
298,219.0
299,250.0
