episodes,rewards
0,27
1,15
2,31
3,11
4,22
5,39
6,22
7,13
8,20
9,10
10,14
11,12
12,19
13,23
14,12
15,17
16,28
17,16
18,13
19,11
20,19
21,28
22,15
23,38
24,14
25,11
26,18
27,14
28,15
29,22
30,11
31,13
32,55
33,13
34,9
35,13
36,20
37,11
38,22
39,13
40,9
41,22
42,24
43,18
44,11
45,19
46,24
47,17
48,14
49,16
50,65
51,16
52,17
53,10
54,39
55,27
56,20
57,12
58,23
59,12
60,18
61,11
62,43
63,21
64,10
65,26
66,48
67,14
68,17
69,22
70,25
71,8
72,22
73,28
74,24
75,21
76,11
77,12
78,12
79,18
80,13
81,12
82,9
83,14
84,13
85,9
86,14
87,13
88,23
89,44
90,24
91,25
92,13
93,26
94,14
95,26
96,11
97,19
98,15
99,22
100,20
101,11
102,13
103,30
104,18
105,9
106,13
107,22
108,29
109,29
110,15
111,16
112,18
113,44
114,13
115,55
116,11
117,15
118,9
119,13
120,14
121,19
122,19
123,23
124,13
125,27
126,32
127,11
128,28
129,14
130,11
131,57
132,22
133,11
134,21
135,20
136,14
137,8
138,25
139,9
140,12
141,21
142,11
143,34
144,26
145,8
146,25
147,14
148,21
149,7
150,9
151,13
152,9
153,15
154,27
155,33
156,21
157,17
158,33
159,27
160,20
161,31
162,17
163,12
164,20
165,11
166,14
167,20
168,36
169,11
170,75
171,15
172,23
173,23
174,33
175,15
176,24
177,15
178,16
179,12
180,32
181,20
182,14
183,12
184,14
185,10
186,11
187,21
188,58
189,29
190,15
191,27
192,41
193,17
194,23
195,9
196,40
197,28
198,16
199,14
200,17
201,19
202,23
203,21
204,13
205,40
206,20
207,21
208,18
209,26
210,44
211,29
212,77
213,12
214,20
215,20
216,48
217,35
218,14
219,26
220,18
221,29
222,10
223,22
224,31
225,21
226,13
227,16
228,47
229,9
230,10
231,19
232,64
233,36
234,75
235,23
236,73
237,32
238,9
239,38
240,23
241,71
242,19
243,121
244,42
245,19
246,30
247,9
248,59
249,57
250,21
251,15
252,22
253,63
254,47
255,29
256,24
257,12
258,26
259,52
260,9
261,35
262,12
263,18
264,72
265,44
266,65
267,17
268,46
269,23
270,51
271,13
272,16
273,49
274,11
275,58
276,30
277,21
278,30
279,28
280,45
281,18
282,30
283,45
284,44
285,34
286,17
287,16
288,46
289,33
290,48
291,34
292,32
293,25
294,60
295,16
296,17
297,35
298,93
299,42
