episodes,rewards
0,33
1,20
2,11
3,8
4,13
5,32
6,43
7,14
8,9
9,31
10,18
11,26
12,23
13,21
14,49
15,10
16,10
17,42
18,23
19,13
20,17
21,36
22,18
23,9
24,20
25,22
26,16
27,40
28,39
29,21
30,19
31,15
32,20
33,46
34,67
35,24
36,11
37,23
38,16
39,19
40,12
41,13
42,11
43,10
44,8
45,56
46,28
47,28
48,62
49,36
50,10
51,43
52,20
53,54
54,18
55,20
56,31
57,42
58,10
59,17
60,16
61,18
62,29
63,19
64,28
65,9
66,20
67,9
68,26
69,49
70,19
71,51
72,38
73,54
74,15
75,11
76,15
77,25
78,16
79,24
80,22
81,33
82,21
83,10
84,34
85,11
86,22
87,26
88,15
89,15
90,11
91,49
92,64
93,32
94,20
95,49
96,52
97,40
98,11
99,22
100,32
101,28
102,18
103,39
104,38
105,48
106,16
107,10
108,20
109,18
110,28
111,26
112,92
113,48
114,53
115,45
116,32
117,80
118,96
119,46
120,29
121,52
122,38
123,45
124,20
125,23
126,15
127,24
128,33
129,87
130,9
131,60
132,43
133,34
134,24
135,158
136,25
137,27
138,56
139,30
140,32
141,51
142,44
143,36
144,14
145,20
146,40
147,47
148,14
149,61
150,32
151,71
152,10
153,77
154,42
155,35
156,19
157,71
158,120
159,14
160,38
161,41
162,19
163,14
164,19
165,51
166,39
167,27
168,26
169,58
170,40
171,25
172,14
173,27
174,40
175,40
176,18
177,25
178,44
179,74
180,36
181,24
182,38
183,47
184,29
185,37
186,27
187,44
188,58
189,58
190,27
191,26
192,109
193,29
194,81
195,47
196,54
197,99
198,46
199,50
200,91
201,78
202,117
203,117
204,80
205,23
206,40
207,24
208,79
209,109
210,72
211,67
212,63
213,32
214,56
215,82
216,45
217,19
218,100
219,12
220,43
221,30
222,31
223,134
224,68
225,44
226,61
227,48
228,54
229,20
230,66
231,31
232,116
233,26
234,93
235,56
236,42
237,85
238,73
239,36
240,39
241,139
242,16
243,64
244,45
245,50
246,87
247,44
248,75
249,79
250,69
251,59
252,16
253,111
254,64
255,60
256,127
257,24
258,125
259,124
260,75
261,35
262,72
263,31
264,83
265,185
266,27
267,25
268,168
269,57
270,52
271,48
272,200
273,130
274,31
275,110
276,138
277,100
278,134
279,49
280,33
281,96
282,112
283,50
284,125
285,46
286,40
287,104
288,72
289,122
290,68
291,94
292,77
293,143
294,132
295,148
296,110
297,35
298,61
299,77
