episodes,rewards
0,11
1,84
2,26
3,22
4,16
5,34
6,27
7,29
8,14
9,29
10,79
11,17
12,24
13,15
14,19
15,26
16,50
17,17
18,14
19,28
20,29
21,34
22,32
23,17
24,33
25,50
26,56
27,29
28,27
29,31
30,34
31,48
32,17
33,18
34,31
35,19
36,60
37,27
38,50
39,16
40,17
41,82
42,17
43,25
44,11
45,27
46,23
47,53
48,12
49,15
50,29
51,15
52,11
53,16
54,22
55,24
56,22
57,15
58,9
59,11
60,20
61,12
62,12
63,14
64,18
65,19
66,16
67,16
68,14
69,9
70,16
71,21
72,12
73,18
74,10
75,9
76,20
77,18
78,12
79,14
80,14
81,18
82,11
83,15
84,12
85,19
86,10
87,15
88,19
89,11
90,20
91,19
92,16
93,24
94,14
95,19
96,14
97,14
98,21
99,17
100,27
101,20
102,18
103,13
104,15
105,20
106,17
107,52
108,28
109,30
110,18
111,15
112,16
113,16
114,16
115,20
116,18
117,24
118,22
119,27
120,21
121,23
122,15
123,11
124,20
125,15
126,29
127,25
128,23
129,14
130,20
131,13
132,18
133,23
134,29
135,14
136,12
137,23
138,18
139,45
140,24
141,21
142,19
143,16
144,26
145,15
146,29
147,23
148,11
149,22
150,23
151,21
152,14
153,21
154,24
155,47
156,22
157,18
158,18
159,22
160,22
161,18
162,13
163,26
164,18
165,43
166,16
167,28
168,25
169,18
170,21
171,20
172,21
173,26
174,12
175,26
176,21
177,17
178,20
179,21
180,41
181,19
182,15
183,29
184,24
185,23
186,25
187,20
188,16
189,14
190,13
191,29
192,11
193,14
194,34
195,15
196,11
197,18
198,30
199,24
200,21
201,15
202,13
203,22
204,17
205,28
206,22
207,30
208,26
209,17
210,39
211,25
212,36
213,14
214,17
215,30
216,13
217,30
218,21
219,34
220,37
221,67
222,26
223,39
224,14
225,19
226,33
227,25
228,31
229,53
230,44
231,24
232,24
233,28
234,25
235,36
236,32
237,29
238,96
239,39
240,16
241,30
242,23
243,17
244,37
245,26
246,30
247,39
248,37
249,25
250,53
251,46
252,49
253,75
254,34
255,39
256,33
257,50
258,65
259,71
260,35
261,37
262,46
263,28
264,17
265,31
266,49
267,72
268,52
269,32
270,35
271,42
272,56
273,45
274,44
275,49
276,45
277,77
278,40
279,56
280,62
281,42
282,83
283,57
284,108
285,26
286,39
287,75
288,47
289,71
290,15
291,41
292,26
293,70
294,19
295,129
296,103
297,24
298,126
299,18
