episodes,rewards
0,19.0
1,13.0
2,21.0
3,9.0
4,13.0
5,17.0
6,18.0
7,9.0
8,13.0
9,17.0
10,20.0
11,10.0
12,30.0
13,16.0
14,16.0
15,20.0
16,20.0
17,61.0
18,22.0
19,34.0
20,53.0
21,21.0
22,17.0
23,12.0
24,31.0
25,37.0
26,34.0
27,39.0
28,20.0
29,26.0
30,17.0
31,41.0
32,48.0
33,64.0
34,33.0
35,19.0
36,24.0
37,63.0
38,20.0
39,33.0
40,81.0
41,64.0
42,44.0
43,26.0
44,68.0
45,24.0
46,135.0
47,77.0
48,72.0
49,70.0
50,46.0
51,49.0
52,161.0
53,169.0
54,154.0
55,154.0
56,256.0
57,217.0
58,301.0
59,361.0
60,460.0
61,341.0
62,348.0
63,356.0
64,203.0
65,228.0
66,371.0
67,345.0
68,317.0
69,349.0
70,319.0
71,346.0
72,373.0
73,257.0
74,363.0
75,410.0
76,314.0
77,376.0
78,500.0
79,415.0
80,238.0
81,385.0
82,497.0
83,482.0
84,233.0
85,244.0
86,210.0
87,207.0
88,209.0
89,208.0
90,191.0
91,188.0
92,172.0
93,179.0
94,209.0
95,194.0
96,174.0
97,198.0
98,202.0
99,252.0
100,187.0
101,196.0
102,185.0
103,236.0
104,213.0
105,215.0
106,213.0
107,220.0
108,224.0
109,236.0
110,214.0
111,198.0
112,227.0
113,209.0
114,222.0
115,267.0
116,225.0
117,210.0
118,238.0
119,269.0
120,232.0
121,244.0
122,228.0
123,197.0
124,247.0
125,207.0
126,240.0
127,245.0
128,229.0
129,268.0
130,209.0
131,224.0
132,235.0
133,326.0
134,221.0
135,243.0
136,235.0
137,237.0
138,275.0
139,275.0
140,212.0
141,219.0
142,238.0
143,262.0
144,254.0
145,276.0
146,275.0
147,266.0
148,266.0
149,280.0
150,264.0
151,316.0
152,297.0
153,309.0
154,376.0
155,285.0
156,252.0
157,326.0
158,294.0
159,239.0
160,392.0
161,500.0
162,258.0
163,345.0
164,273.0
165,183.0
166,228.0
167,186.0
168,250.0
169,439.0
170,306.0
171,500.0
172,189.0
173,178.0
174,213.0
175,224.0
176,196.0
177,298.0
178,182.0
179,376.0
180,195.0
181,203.0
182,234.0
183,219.0
184,226.0
185,176.0
186,219.0
187,188.0
188,221.0
189,202.0
190,190.0
191,211.0
192,185.0
193,301.0
194,191.0
195,261.0
196,230.0
197,221.0
198,253.0
199,500.0
200,317.0
201,266.0
202,334.0
203,195.0
204,365.0
205,284.0
206,323.0
207,264.0
208,300.0
209,424.0
210,281.0
211,386.0
212,436.0
213,286.0
214,500.0
215,224.0
216,258.0
217,297.0
218,245.0
219,357.0
220,291.0
221,175.0
222,215.0
223,235.0
224,263.0
225,230.0
226,184.0
227,198.0
228,191.0
229,250.0
230,215.0
231,186.0
232,278.0
233,191.0
234,228.0
235,222.0
236,369.0
237,224.0
238,196.0
239,151.0
240,159.0
241,169.0
242,128.0
243,143.0
244,154.0
245,147.0
246,137.0
247,147.0
248,167.0
249,154.0
250,147.0
251,135.0
252,143.0
253,155.0
254,163.0
255,163.0
256,186.0
257,186.0
258,160.0
259,163.0
260,172.0
261,152.0
262,156.0
263,159.0
264,160.0
265,158.0
266,196.0
267,168.0
268,196.0
269,156.0
270,197.0
271,196.0
272,206.0
273,208.0
274,195.0
275,208.0
276,186.0
277,201.0
278,216.0
279,177.0
280,260.0
281,303.0
282,184.0
283,208.0
284,387.0
285,281.0
286,223.0
287,258.0
288,259.0
289,228.0
290,231.0
291,440.0
292,249.0
293,293.0
294,305.0
295,278.0
296,273.0
297,280.0
298,285.0
299,216.0
300,266.0
301,345.0
302,292.0
303,290.0
304,325.0
305,347.0
306,500.0
307,500.0
308,479.0
309,344.0
310,285.0
311,500.0
312,276.0
313,199.0
314,210.0
315,500.0
316,264.0
317,367.0
318,206.0
319,239.0
320,251.0
321,233.0
322,317.0
323,181.0
324,500.0
325,148.0
326,500.0
327,500.0
328,170.0
329,189.0
330,177.0
331,257.0
332,184.0
333,223.0
334,225.0
335,202.0
