episodes,rewards
0,10.0
1,59.0
2,23.0
3,13.0
4,15.0
5,29.0
6,19.0
7,12.0
8,26.0
9,31.0
10,17.0
11,17.0
12,10.0
13,21.0
14,14.0
15,85.0
16,60.0
17,47.0
18,113.0
19,48.0
20,12.0
21,90.0
22,131.0
23,56.0
24,261.0
25,254.0
26,316.0
27,227.0
28,322.0
29,125.0
30,379.0
31,362.0
32,254.0
33,325.0
34,500.0
35,243.0
36,357.0
37,260.0
38,310.0
39,293.0
40,304.0
41,272.0
42,183.0
43,139.0
44,244.0
45,199.0
46,169.0
47,185.0
48,246.0
49,298.0
50,333.0
51,424.0
52,318.0
53,397.0
54,249.0
55,122.0
56,320.0
57,223.0
58,172.0
59,211.0
60,211.0
61,279.0
62,250.0
63,317.0
64,254.0
65,267.0
66,500.0
67,373.0
68,198.0
69,182.0
70,412.0
71,137.0
72,261.0
73,145.0
74,163.0
75,137.0
76,137.0
77,169.0
78,141.0
79,304.0
80,150.0
81,167.0
82,151.0
83,199.0
84,149.0
85,159.0
86,180.0
87,155.0
88,157.0
89,157.0
90,154.0
91,146.0
92,150.0
93,164.0
94,151.0
95,177.0
96,169.0
97,164.0
98,143.0
99,159.0
100,169.0
101,151.0
102,180.0
103,146.0
104,158.0
105,168.0
106,164.0
107,160.0
108,216.0
109,141.0
110,184.0
111,153.0
112,159.0
113,182.0
114,146.0
115,136.0
116,158.0
117,135.0
118,159.0
119,127.0
120,143.0
121,136.0
122,131.0
123,133.0
124,124.0
125,133.0
126,146.0
127,128.0
128,10.0
129,116.0
130,12.0
131,12.0
132,128.0
133,222.0
134,174.0
135,195.0
136,194.0
137,188.0
138,261.0
139,203.0
140,432.0
141,500.0
142,238.0
143,196.0
144,277.0
145,232.0
146,204.0
147,247.0
148,225.0
149,274.0
150,203.0
151,184.0
152,321.0
153,203.0
154,249.0
155,215.0
156,165.0
157,251.0
158,207.0
159,164.0
160,286.0
161,206.0
162,188.0
163,218.0
164,135.0
165,158.0
166,160.0
167,157.0
168,11.0
169,12.0
170,13.0
171,13.0
172,154.0
173,242.0
174,183.0
175,159.0
176,146.0
177,160.0
178,181.0
179,152.0
180,164.0
181,153.0
182,164.0
183,145.0
184,150.0
185,157.0
186,155.0
187,144.0
188,125.0
189,120.0
190,127.0
191,146.0
192,139.0
193,127.0
194,125.0
195,129.0
196,135.0
197,131.0
198,94.0
199,142.0
200,124.0
201,139.0
202,134.0
203,137.0
204,150.0
205,140.0
206,137.0
207,140.0
208,147.0
209,139.0
210,138.0
211,146.0
212,146.0
213,143.0
214,135.0
215,147.0
216,145.0
217,137.0
218,130.0
219,143.0
220,145.0
221,151.0
222,151.0
223,149.0
224,149.0
225,146.0
226,131.0
227,156.0
228,147.0
229,151.0
230,149.0
231,145.0
232,144.0
233,161.0
234,144.0
235,158.0
236,161.0
237,148.0
238,141.0
239,130.0
240,144.0
241,139.0
242,166.0
243,138.0
244,150.0
245,263.0
246,146.0
247,299.0
248,131.0
249,202.0
250,61.0
251,12.0
252,16.0
253,11.0
254,87.0
255,239.0
256,350.0
257,329.0
258,389.0
259,263.0
260,339.0
261,493.0
262,353.0
263,447.0
264,271.0
265,232.0
266,330.0
267,253.0
268,375.0
269,193.0
270,321.0
271,286.0
272,216.0
273,345.0
274,282.0
275,329.0
276,226.0
277,230.0
278,379.0
279,161.0
280,166.0
281,222.0
282,221.0
283,255.0
284,198.0
285,180.0
286,158.0
287,373.0
288,254.0
289,280.0
290,149.0
291,286.0
292,149.0
293,135.0
294,167.0
295,189.0
296,171.0
297,361.0
298,227.0
299,118.0
