episodes,rewards
0,25.0
1,31.0
2,13.0
3,60.0
4,20.0
5,35.0
6,24.0
7,15.0
8,128.0
9,36.0
10,22.0
11,44.0
12,82.0
13,94.0
14,28.0
15,126.0
16,39.0
17,114.0
18,171.0
19,149.0
20,301.0
21,220.0
22,65.0
23,265.0
24,207.0
25,283.0
26,230.0
27,228.0
28,196.0
29,306.0
30,272.0
31,278.0
32,354.0
33,223.0
34,333.0
35,365.0
36,218.0
37,335.0
38,263.0
39,285.0
40,215.0
41,286.0
42,457.0
43,378.0
44,287.0
45,275.0
46,220.0
47,232.0
48,240.0
49,296.0
50,500.0
51,238.0
52,312.0
53,261.0
54,330.0
55,287.0
56,197.0
57,205.0
58,126.0
59,118.0
60,122.0
61,208.0
62,142.0
63,133.0
64,123.0
65,309.0
66,140.0
67,88.0
68,211.0
69,129.0
70,172.0
71,144.0
72,147.0
73,100.0
74,117.0
75,149.0
76,101.0
77,99.0
78,161.0
79,50.0
80,43.0
81,14.0
82,110.0
83,190.0
84,135.0
85,376.0
86,362.0
87,500.0
88,473.0
89,231.0
90,243.0
91,152.0
92,219.0
93,217.0
94,433.0
95,131.0
96,155.0
97,265.0
98,360.0
99,161.0
100,288.0
101,216.0
102,320.0
103,359.0
104,473.0
105,329.0
106,340.0
107,285.0
108,254.0
109,124.0
110,242.0
111,396.0
112,269.0
113,259.0
114,391.0
115,230.0
116,153.0
117,182.0
118,305.0
119,199.0
120,103.0
121,147.0
122,181.0
123,196.0
124,114.0
125,167.0
126,286.0
127,170.0
128,122.0
129,31.0
130,13.0
131,196.0
132,155.0
133,147.0
134,277.0
135,152.0
136,252.0
137,205.0
138,184.0
139,171.0
140,248.0
141,138.0
142,216.0
143,230.0
144,150.0
145,228.0
146,345.0
147,165.0
148,261.0
149,149.0
150,343.0
151,167.0
152,148.0
153,254.0
154,139.0
155,174.0
156,272.0
157,126.0
158,358.0
159,98.0
160,241.0
161,173.0
162,247.0
163,257.0
164,163.0
165,203.0
166,146.0
167,213.0
168,191.0
169,117.0
170,147.0
171,209.0
172,232.0
173,219.0
174,197.0
175,163.0
176,100.0
177,182.0
178,223.0
179,217.0
180,202.0
181,199.0
182,204.0
183,194.0
184,170.0
185,184.0
186,165.0
187,182.0
188,182.0
189,194.0
190,209.0
191,199.0
192,162.0
193,153.0
194,169.0
195,202.0
196,168.0
197,184.0
198,160.0
199,161.0
200,148.0
201,155.0
202,165.0
203,154.0
204,176.0
205,187.0
206,196.0
207,174.0
208,185.0
209,235.0
210,170.0
211,172.0
212,161.0
213,210.0
214,196.0
215,208.0
216,197.0
217,173.0
218,186.0
219,188.0
220,204.0
221,170.0
222,174.0
223,241.0
224,175.0
225,184.0
226,203.0
227,198.0
228,12.0
229,148.0
230,277.0
231,218.0
232,224.0
233,165.0
234,87.0
235,297.0
236,151.0
237,402.0
238,296.0
239,151.0
240,96.0
241,79.0
242,132.0
243,96.0
244,50.0
245,124.0
246,141.0
247,126.0
248,500.0
249,37.0
250,431.0
251,500.0
252,82.0
253,178.0
254,129.0
255,110.0
256,123.0
257,84.0
258,218.0
259,148.0
260,147.0
261,117.0
262,186.0
263,173.0
264,150.0
265,149.0
266,168.0
267,500.0
268,216.0
269,229.0
270,259.0
271,241.0
272,131.0
273,210.0
274,179.0
275,158.0
276,226.0
277,205.0
278,183.0
279,185.0
280,344.0
281,135.0
282,191.0
283,215.0
284,191.0
285,273.0
286,206.0
287,157.0
288,175.0
289,160.0
290,245.0
291,215.0
292,188.0
293,177.0
294,255.0
295,378.0
296,156.0
297,146.0
298,184.0
299,325.0
