episodes,rewards
0,30.0
1,36.0
2,13.0
3,26.0
4,46.0
5,14.0
6,21.0
7,63.0
8,25.0
9,28.0
10,78.0
11,50.0
12,37.0
13,11.0
14,29.0
15,83.0
16,96.0
17,17.0
18,113.0
19,32.0
20,27.0
21,92.0
22,123.0
23,151.0
24,105.0
25,172.0
26,124.0
27,122.0
28,155.0
29,86.0
30,142.0
31,199.0
32,130.0
33,149.0
34,124.0
35,184.0
36,178.0
37,200.0
38,199.0
39,225.0
40,310.0
41,270.0
42,163.0
43,182.0
44,237.0
45,388.0
46,394.0
47,266.0
48,386.0
49,260.0
50,250.0
51,214.0
52,269.0
53,276.0
54,272.0
55,260.0
56,209.0
57,186.0
58,269.0
59,271.0
60,284.0
61,229.0
62,237.0
63,273.0
64,500.0
65,342.0
66,332.0
67,263.0
68,300.0
69,204.0
70,265.0
71,342.0
72,389.0
73,369.0
74,452.0
75,500.0
76,364.0
77,500.0
78,291.0
79,383.0
80,500.0
81,500.0
82,319.0
83,462.0
84,500.0
85,261.0
86,500.0
87,500.0
88,317.0
89,324.0
90,314.0
91,252.0
92,254.0
93,215.0
94,285.0
95,303.0
96,265.0
97,303.0
98,291.0
99,311.0
100,387.0
101,264.0
102,265.0
103,55.0
104,234.0
105,252.0
106,264.0
107,331.0
108,346.0
109,316.0
110,287.0
111,352.0
112,379.0
113,394.0
114,284.0
115,240.0
116,425.0
117,323.0
118,161.0
119,152.0
120,200.0
121,293.0
122,286.0
123,379.0
124,353.0
125,438.0
126,304.0
127,232.0
128,161.0
129,427.0
130,454.0
131,227.0
132,437.0
133,252.0
134,32.0
135,10.0
136,10.0
137,14.0
138,13.0
139,156.0
140,36.0
141,18.0
142,263.0
143,69.0
144,254.0
145,295.0
146,247.0
147,293.0
148,278.0
149,278.0
150,265.0
151,297.0
152,297.0
153,335.0
154,273.0
155,323.0
156,235.0
157,287.0
158,261.0
159,272.0
160,253.0
161,279.0
162,318.0
163,265.0
164,280.0
165,272.0
166,395.0
167,365.0
168,191.0
169,325.0
170,431.0
171,347.0
172,338.0
173,328.0
174,241.0
175,500.0
176,255.0
177,221.0
178,283.0
179,326.0
180,297.0
181,348.0
182,391.0
183,322.0
184,500.0
185,410.0
186,500.0
187,403.0
188,70.0
189,386.0
190,294.0
191,346.0
192,468.0
193,457.0
194,260.0
195,252.0
196,227.0
197,177.0
198,464.0
199,401.0
200,426.0
201,273.0
202,25.0
203,225.0
204,500.0
205,268.0
206,289.0
207,171.0
208,84.0
209,183.0
210,102.0
211,141.0
212,137.0
213,173.0
214,235.0
215,186.0
216,198.0
217,164.0
218,159.0
219,39.0
220,151.0
221,339.0
222,213.0
223,42.0
224,306.0
225,201.0
226,271.0
227,500.0
228,261.0
229,227.0
230,500.0
231,500.0
232,500.0
233,500.0
234,256.0
235,256.0
236,66.0
237,228.0
238,500.0
239,500.0
240,500.0
241,500.0
242,500.0
243,336.0
244,500.0
245,500.0
246,500.0
247,500.0
248,500.0
249,500.0
250,337.0
251,500.0
252,269.0
253,500.0
254,238.0
255,500.0
256,395.0
257,316.0
258,500.0
259,107.0
260,500.0
261,415.0
262,314.0
263,500.0
264,500.0
265,337.0
266,290.0
267,334.0
268,315.0
269,500.0
270,500.0
271,500.0
272,500.0
273,500.0
274,500.0
275,382.0
276,354.0
277,194.0
278,62.0
279,500.0
280,500.0
281,429.0
282,500.0
283,353.0
284,238.0
285,290.0
286,287.0
287,150.0
288,488.0
289,224.0
290,313.0
291,243.0
292,500.0
293,262.0
294,423.0
295,195.0
296,234.0
297,180.0
298,330.0
299,286.0
