episodes,rewards
0,14.0
1,17.0
2,36.0
3,19.0
4,12.0
5,55.0
6,55.0
7,13.0
8,10.0
9,34.0
10,19.0
11,10.0
12,13.0
13,11.0
14,29.0
15,19.0
16,15.0
17,25.0
18,28.0
19,10.0
20,17.0
21,14.0
22,13.0
23,15.0
24,15.0
25,39.0
26,13.0
27,30.0
28,9.0
29,15.0
30,27.0
31,11.0
32,27.0
33,16.0
34,19.0
35,71.0
36,36.0
37,30.0
38,37.0
39,18.0
40,10.0
41,15.0
42,12.0
43,16.0
44,10.0
45,11.0
46,14.0
47,31.0
48,31.0
49,13.0
50,12.0
51,16.0
52,57.0
53,19.0
54,19.0
55,13.0
56,15.0
57,28.0
58,13.0
59,32.0
60,59.0
61,68.0
62,18.0
63,15.0
64,18.0
65,38.0
66,42.0
67,18.0
68,33.0
69,10.0
70,16.0
71,58.0
72,27.0
73,24.0
74,23.0
75,84.0
76,45.0
77,69.0
78,76.0
79,77.0
80,52.0
81,39.0
82,14.0
83,70.0
84,52.0
85,72.0
86,15.0
87,65.0
88,48.0
89,13.0
90,40.0
91,82.0
92,60.0
93,111.0
94,81.0
95,28.0
96,119.0
97,53.0
98,71.0
99,96.0
100,170.0
101,97.0
102,100.0
103,72.0
104,101.0
105,100.0
106,99.0
107,105.0
108,107.0
109,115.0
110,114.0
111,83.0
112,106.0
113,110.0
114,172.0
115,96.0
116,87.0
117,141.0
118,103.0
119,101.0
120,108.0
121,103.0
122,105.0
123,123.0
124,87.0
125,89.0
126,101.0
127,127.0
128,99.0
129,155.0
130,143.0
131,91.0
132,158.0
133,178.0
134,142.0
135,162.0
136,174.0
137,141.0
138,200.0
139,147.0
140,230.0
141,172.0
142,167.0
143,218.0
144,193.0
145,181.0
146,220.0
147,190.0
148,196.0
149,196.0
150,140.0
151,173.0
152,171.0
153,201.0
154,184.0
155,186.0
156,173.0
157,192.0
158,173.0
159,368.0
160,196.0
161,200.0
162,178.0
163,195.0
164,176.0
165,207.0
166,172.0
167,173.0
168,257.0
169,156.0
170,221.0
171,204.0
172,194.0
173,385.0
174,212.0
175,218.0
176,211.0
177,204.0
178,176.0
179,202.0
180,192.0
181,225.0
182,206.0
183,271.0
184,249.0
185,300.0
186,241.0
187,270.0
188,226.0
189,188.0
190,220.0
191,158.0
192,189.0
193,198.0
194,164.0
195,178.0
196,171.0
197,170.0
198,167.0
199,161.0
200,170.0
201,150.0
202,142.0
203,141.0
204,172.0
205,166.0
206,147.0
207,178.0
208,138.0
209,136.0
210,159.0
211,138.0
212,146.0
213,163.0
214,138.0
215,167.0
216,155.0
217,133.0
218,148.0
219,132.0
220,124.0
221,160.0
222,156.0
223,132.0
224,137.0
225,134.0
226,145.0
227,132.0
228,143.0
229,150.0
230,148.0
231,136.0
232,155.0
233,141.0
234,138.0
235,148.0
236,136.0
237,138.0
238,122.0
239,131.0
240,124.0
241,119.0
242,124.0
243,121.0
244,121.0
245,133.0
246,137.0
247,131.0
248,125.0
249,149.0
250,124.0
251,137.0
252,132.0
253,163.0
254,65.0
255,72.0
256,55.0
257,157.0
258,154.0
259,166.0
260,153.0
261,160.0
262,142.0
263,150.0
264,146.0
265,155.0
266,162.0
267,135.0
268,157.0
269,139.0
270,139.0
271,146.0
272,151.0
273,146.0
274,151.0
275,145.0
276,144.0
277,156.0
278,153.0
279,151.0
280,160.0
281,164.0
282,175.0
283,177.0
284,159.0
285,158.0
286,163.0
287,177.0
288,176.0
289,161.0
290,164.0
291,154.0
292,162.0
293,166.0
294,162.0
295,155.0
296,164.0
297,191.0
298,186.0
299,177.0
