episodes,rewards
0,23.0
1,11.0
2,23.0
3,14.0
4,14.0
5,42.0
6,14.0
7,38.0
8,23.0
9,54.0
10,32.0
11,39.0
12,18.0
13,78.0
14,26.0
15,15.0
16,104.0
17,50.0
18,236.0
19,15.0
20,47.0
21,98.0
22,178.0
23,170.0
24,182.0
25,169.0
26,168.0
27,157.0
28,156.0
29,209.0
30,186.0
31,286.0
32,174.0
33,187.0
34,185.0
35,242.0
36,215.0
37,211.0
38,218.0
39,195.0
40,111.0
41,189.0
42,199.0
43,391.0
44,228.0
45,205.0
46,201.0
47,173.0
48,219.0
49,198.0
50,255.0
51,181.0
52,260.0
53,341.0
54,194.0
55,186.0
56,287.0
57,237.0
58,180.0
59,221.0
60,170.0
61,234.0
62,208.0
63,201.0
64,182.0
65,163.0
66,202.0
67,187.0
68,202.0
69,232.0
70,28.0
71,18.0
72,66.0
73,313.0
74,451.0
75,75.0
76,181.0
77,313.0
78,70.0
79,222.0
80,102.0
81,118.0
82,133.0
83,184.0
84,165.0
85,131.0
86,133.0
87,146.0
88,146.0
89,127.0
90,18.0
91,107.0
92,150.0
93,158.0
94,213.0
95,500.0
96,327.0
97,261.0
98,473.0
99,500.0
100,452.0
101,432.0
102,288.0
103,213.0
104,242.0
105,195.0
106,174.0
107,247.0
108,192.0
109,274.0
110,122.0
111,198.0
112,201.0
113,213.0
114,145.0
115,178.0
116,138.0
117,166.0
118,168.0
119,149.0
120,116.0
121,191.0
122,166.0
123,139.0
124,246.0
125,139.0
126,132.0
127,134.0
128,129.0
129,176.0
130,144.0
131,133.0
132,116.0
133,135.0
134,131.0
135,14.0
136,127.0
137,103.0
138,134.0
139,160.0
140,46.0
141,146.0
142,182.0
143,306.0
144,122.0
145,309.0
146,243.0
147,185.0
148,191.0
149,171.0
150,137.0
151,152.0
152,224.0
153,221.0
154,173.0
155,145.0
156,186.0
157,314.0
158,174.0
159,132.0
160,123.0
161,228.0
162,226.0
163,189.0
164,220.0
165,171.0
166,262.0
167,222.0
168,134.0
169,258.0
170,141.0
171,182.0
172,185.0
173,225.0
174,174.0
175,316.0
176,376.0
177,161.0
178,440.0
179,293.0
180,259.0
181,271.0
182,390.0
183,136.0
184,269.0
185,156.0
186,401.0
187,216.0
188,97.0
189,156.0
190,120.0
191,142.0
192,164.0
193,173.0
194,132.0
195,10.0
196,54.0
197,28.0
198,135.0
199,151.0
200,164.0
201,161.0
202,179.0
203,160.0
204,193.0
205,187.0
206,155.0
207,173.0
208,186.0
209,187.0
210,201.0
211,142.0
212,172.0
213,257.0
214,155.0
215,185.0
216,219.0
217,152.0
218,275.0
219,181.0
220,157.0
221,119.0
222,25.0
223,23.0
224,161.0
225,130.0
226,115.0
227,116.0
228,141.0
229,129.0
230,229.0
231,224.0
232,138.0
233,130.0
234,219.0
235,247.0
236,158.0
237,167.0
238,246.0
239,168.0
240,279.0
241,443.0
242,382.0
243,114.0
244,128.0
245,111.0
246,138.0
247,174.0
248,242.0
249,137.0
250,181.0
251,207.0
252,141.0
253,233.0
254,233.0
255,281.0
256,382.0
257,65.0
258,123.0
259,302.0
260,172.0
261,107.0
262,110.0
263,118.0
264,149.0
265,104.0
266,138.0
267,117.0
268,364.0
269,206.0
270,113.0
271,131.0
272,99.0
273,124.0
274,159.0
275,168.0
276,215.0
277,139.0
278,150.0
279,443.0
280,218.0
281,124.0
282,193.0
283,156.0
284,228.0
285,192.0
286,193.0
287,230.0
288,456.0
289,127.0
290,141.0
291,226.0
292,163.0
293,137.0
294,126.0
295,177.0
296,13.0
297,13.0
298,39.0
299,275.0
