episodes,rewards
0,21.0
1,10.0
2,28.0
3,24.0
4,20.0
5,15.0
6,30.0
7,14.0
8,15.0
9,13.0
10,13.0
11,26.0
12,27.0
13,27.0
14,11.0
15,18.0
16,28.0
17,12.0
18,29.0
19,17.0
20,16.0
21,35.0
22,25.0
23,57.0
24,14.0
25,15.0
26,19.0
27,42.0
28,20.0
29,25.0
30,13.0
31,20.0
32,10.0
33,26.0
34,11.0
35,11.0
36,56.0
37,23.0
38,13.0
39,73.0
40,60.0
41,115.0
42,83.0
43,204.0
44,66.0
45,63.0
46,68.0
47,59.0
48,186.0
49,256.0
50,258.0
51,246.0
52,297.0
53,231.0
54,234.0
55,253.0
56,398.0
57,283.0
58,188.0
59,231.0
60,241.0
61,257.0
62,323.0
63,322.0
64,324.0
65,344.0
66,212.0
67,293.0
68,379.0
69,274.0
70,319.0
71,278.0
72,227.0
73,455.0
74,500.0
75,491.0
76,261.0
77,420.0
78,286.0
79,290.0
80,394.0
81,322.0
82,319.0
83,309.0
84,296.0
85,405.0
86,366.0
87,500.0
88,374.0
89,500.0
90,500.0
91,409.0
92,301.0
93,500.0
94,224.0
95,344.0
96,230.0
97,283.0
98,271.0
99,290.0
100,309.0
101,238.0
102,254.0
103,207.0
104,219.0
105,243.0
106,216.0
107,255.0
108,225.0
109,226.0
110,239.0
111,212.0
112,218.0
113,227.0
114,222.0
115,225.0
116,217.0
117,217.0
118,224.0
119,218.0
120,234.0
121,282.0
122,192.0
123,183.0
124,214.0
125,235.0
126,207.0
127,183.0
128,214.0
129,182.0
130,197.0
131,185.0
132,163.0
133,172.0
134,153.0
135,154.0
136,165.0
137,153.0
138,140.0
139,164.0
140,142.0
141,157.0
142,146.0
143,132.0
144,139.0
145,133.0
146,134.0
147,96.0
148,164.0
149,97.0
150,122.0
151,79.0
152,135.0
153,177.0
154,153.0
155,169.0
156,146.0
157,163.0
158,142.0
159,164.0
160,147.0
161,169.0
162,153.0
163,181.0
164,156.0
165,185.0
166,174.0
167,171.0
168,167.0
169,152.0
170,166.0
171,172.0
172,160.0
173,153.0
174,168.0
175,157.0
176,183.0
177,177.0
178,158.0
179,188.0
180,159.0
181,184.0
182,169.0
183,176.0
184,204.0
185,214.0
186,171.0
187,165.0
188,186.0
189,152.0
190,179.0
191,172.0
192,181.0
193,166.0
194,274.0
195,207.0
196,183.0
197,198.0
198,196.0
199,192.0
200,164.0
201,196.0
202,242.0
203,200.0
204,199.0
205,222.0
206,224.0
207,204.0
208,184.0
209,215.0
210,184.0
211,190.0
212,204.0
213,205.0
214,245.0
215,229.0
216,199.0
217,182.0
218,212.0
219,181.0
220,193.0
221,200.0
222,227.0
223,214.0
224,185.0
225,211.0
226,204.0
227,258.0
228,276.0
229,185.0
230,79.0
231,190.0
232,195.0
233,191.0
234,187.0
235,173.0
236,174.0
237,153.0
238,195.0
239,165.0
240,207.0
241,202.0
242,215.0
243,204.0
244,171.0
245,191.0
246,189.0
247,186.0
248,231.0
249,240.0
250,195.0
251,166.0
252,183.0
253,211.0
254,212.0
255,214.0
256,225.0
257,182.0
258,221.0
259,455.0
260,334.0
261,221.0
262,336.0
263,406.0
264,300.0
265,500.0
266,500.0
267,280.0
268,210.0
269,438.0
270,332.0
271,256.0
272,266.0
273,228.0
274,269.0
275,368.0
276,205.0
277,207.0
278,308.0
279,213.0
280,230.0
281,209.0
282,242.0
283,243.0
284,223.0
285,241.0
286,225.0
287,217.0
288,286.0
289,238.0
290,278.0
291,235.0
292,256.0
293,253.0
294,252.0
295,227.0
296,254.0
297,303.0
298,213.0
299,311.0
300,251.0
301,275.0
302,233.0
303,279.0
304,253.0
305,333.0
306,266.0
307,407.0
308,283.0
309,319.0
310,376.0
311,373.0
312,500.0
313,126.0
314,64.0
315,9.0
316,8.0
317,10.0
318,283.0
319,229.0
320,279.0
321,328.0
322,336.0
323,302.0
324,286.0
325,272.0
326,282.0
327,279.0
328,420.0
329,345.0
330,272.0
331,327.0
332,319.0
333,358.0
334,355.0
335,500.0
336,307.0
337,290.0
338,345.0
339,377.0
340,261.0
341,327.0
342,468.0
343,194.0
344,309.0
345,410.0
346,196.0
347,188.0
348,38.0
349,9.0
350,10.0
351,10.0
352,9.0
353,10.0
354,10.0
355,10.0
356,9.0
357,12.0
358,148.0
359,179.0
360,97.0
361,115.0
362,500.0
363,106.0
364,127.0
365,108.0
366,116.0
367,127.0
368,105.0
369,119.0
370,116.0
371,113.0
372,132.0
373,117.0
374,422.0
375,500.0
376,500.0
377,500.0
378,500.0
379,500.0
