episodes,rewards
0,19.0
1,23.0
2,23.0
3,11.0
4,32.0
5,29.0
6,14.0
7,24.0
8,11.0
9,14.0
10,19.0
11,45.0
12,14.0
13,62.0
14,109.0
15,25.0
16,63.0
17,53.0
18,123.0
19,29.0
20,44.0
21,26.0
22,154.0
23,150.0
24,67.0
25,145.0
26,191.0
27,25.0
28,188.0
29,397.0
30,213.0
31,329.0
32,191.0
33,166.0
34,235.0
35,80.0
36,272.0
37,214.0
38,170.0
39,173.0
40,273.0
41,377.0
42,307.0
43,268.0
44,173.0
45,207.0
46,283.0
47,148.0
48,210.0
49,211.0
50,126.0
51,144.0
52,256.0
53,253.0
54,171.0
55,322.0
56,185.0
57,129.0
58,173.0
59,193.0
60,116.0
61,500.0
62,197.0
63,145.0
64,483.0
65,306.0
66,207.0
67,128.0
68,258.0
69,84.0
70,271.0
71,34.0
72,23.0
73,15.0
74,43.0
75,188.0
76,141.0
77,211.0
78,84.0
79,437.0
80,16.0
81,304.0
82,43.0
83,282.0
84,135.0
85,256.0
86,127.0
87,146.0
88,10.0
89,70.0
90,140.0
91,31.0
92,89.0
93,126.0
94,115.0
95,185.0
96,131.0
97,107.0
98,153.0
99,240.0
100,107.0
101,101.0
102,111.0
103,142.0
104,126.0
105,104.0
106,201.0
107,126.0
108,111.0
109,153.0
110,104.0
111,177.0
112,146.0
113,59.0
114,157.0
115,207.0
116,154.0
117,108.0
118,133.0
119,137.0
120,266.0
121,100.0
122,118.0
123,131.0
124,219.0
125,203.0
126,166.0
127,218.0
128,103.0
129,140.0
130,181.0
131,116.0
132,136.0
133,114.0
134,101.0
135,101.0
136,150.0
137,97.0
138,134.0
139,100.0
140,138.0
141,105.0
142,111.0
143,106.0
144,111.0
145,102.0
146,114.0
147,154.0
148,119.0
149,144.0
150,217.0
151,115.0
152,163.0
153,202.0
154,42.0
155,170.0
156,52.0
157,121.0
158,204.0
159,152.0
160,52.0
161,141.0
162,185.0
163,155.0
164,170.0
165,411.0
166,117.0
167,114.0
168,115.0
169,288.0
170,128.0
171,124.0
172,403.0
173,35.0
174,102.0
175,149.0
176,148.0
177,102.0
178,97.0
179,144.0
180,226.0
181,101.0
182,187.0
183,267.0
184,98.0
185,30.0
186,85.0
187,149.0
188,16.0
189,105.0
190,104.0
191,185.0
192,99.0
193,45.0
194,23.0
195,113.0
196,92.0
197,91.0
198,37.0
199,259.0
200,97.0
201,74.0
202,135.0
203,169.0
204,88.0
205,79.0
206,243.0
207,234.0
208,178.0
209,108.0
210,100.0
211,114.0
212,41.0
213,104.0
214,146.0
215,109.0
216,46.0
217,95.0
218,76.0
219,113.0
220,88.0
221,108.0
222,93.0
223,131.0
224,43.0
225,29.0
226,162.0
227,300.0
228,126.0
229,62.0
230,97.0
231,193.0
232,155.0
233,94.0
234,129.0
235,139.0
236,172.0
237,130.0
238,63.0
239,102.0
240,197.0
241,91.0
242,137.0
243,100.0
244,210.0
245,151.0
246,99.0
247,168.0
248,48.0
249,107.0
250,172.0
251,96.0
252,172.0
253,23.0
254,57.0
255,139.0
256,73.0
257,98.0
258,93.0
259,97.0
260,103.0
261,104.0
262,34.0
263,238.0
264,97.0
265,31.0
266,230.0
267,107.0
268,115.0
269,99.0
270,103.0
271,135.0
272,204.0
273,83.0
274,118.0
275,21.0
276,348.0
277,166.0
278,110.0
279,99.0
280,174.0
281,99.0
282,112.0
283,108.0
284,99.0
285,103.0
286,111.0
287,87.0
288,99.0
289,101.0
290,142.0
291,40.0
292,118.0
293,101.0
294,199.0
295,99.0
296,64.0
297,56.0
298,175.0
299,132.0
