episodes,rewards
0,22.0
1,21.0
2,34.0
3,17.0
4,11.0
5,14.0
6,15.0
7,29.0
8,14.0
9,32.0
10,11.0
11,30.0
12,71.0
13,23.0
14,49.0
15,48.0
16,67.0
17,154.0
18,189.0
19,84.0
20,157.0
21,108.0
22,256.0
23,500.0
24,241.0
25,182.0
26,239.0
27,311.0
28,467.0
29,500.0
30,456.0
31,500.0
32,441.0
33,198.0
34,500.0
35,216.0
36,272.0
37,254.0
38,169.0
39,356.0
40,500.0
41,214.0
42,168.0
43,306.0
44,170.0
45,187.0
46,500.0
47,214.0
48,500.0
49,228.0
50,308.0
51,166.0
52,230.0
53,211.0
54,500.0
55,320.0
56,163.0
57,262.0
58,101.0
59,11.0
60,65.0
61,8.0
62,8.0
63,142.0
64,9.0
65,9.0
66,8.0
67,22.0
68,140.0
69,141.0
70,199.0
71,442.0
72,259.0
73,147.0
74,152.0
75,189.0
76,160.0
77,154.0
78,184.0
79,176.0
80,281.0
81,11.0
82,12.0
83,12.0
84,217.0
85,183.0
86,461.0
87,196.0
88,234.0
89,409.0
90,226.0
91,471.0
92,345.0
93,181.0
94,352.0
95,169.0
96,108.0
97,158.0
98,135.0
99,219.0
100,287.0
101,147.0
102,183.0
103,174.0
104,209.0
105,196.0
106,125.0
107,500.0
108,342.0
109,243.0
110,295.0
111,188.0
112,188.0
113,254.0
114,388.0
115,198.0
116,229.0
117,135.0
118,136.0
119,129.0
120,136.0
121,166.0
122,132.0
123,207.0
124,157.0
125,147.0
126,172.0
127,150.0
128,255.0
129,26.0
130,15.0
131,14.0
132,216.0
133,154.0
134,161.0
135,436.0
136,123.0
137,142.0
138,129.0
139,221.0
140,500.0
141,278.0
142,169.0
143,500.0
144,164.0
145,135.0
146,33.0
147,450.0
148,135.0
149,147.0
150,115.0
151,271.0
152,122.0
153,263.0
154,53.0
155,141.0
156,149.0
157,155.0
158,130.0
159,119.0
160,182.0
161,156.0
162,500.0
163,161.0
164,174.0
165,123.0
166,130.0
167,132.0
168,130.0
169,125.0
170,132.0
171,187.0
172,130.0
173,123.0
174,176.0
175,115.0
176,163.0
177,149.0
178,104.0
179,195.0
180,161.0
181,144.0
182,129.0
183,207.0
184,203.0
185,198.0
186,97.0
187,131.0
188,90.0
189,118.0
190,415.0
191,129.0
192,143.0
193,70.0
194,135.0
195,162.0
196,117.0
197,150.0
198,130.0
199,130.0
200,166.0
201,14.0
202,16.0
203,51.0
204,450.0
205,175.0
206,156.0
207,127.0
208,235.0
209,179.0
210,166.0
211,140.0
212,168.0
213,175.0
214,140.0
215,138.0
216,122.0
217,399.0
218,184.0
219,218.0
220,138.0
221,260.0
222,201.0
223,229.0
224,411.0
225,376.0
226,148.0
227,217.0
228,180.0
229,119.0
230,135.0
231,155.0
232,159.0
233,179.0
234,202.0
235,205.0
236,192.0
237,230.0
238,184.0
239,339.0
240,332.0
241,441.0
242,500.0
243,128.0
244,449.0
245,131.0
246,212.0
247,148.0
248,147.0
249,240.0
250,494.0
251,152.0
252,229.0
253,82.0
254,224.0
255,295.0
256,49.0
257,302.0
258,458.0
259,12.0
260,76.0
261,412.0
262,407.0
263,424.0
264,382.0
265,155.0
266,136.0
267,130.0
268,108.0
269,72.0
270,152.0
271,227.0
272,326.0
273,164.0
274,324.0
275,152.0
276,379.0
277,362.0
278,118.0
279,185.0
280,213.0
281,128.0
282,224.0
283,128.0
284,275.0
285,241.0
286,224.0
287,287.0
288,156.0
289,134.0
290,256.0
291,252.0
292,108.0
293,329.0
294,280.0
295,112.0
296,426.0
297,226.0
298,395.0
299,220.0
