episodes,rewards
0,-119.4741900093605
1,-234.05334893881198
2,-130.398737902196
3,-247.2545391676229
4,-92.48711249762543
5,-285.63321593429924
6,-37.83463527074906
7,-102.9979176040935
8,-143.78252714274174
9,-161.15660823437022
10,-214.73359882329714
11,-89.70284648724831
12,-308.08271021326993
13,-447.45744481014924
14,-215.67855585194945
15,-214.2512764610035
16,-97.88023474654902
17,-374.7095246891731
18,-71.35578196537935
19,-307.31970959851435
20,-107.43519149849081
21,-413.2388871306075
22,-52.33633595400176
23,-201.08594530350933
24,-131.7550156718094
25,-315.0258781468556
26,-218.1727730048479
27,-152.93467154008454
28,-136.10808704060577
29,-255.10813643153065
30,-230.14138461508762
31,-34.078999915267644
32,-192.58370652192792
33,-495.0189674205801
34,-178.4594457461021
35,-305.6379016038195
36,-399.4679058151597
37,-261.02486294038215
38,-91.48306902334207
39,-170.90682810933032
40,-189.35000307368873
41,-27.068674123390366
42,-212.9505284017547
43,-76.11672821879603
44,-523.4969990673306
45,-200.2255552859613
46,-124.73383812601953
47,-68.06594477102132
48,-331.8496677509312
49,-328.3875373954389
50,-51.2840947898237
51,-64.27674920973566
52,-66.11674310284691
53,-182.85474467075682
54,-101.30490481365541
55,-30.884580425667423
56,-189.47713264164645
57,-114.22026667873102
58,-38.47269096936448
59,-80.24778063976918
60,-239.30341296176312
61,-123.63098135380633
62,-147.62651641995302
63,17.604239220996988
64,-212.6806923987263
65,-189.99381378523736
66,-345.5872844475806
67,-124.72706725161562
68,-122.03170534331527
69,-125.59099073404249
70,-172.88152713963416
71,-40.903346962330524
72,-197.78732400920413
73,-180.02408469237196
74,-217.8267828977792
75,-413.8272621336088
76,-21.262532204625217
77,-330.16485153572853
78,-256.1248879611542
79,-351.42534932780984
80,-388.99494092338676
81,-177.01460873905648
82,-268.0856928683851
83,-420.94934310137586
84,-136.5155300723649
85,-394.0221924079331
86,-163.4004797134279
87,-229.1342197338258
88,-327.58314039270385
89,-120.7670902410632
90,-107.32576465972458
91,-247.65025035592407
92,-189.82902899717058
93,-72.35432268798077
94,-244.8636941843619
95,-191.68578114703814
96,-133.2583471481221
97,-285.5706901042405
98,-256.2319777634694
99,-205.68514966701395
100,-268.21071622636634
101,-110.25782118340695
102,-372.6460896274237
103,-45.786294417052616
104,-218.81434466142608
105,-137.20957697296745
106,-162.64109935457938
107,-44.974007644134666
108,-113.97720269813634
109,-165.24479401398213
110,8.879715524690695
111,-289.7926597149625
112,-45.33105822542789
113,-97.46777752048733
114,-98.48494831013238
115,-143.4522228389041
116,-60.52311764122266
117,-122.78891485867443
118,-160.1269052807931
119,-118.23358678113297
120,-19.349713314199164
121,-110.83857452206982
122,-86.36534284328638
123,-102.0360453053201
124,-94.32475376066189
125,-127.25165527112799
126,-81.44069032821773
127,-172.9160063461508
128,-211.1459772383064
129,-163.31832390674776
130,-119.95560924134269
131,-159.8609127671238
132,-81.60643412766888
133,-177.04731724118807
134,-139.62075241338903
135,-122.58209206699213
136,13.008714346735587
137,-152.86830465749148
138,-88.12470705764522
139,-77.82379715404677
140,-23.435398986989355
141,-133.36644567386094
142,-170.48918462356482
143,-113.68899794069046
144,-110.99409928345005
145,-90.59657452386305
146,8.188921434165266
147,-82.49525020299686
148,-27.474919525083735
149,-168.11895848145176
150,-177.89986123184576
151,-40.532658949262824
152,-215.61961469361563
153,-119.00768592807427
154,-59.285595149246646
155,-94.68242603693292
156,-206.24517261569696
157,34.59517751228498
158,-84.4964053035094
159,-113.48382110834005
160,-106.2676849003479
161,-125.94169317457285
162,-169.27175252957574
163,-77.64479009761808
164,-174.71242979258793
165,-177.9123991330281
166,-190.43712811208206
167,-223.33343703169407
168,-56.39783483078603
169,-257.1985280240984
170,-33.71950334855278
171,-281.9988370953707
172,-69.56627884199517
173,-248.15788364249127
174,-198.21675514635817
175,-185.42539960622327
176,-248.58608483413397
177,-88.13995311242886
178,-156.40884134517876
179,-195.33972459739374
180,-213.2524064908058
181,-44.73358631962695
182,-226.42456261607796
183,-244.68507578253747
184,-123.7877845383728
185,-53.069129475672014
186,-167.12676097157217
187,-276.542967165881
188,11.809341171296163
189,-138.61925151870432
190,-203.35284371352628
191,-207.71288065655085
192,-371.45174811036685
193,-114.27633711229286
194,-322.98147436322733
195,-373.37443028587677
196,-124.87881756857621
197,-156.76328854155022
198,-364.72428835751845
199,-149.61211667083774
200,-138.9810640836305
201,-94.33777342713614
202,27.864209414481785
203,-39.848435999990215
204,-93.49199744963929
205,-16.75150912220414
206,-7.60334283356913
207,-105.83970150326596
208,-108.56581345785465
209,-108.42920309471987
210,-49.00959492097308
211,-184.52217693362843
212,-145.37087559252436
213,-240.28820232170634
214,-216.13273615106678
215,-403.9691712902286
216,-244.06058538849638
217,-141.85910673549046
218,-208.6062934911603
219,-144.9079558423135
220,-133.92293943995878
221,-122.01430380421208
222,-54.826754344521056
223,-69.22023860875927
224,-22.20864038986466
225,-117.34081475243887
226,-154.73437955061036
227,-47.84783165124117
228,-209.15965861797767
229,30.843758421158654
230,-17.992852774988634
231,-94.31848631969135
232,-97.11009596590866
233,-103.34436141512651
234,-74.1446580729757
235,-58.80525203407542
236,-61.984938886733744
237,-42.1978874891787
238,29.634313099653014
239,-265.1396661516645
240,-49.2056025082162
241,-88.76779433018869
242,-42.016139471211034
243,-63.86391349429692
244,-88.61939590061195
245,-200.833078731868
246,-94.8968931308395
247,-110.67922722295329
248,-69.02085000731206
249,-45.94946080795418
250,-56.5664086440123
251,-93.21132761720358
252,-50.403518164491494
253,-121.00844469370344
254,-137.33770182765653
255,-66.44742597133964
256,-109.46095607817637
257,-154.60223671493216
258,-121.6362413161893
259,-79.64084152287019
260,-108.7535899370023
261,-60.242536081877674
262,21.69422018234293
263,-120.19324014903758
264,-70.0775945737171
265,-66.88916617210268
266,-10.311321737364917
267,-18.469400923165566
268,-52.26848355889443
269,-122.06656215335043
270,-108.16703731350295
271,-138.93803206297628
272,-61.51578705042341
273,-112.95624813802038
274,38.08640956230632
275,-102.69003442438184
276,-73.65316248189552
277,58.43918807858779
278,-96.97070342881975
279,-81.68622596310337
280,-127.8724571735596
281,-17.784092141981766
282,-5.677232640327672
283,-109.40850062250747
284,-109.43836323070538
285,-48.729413574130156
286,-77.17871741667314
287,-43.13005546652037
288,-41.1895376631364
289,-106.55255086597187
290,-110.3837511806915
291,-76.21085390589731
292,152.72806923381404
293,-142.27164758145062
294,-74.94057537614655
295,-95.47233743493716
296,-122.7836529604331
297,-106.87599568887066
298,-78.03641911840847
299,-102.85836906737026
