episodes,rewards
0,-123.69328695278554
1,-52.34079205825611
2,-469.00208212018447
3,-276.6684108456867
4,-85.71581899921415
5,-198.39383122784358
6,-95.18317375862796
7,-526.7773539168896
8,-136.09471156753997
9,-118.5692985021459
10,-204.7143316540553
11,-392.17262224575325
12,-171.5071962030443
13,-367.03861037059875
14,-358.94611614270474
15,-468.5116281838076
16,-156.2833687468821
17,-199.76971696715566
18,-115.50148351959702
19,-312.6836464379939
20,-150.92713170346545
21,-212.00809037186735
22,-85.89385342899662
23,-93.25022333590256
24,-377.36116487160297
25,-105.28830399407124
26,-76.8984544972973
27,-238.8377688862781
28,-135.4257870847211
29,-31.49048170579033
30,-158.33451177973393
31,-250.63888855212815
32,-133.0361543714164
33,-292.5624179177289
34,-81.12872174281698
35,-184.8217193045569
36,-229.85343747358746
37,-91.82979633195305
38,-109.91296818222278
39,-82.14126406941095
40,-119.0322092323563
41,-90.94292236877168
42,-70.1729902820729
43,-51.5269665681964
44,-74.18614727099559
45,-349.62556472156734
46,-308.5547099275436
47,-95.93722715808856
48,-49.01888971017795
49,-80.45417522377119
50,-312.3122336482555
51,-115.3132233196257
52,-198.4873718248882
53,-49.211674729739386
54,-217.76882188863348
55,-30.590539248076098
56,-310.0031951382565
57,-161.76394953284165
58,-125.52475933455028
59,-136.28699372374075
60,-73.86529190378089
61,-185.3600553181003
62,-309.4987762619638
63,-101.99896691328212
64,-103.53375252109036
65,-137.2479015792416
66,-108.39595242654882
67,-118.13908978856881
68,-90.23665574982572
69,-115.70279139112898
70,-151.05553938326935
71,-165.18312331191134
72,-117.76149451739175
73,-129.80334250417087
74,-135.06881599633562
75,-121.60556424568229
76,-87.36560777184484
77,-115.28732176616536
78,-112.38330394907986
79,-159.20595445989096
80,-106.09855486304986
81,-115.1677530204514
82,-113.09191166641057
83,-126.03780987775632
84,-216.22125377074155
85,-64.08064086037888
86,-69.63008797942064
87,-59.84217558187198
88,-205.05800030029465
89,-72.51071263721448
90,-93.87532564989709
91,-44.98397859031839
92,-164.71680804486687
93,-183.76503053098912
94,-300.8064838869579
95,-99.11573752205383
96,-314.93454239908954
97,-293.26305109687354
98,-312.59899970798335
