episodes,rewards
0,-137.7950328675072
1,-251.01756053075283
2,-38.02065002416123
3,-391.87537823201814
4,-261.4089622397296
5,-195.60269177631818
6,-190.5042323614926
7,15.78591245003112
8,-320.6849916874745
9,-18.172209017958423
10,-103.07194418654831
11,-82.73818339531667
12,-67.1425788486269
13,-108.49423600408575
14,-99.67614648554958
15,-312.25396515701
16,-130.4078433796386
17,-233.68319071652851
18,-75.72964547393867
19,-170.41574957196988
20,-174.8634199134107
21,-91.38338725267755
22,-197.4538299619554
23,-113.3608910842707
24,-238.54334563809596
25,-183.9519632289624
26,-175.90290603832253
27,-281.5990054018359
28,-45.459591146488265
29,-73.97266674946347
30,-210.8014176622362
31,-175.49825624145922
32,-193.20626883255187
33,-273.9007968186432
34,-294.9341690270835
35,-346.5756180781574
36,-233.3985146417618
37,-209.1839830793336
38,-219.78467702350378
39,-195.13950422535152
40,-38.42779088852204
41,-194.83197969042433
42,-224.81156930782305
43,-210.83447290393863
44,-230.1950434172004
45,-11.247715130399968
46,-151.22277432601794
47,-188.09593572263054
48,-174.68159433632508
49,-214.73767365029835
50,-225.12273600081824
51,-200.26391380489554
52,-162.52305582486647
53,-211.21471872076307
54,-182.54382850277906
55,17.268218860094976
56,-69.99493902314083
57,-138.9683565496037
58,-40.772725235906535
59,-215.1514097462309
60,-250.6353703159213
61,18.91554377813513
62,-99.7620791493643
63,-250.83161916331102
64,-23.31626144573695
65,-62.32865121573789
66,34.90842788892839
67,3.6914919283210565
68,18.94051237326202
69,-46.64414774274897
70,-408.28134071250605
71,-40.00302894618548
72,-302.49054162966866
73,-35.78477745910294
74,-179.94898669796177
75,-173.10990606053926
76,-201.50111483421603
77,-226.84188927733618
78,-229.1736156974733
79,2.8582383971497336
80,-74.2385374320246
81,-232.40235121134623
82,2.952513071089143
83,-81.79652078867618
84,-89.87938670544102
85,37.50210741724402
86,-149.864215706204
87,-9.061925913822932
88,-195.52610687900807
89,30.33103393926021
90,-31.009259951428078
91,-35.34848261476985
92,-169.36756332943048
93,0.4709945856626021
94,-212.802053607247
95,12.78794967349397
96,-44.924107663779324
97,-192.23115049334666
98,-130.6146695878725
99,-228.03126595004318
100,-48.3914070940623
101,-37.80083899273699
102,-360.3332075053724
103,-189.62790335913286
104,-113.8154220174256
105,-197.7326668800335
106,-31.389322784018447
107,-110.59621812230301
108,-47.3760059298274
109,-21.47888807382253
110,-33.33251699075072
111,10.34229494091978
112,-151.7207704739031
113,-60.77905683592829
114,-54.40489673752122
115,-28.84217196321662
116,-9.842638705007829
117,-199.79772510504426
118,-256.61424990039023
119,-7.9686433841975255
120,-202.8459411240454
121,-29.59679650450829
122,10.024172389095195
123,-51.84670106563537
124,-196.77586650821166
125,-8.508696141668949
126,-147.55748527702661
127,7.582538709099707
128,-193.80421120967497
129,4.8264181030929265
130,-4.165829156409059
131,-265.70175746561785
132,-10.721330623803553
133,-35.24612097847735
134,-13.260980842853106
135,22.770605791165835
136,-24.498721499553966
137,-3.4634778005403986
138,-205.78242831985273
139,30.229568745803263
140,-43.23632786496048
141,-224.34362381889235
142,-200.55258657613876
143,-243.22486725105156
144,-8.786081713501815
145,-258.4845367997973
146,-210.04402690860678
147,-189.77117390122805
148,-173.8841186193414
149,38.499204767511095
150,-151.11634515021825
151,4.576990160841931
152,-203.77096267309554
153,5.25285831856054
154,17.385488441600277
155,7.879555366474976
156,-82.90420117635543
157,-20.617240295444297
158,15.057517188592275
159,-186.71935633763036
160,-158.00133490229888
161,-27.301547165150197
162,-4.692877901217806
163,-9.17469574099
164,8.104145817118464
165,-246.4833216660398
166,-40.94244982715061
167,-15.213660539605609
168,-173.133503777157
169,-200.7471063160733
170,-24.136522666854027
171,-36.49598700531712
172,-49.9313762077622
173,-16.768599327169582
174,-182.01848609761544
175,-167.53589531714277
176,-144.1164766921769
177,-206.09647900798024
178,11.851693076805367
179,-165.9381218518065
180,22.749669406045296
181,-149.58676762401768
182,-1.3998414386375662
183,-48.08308651021244
184,-10.313356435404675
185,-17.761223444160493
186,-163.27642683188145
187,-170.67546591529873
188,11.187637908743081
189,-11.476719026068182
190,-13.30943937041522
191,-46.15502294849085
192,38.64048103964399
193,-143.32588608947626
194,-63.33059550025186
195,-188.88082746131056
196,-28.53555236042202
197,10.787869587333484
198,-9.124090201043487
199,-3.858966605699237
200,-208.047314887803
201,-189.03574211428315
202,-184.32789875347993
203,-211.14368828646013
204,-6.628198730474864
205,-171.3659964905111
206,-42.046660791211735
207,-14.484729677989407
208,23.328147393168944
209,-173.87345629460737
210,-181.22167380475014
211,-6.376121097395236
212,-36.6058350150457
213,-313.2638357216058
214,-23.338643508232146
215,-183.56833035490823
216,-27.00154505772517
217,-6.1696709528767855
218,-18.201301587882725
219,-183.40745959277774
220,-33.67693382951418
221,-3.9405692568005293
222,-31.976664398933284
223,-279.9595209406151
224,-222.57310272595504
225,-191.56491963771975
226,-165.33860378737216
227,-23.061415774446616
228,4.178611363109016
229,-52.508605343350965
230,-43.02859346834802
231,2.4122994914910807
232,-169.8310156683749
233,-18.3670769184165
234,-158.61763416402195
235,4.145744683983181
236,-210.4890606209643
237,5.767537672385795
238,-90.96634410959935
239,-13.202979361419878
240,-47.82177596681119
241,-30.13879981057392
242,-215.0910436369339
243,-166.58368319582326
244,10.448746732466176
245,35.489962066509385
246,-41.362982625817956
247,-35.42024110187312
248,-51.79299810143304
249,15.787699463659216
250,15.986743598505337
251,5.0117065690451055
252,-183.96912812088937
253,10.713229060781927
254,-80.65167524364779
255,-0.17408268315416997
256,-267.97692036390737
257,7.454478074326315
258,-15.054918191983717
259,11.897968715741015
260,11.60927505901871
261,-115.1362578030392
262,24.12950274731083
263,-200.0903579845968
264,-228.1230395401233
265,-170.17858597129182
266,3.463802451821974
267,-50.49883711399083
268,-5.550496237784887
269,-190.20616202622296
270,-167.547252576406
271,-6.080525035161756
272,23.277301427976077
273,4.338271098135509
274,-219.40844057469695
275,-191.79181073156948
276,13.617491282660403
277,-27.45913561789977
278,-64.78575000580595
279,198.68176159217
280,0.6730228300554668
281,-211.81289815025394
282,-21.444214023069787
283,-8.163036834785043
284,168.69905968029315
285,-8.68346900227786
286,-213.1546671688723
287,-58.0199879407541
288,-201.69604220770927
289,19.399344258881616
290,-43.54713912208105
291,50.312133623777726
292,-146.72898057002826
293,-128.44475441875676
294,-291.18164771706404
295,106.626514164523
296,-155.89186714968005
297,-178.4508035645745
298,-61.58955252062756
299,51.95856267520858
