episodes,rewards
0,-113.61496590516299
1,-85.44565956260159
2,-63.59247235931381
3,-233.7439831248556
4,-231.60244297902503
5,-438.0726890626838
6,-244.95745665251968
7,-55.71829149363312
8,-360.52078110584006
9,-133.02350411629692
10,-128.2747409338967
11,-28.805336086441372
12,-175.6627902819534
13,-85.45931290945528
14,-132.32995346983682
15,-191.69391661822232
16,-68.25156018094464
17,-81.95609567469825
18,-95.35369285190066
19,-188.7246556959149
20,-28.63418897482073
21,-249.77833015564795
22,-131.52073083546148
23,-324.0808436302266
24,-60.21240931970719
25,-81.99521079965862
26,-160.61418941982564
27,-333.3580873584946
28,-440.060179559995
29,-216.06452162332278
30,-217.317007003605
31,-362.99683463773965
32,-91.7114333679588
33,-343.7361107409571
34,-237.4210285218931
35,-335.22358446314456
36,-81.10948558819501
37,-410.32847023993475
38,-205.72741042262948
39,-192.76696571494097
40,-237.4770727403183
41,-61.81696170978782
42,-406.4596818503905
43,-495.2901265425581
44,-206.16509702289298
45,-242.60714746519952
46,-352.44047248336534
47,-253.3218447934372
48,-93.08103401558168
49,-358.449224912237
50,-127.79560233098813
51,-64.85129469214591
52,-267.10005499201907
53,-492.46149348636504
54,-261.19696396405857
55,-350.11848868218397
56,-84.55674638030038
57,-157.98454822929185
58,-360.9747393171167
59,-228.9200416771158
60,-334.716709619021
61,-157.55659251400766
62,-120.20804488789454
63,-127.74487028176284
64,-95.39986384495076
65,-412.45644662435086
66,-229.42741007015638
67,-576.6869943153742
68,-366.42493325120876
69,-197.14135216217403
70,-263.2841929937564
71,-183.88341984344032
72,-110.92712274077007
73,-150.25435107085713
74,-188.18541129839736
75,-106.23875596125312
76,-361.561443506918
77,-185.8227977975004
78,-118.12397467674303
79,-52.5831906985359
80,-253.33280258141687
81,-159.62536549650235
82,-341.1402113609223
83,-31.955315818924745
84,-81.1898958437218
85,-100.63382512786652
86,-13.714459376242274
87,-83.85579726262291
88,-56.28900175385054
89,-32.33748868710251
90,-220.44891654863636
91,-154.6225985073421
92,-240.33752498553187
93,-85.42051852847642
94,-248.6489353476948
95,-71.63935538152155
96,-99.87490782045472
97,-114.67656390319924
98,-308.87312592402895
99,-256.17099604340683
100,-283.48395469237175
101,-164.7357591482037
102,-113.34649041126494
103,-107.2213773625875
104,-134.70165747441968
