episodes,rewards
0,-109.12122683069465
1,-11.572554860420567
2,-162.00890171045648
3,-323.0338277716284
4,-61.49336126937939
5,-156.01142191505156
6,-40.07297738998914
7,-282.5279195195111
8,-246.89538402536638
9,-79.56773406994581
10,-85.30104006121917
11,-500.92279889919723
12,-100.58433693336363
13,-18.033548851658665
14,-68.48801252085599
15,-40.290557162547124
16,-87.92552266618266
17,-174.2985910217395
18,-75.53925529203917
19,-50.61662367179597
20,-31.85303601788695
21,-48.45099932599669
22,-46.7652678381793
23,-244.69463174814746
24,-21.722326833526736
25,-31.367623487197974
26,-584.8146491767004
27,-109.52345178998397
28,12.678321039723684
29,-137.40139624502172
30,-289.59820710721306
31,-234.5619112636514
32,-55.34407424572541
33,-10.953996395035446
34,-65.8102282863625
35,52.736185233884584
36,-80.99791623334804
37,-242.68854134136558
38,-73.26008922665761
39,2.1022009143538725
40,-195.93922737516326
41,-9.082551529258723
42,-134.82710392533352
43,-240.41656462628717
44,-198.68195454247393
45,-79.93805068094142
46,-139.89849556089735
47,-34.54210487201324
48,-3.9839857734064594
49,-9.521639247216285
50,-176.41318326468354
51,-1.4326690509117839
52,-442.6890469703311
53,-72.43315108715551
54,-61.47572367337608
55,-408.7553128819047
56,-76.76179986786266
57,-144.71316668469257
58,-34.21626839096666
59,-75.38500826874582
60,-174.02289025370195
61,-127.6293735168164
62,-369.3090928018677
63,-161.18556262649605
64,-69.49368577772073
65,-238.27338054817977
66,-233.38497885794732
67,-67.98999158195267
68,-197.80684475559815
69,-284.92862931659613
70,-136.86414291892424
71,-378.7635569535855
72,-127.65155650668119
73,-11.047298158674508
74,-298.49363836589566
75,-276.93010493530466
76,-145.74357382570102
77,-202.9690435207716
78,-123.41736558826975
79,216.8865197052188
80,119.92723591240869
81,-326.9371910694462
82,-61.447462932731774
83,-175.1166872379053
84,-145.50158293203222
85,-166.83416803743623
86,-11.982011822362821
87,-81.67533168175352
88,-173.01188553875352
89,-189.40626860848397
90,-118.95434641494211
91,-164.71987600732874
92,-76.65975682875874
93,-212.72125134608618
94,-8.822161024091216
95,-99.62508384246807
96,166.9271278570286
97,-121.60048537619988
98,173.9963320279863
99,-37.39518244097308
100,-277.0951592843128
101,-50.92288538029821
102,-157.91823093327315
103,-157.16798364562032
104,-228.2893112754114
105,-41.45043752221824
106,217.11152044652212
107,5.858096847802258
108,-370.65487123195106
109,-165.28431648062127
110,249.57051118939305
111,-224.67070550380976
112,-509.22045907704324
113,-64.32278720583517
114,-222.19057067784132
115,17.981705516562087
116,249.9730267301566
117,-177.73290212176647
118,90.6398439598043
119,-72.88692393114495
120,-14.925032090270918
121,-4.0856538522481145
122,-101.07852466754711
123,-165.7262509751319
124,-245.96720843607653
125,-82.3869096789126
126,-402.6509524572584
127,-212.6925220107418
128,-73.57556424049196
129,-210.4800681860485
130,-179.7283705067456
131,-370.3682996069238
132,-130.54531776440984
133,-240.18841787636669
134,-189.91679863897315
135,-109.55705347081033
136,-36.53051323642234
137,161.75979830142168
138,-162.89374910611548
139,5.918108179172151
140,3.2756638756589354
141,-299.3664675956723
142,-131.41830736759732
143,9.634291892127308
144,28.417864424916104
145,243.69555536235882
146,42.01700928592197
147,-223.10703097160462
148,-44.181873181065406
149,-239.53078556035112
150,-7.56208835692685
151,227.01651242936487
152,-259.33951137955637
153,107.37344779510967
154,-158.44368222150797
155,87.97895867547504
156,2.5657648056083247
157,-176.22088182748743
158,-61.882310480905666
159,-133.22141511307893
160,-129.14235931946808
161,-151.5414101585166
162,27.609604375545857
163,-100.62950236544268
164,2.7318862212622577
165,-116.74224479505148
166,-38.044498275133975
167,-255.20375151726935
168,-219.3832160062542
169,-341.2226567214376
170,-328.3949285269039
171,30.774281532115452
