episodes,rewards
0,-157.01694293911356
1,-241.236954383912
2,-162.98918453195907
3,-211.72401597617915
4,-344.7276330215403
5,-212.94070237237418
6,-405.5265280273638
7,-78.78396772516231
8,-114.14595100928348
9,-130.6152681842851
10,-109.19637847773356
11,-163.83318857113915
12,-111.87874146276958
13,-77.9835234031012
14,-127.16833142698252
15,-47.70102500241018
16,-61.499206786257716
17,-89.433069207872
18,-200.76916664874597
19,-101.73658745341272
20,-77.01761088625994
21,-216.49147476129065
22,-493.32659173474366
23,-226.11278780561543
24,-70.85349823488916
25,-57.624648793589806
26,-144.27341998370161
27,-81.99713865742942
28,-365.5948300625573
29,-259.757131389386
30,-324.9667118624755
31,-58.33064042948019
32,-125.79607435753013
33,-40.289965158029474
34,-264.2362415125335
35,-122.98701767060628
36,-95.78804868073895
37,-475.36367322912923
38,-400.257359338755
39,-443.0884653255514
40,-202.88879661377933
41,-309.54847008425315
42,-415.7965789137376
43,-245.03381218482122
44,-209.4247743700029
45,-81.48708169788817
46,-117.75107174113226
47,-149.769459461106
48,-100.09285226024738
49,-240.88448995988082
50,-216.0864670344722
51,-111.14162208804063
52,-384.2018843957312
53,-255.5237691740612
54,-135.37128949501965
55,-374.57442429021535
56,-342.5241248977259
57,-81.46588322454522
58,-10.02708847437377
59,-571.6793637979238
60,-89.10111175866433
61,-422.55754552451054
62,-245.63757473168073
63,-164.62646725105952
64,-76.63151863907079
65,-129.86627338082462
66,-128.56811061635148
67,-164.08973788972483
68,-145.6657836784285
69,-98.46747019159056
70,-43.120372484732485
71,-73.66463613062415
72,-160.0628015763242
73,-84.81415834759373
74,-113.24633746961908
75,-433.1702810576942
76,-321.52360449349516
77,-59.25580038484799
78,33.635897474597385
79,-42.0469737796867
80,-188.28444277876332
81,-389.326228449138
82,-281.77187553020946
83,-93.88781256408349
84,-510.75426405609727
85,-162.8150049291367
86,-250.63060489184068
87,-137.66805765899613
88,-116.76240716897425
89,-236.8515148644864
90,-1.381103095224006
91,-146.38849995342287
92,-312.8925848100566
93,-312.99292220802033
94,-112.72554725474755
95,-525.0748337463855
96,-99.55019707888222
97,-97.1026809341667
98,-319.09350419750274
99,-186.60247391944017
100,-283.40653154715113
101,-266.27656899843885
102,6.466203520756963
103,-167.2974916618627
104,-8.38918830788775
105,-167.952640379263
106,-164.7253840334792
107,-250.2991795658303
108,-85.8660977985898
109,-40.15814049512258
110,-299.9494363467203
111,-82.02521403145262
112,-268.07994575260943
113,-549.1979438909666
114,-249.59409723615536
115,-211.9450070034532
116,-52.860281927970846
117,-103.16586798448145
118,-375.87107912257113
119,-135.66936892192862
120,-290.1764177538072
121,-260.2072665454291
122,-173.57662765856605
123,-16.535258942532778
124,-399.3406331570122
125,-88.8530179975603
126,-104.87342369806352
127,-399.17699453623135
128,-213.08125229556867
129,-240.19918578567615
130,-172.10115309504096
131,-159.26309790529112
132,-150.01017792249257
133,-90.42477497068052
134,-58.196458439506884
135,-434.0811595432294
136,-374.30297836281255
137,-283.8300663812032
138,-270.35915817339054
139,-102.46077600596291
140,-202.4941402106963
141,-421.91033403974836
142,-282.7228162642622
143,-71.86519713996945
144,-178.09089876610068
145,-226.81879568688674
146,-146.27436332737193
147,-15.778403427869264
148,-224.5668849346967
149,-78.1367705765637
150,-120.78387718682957
151,-55.33686393822674
152,-150.20849379305642
153,-351.5868061903615
154,-112.63459393638668
155,-114.94859857806456
156,-79.29526798422623
157,-246.16772929312694
158,-211.10028626429835
159,-209.21456088578375
160,-209.7925673186826
161,-104.34394710034867
162,-435.03604707084486
163,-62.33362342546259
164,-70.6070756179506
165,-319.25088969411854
166,-66.96244056622585
167,-99.47534254059204
168,-23.68523507939652
169,-260.4733262867095
170,-85.47642938740466
171,-231.93391551428402
172,-92.57049778791512
