episodes,rewards
0,-439.9274066084259
1,-83.11291219611849
2,-88.16687851955167
3,-91.74048875993402
4,-231.6159140298933
5,-121.9026517106864
6,-229.6841366961442
7,-146.44914339880387
8,-74.45821215199221
9,-292.9064180081603
10,-133.64268347122268
11,-365.94151961403367
12,-278.6545595184306
13,-102.99907815201279
14,-379.804213654304
15,-469.852668643253
16,-452.18567866721287
17,-323.4085368753033
18,-100.25687488845334
19,-220.20074033487782
20,-292.960910055074
21,-392.0684205841689
22,-67.5946983192415
23,-325.3068153967529
24,-111.33383248812757
25,-103.46150605028008
26,-397.22804947927534
27,-167.13646737383993
28,-359.1462990056568
29,-77.13545839206
30,-342.05369307097476
31,-115.52784521643919
32,-124.27178348145775
33,-141.64443971526057
34,-371.3090559859547
35,-114.06396056809459
36,-124.29992540175579
37,-8.55011148605071
38,-164.61313557728127
39,-243.17117499646227
40,-217.14095497306434
41,-224.75168607573943
42,-101.48940247434174
43,-130.14493100004321
44,-102.80028919305258
45,-108.43810644056818
46,-303.3980600994857
47,-85.29711668606278
48,-203.5356443195074
49,-413.1031589822779
50,-110.57440804322341
51,-99.97581097294245
52,-399.02360184900004
53,-364.11839376172503
54,-280.02227813915897
55,-49.49821453949157
56,-210.34989978758873
57,-115.0807240874787
58,-248.01615817468408
59,-96.13768580856566
60,-195.5785147416035
61,-105.84324965468876
62,-75.5623556384282
63,-446.5510245670975
64,-306.31757704400576
65,-139.7932946696984
66,-231.6902156928894
67,67.59699026974326
68,-308.43644688911445
69,-372.84945729246886
70,17.907738108355872
71,-341.98968622235384
72,-257.9823072522646
73,-282.3769837972189
74,-86.90955982229579
75,-250.9338092642275
76,-307.7556047274414
77,-119.56334791238191
78,-464.96366455256054
79,-302.6123054335971
80,-180.70458277370105
81,-241.39490250887027
82,-129.96576004018792
83,-123.6697196903572
84,-346.9134532475026
85,-29.680397725984378
86,-153.44286076306935
87,-366.7403151809222
88,-69.29393508170396
89,-134.0301195265434
90,-132.50062712417105
91,-197.15947336076835
92,-257.7964344051034
93,-100.63243725763147
94,-169.8194632417285
95,-116.76043290368874
96,-214.36147436568507
97,-400.3695003410323
98,-258.9208393535792
99,-120.55703234568607
100,-118.05912266443123
101,-216.2400926655525
102,-287.0615328012177
103,-152.11035696854907
104,-465.31848509408593
105,-83.37351763841492
106,-88.36089287647839
107,-151.80655042732607
108,-184.29050454234942
109,-31.234582625746228
110,-158.45323092774174
111,-113.91690680593763
112,-166.10755069959137
113,-221.02458544187857
114,-183.57016897772496
115,-323.62048042108336
116,-188.89542106358536
117,-93.43595845067841
118,-201.3586906806403
119,-308.43247504710894
120,-87.60008646251144
121,-190.3828232485219
122,-148.08486858266457
123,-157.0441353712192
124,-182.06452390671404
125,-202.617504374083
126,-93.08317385388085
127,-134.4140753246892
128,-188.30041941863385
129,-99.09777103182692
130,-145.57166671234742
131,-228.902120795509
132,-145.87032040483257
133,-187.71940665730125
134,-140.58059956432328
135,-259.0942118269113
136,-74.88631311944475
137,-102.93569649180449
138,-244.04118248813327
139,-90.38096500887448
140,-107.61210905149099
141,-211.57025651244038
142,-279.83880777589366
143,-84.47049907190195
144,-296.87085940184363
145,-82.19827878336585
146,-125.80457751750934
147,-159.34711042616908
148,-250.9742054356219
149,-225.28853737086322
150,-117.04550687594207
151,-344.5462518131561
152,-262.3995890654863
153,-425.14460612723127
154,-207.31910573300615
155,-47.51675966082922
156,-200.48247066928434
157,-249.3687265417715
158,-309.1454408362747
159,-78.09435897551819
160,-128.52543990853323
161,-91.74558404447734
162,-194.287889116833
163,-135.21311662564128
164,-115.6242398564506
165,-98.8937160826479
166,-146.6674407789398
167,-266.3497176286829
168,-169.0622311958336
169,-24.410487705989652
170,-60.982185095563224
171,-214.15512958156665
172,-86.2243451762444
173,-12.236974194461709
174,-221.59306416218493
175,-449.77258068811915
176,-206.43134919246728
177,-81.39067680485125
178,-375.9439248607365
179,-241.5440927650685
180,-128.19623879457546
181,-151.93974576837633
182,-88.43582602197097
183,-168.98939818112925
184,-161.86598078373555
185,-200.53421453277417
186,-30.975348477425314
187,-141.08550900671952
188,-117.84488931131064
189,-105.30006923445137
190,-363.24641009146563
191,-289.8110018882053
192,-95.37218571001543
193,-102.18058751614569
194,-265.0012783675314
195,-176.87785433991633
196,-165.76185102563335
197,-112.63013916925766
198,-127.797014977625
199,-301.54245736950736
200,-131.71035359796372
201,-61.33167580043201
202,-52.305010866023956
203,-143.52722084752156
204,-201.4758258763344
205,-84.2743711835511
206,-259.73169780489593
207,-225.2172737491653
208,-219.97105399396509
209,-206.0522102662513
210,-124.69881235820125
211,-109.64287460095699
212,-332.1470614877443
213,-62.98116382643606
214,-131.62125208153702
215,-214.67392555002777
216,-111.79803040651876
217,-127.88825035496534
218,-305.5591006597871
219,-124.15459002765196
220,-68.54943701690296
221,-116.71906348057368
222,-63.250442610107214
223,-181.14007195814582
224,-110.2157845928308
225,-106.33760638612429
226,-66.89697904589516
227,-141.8920315610102
228,-113.05654197234082
229,-103.74214153995364
230,-202.70981503209754
231,-132.6291419457812
232,-73.8512847178955
233,-199.08206549208103
234,-126.81654714448658
235,-38.06170404853043
236,-286.7160492576152
237,-101.15254538992124
238,-126.4153601052001
239,-157.13304656122043
240,-157.47815571738545
241,-119.98642348908002
242,-76.19084915037035
243,-424.9039396373661
244,-358.71181376584775
245,-60.77904808712482
246,-307.3291916973408
247,-121.90999604966896
248,-368.51206673421
249,-330.4153284244032
250,-136.30227559164894
251,-112.78878688960543
252,-126.03292877632464
253,-97.21812185704749
254,-50.371798304150374
255,-327.74127972595056
256,-195.38375223904052
257,-106.96766353732026
258,-115.4847660746771
259,-105.14029114851434
260,-175.7288014441145
261,-135.81427821297686
262,-107.32084096991127
263,-156.2725584719879
264,-112.34992086918135
265,-174.13216938845045
266,-157.97911072282295
267,-353.65254251717147
268,-88.23147786660454
269,-93.56678495393093
270,-141.50307380912477
271,-130.22352832574845
272,-383.52156997170965
273,-237.66715611521343
274,-95.21001060420086
275,-165.84185165394462
276,-221.29041637564978
277,-323.03077937925457
278,-128.51294801477025
279,-109.93812600877722
280,-85.02391998766602
281,-72.77746015942802
282,-253.97673431283928
283,-263.0629281448327
284,-94.07483941841244
285,-126.68764354934919
286,-83.21063574562113
287,-553.9377406021075
288,-140.241412449707
289,-59.85240440857807
290,-64.97846919621506
291,-525.3720276029064
292,-38.97687427542881
293,-18.371482962940718
294,-249.095063651602
295,-109.86231908317744
296,-119.60386959817937
297,-124.15552592875966
298,-308.8609602632513
299,-182.8501229041762
300,-84.06342531687974
301,-127.05004840552614
302,-145.62478988245874
303,-97.22927399328444
304,-226.0598244333775
305,-65.74205338326647
306,-282.68711740688536
307,7.346810166162712
308,-8.006176160854068
309,-216.54262228598898
310,-50.688199889850424
311,-56.060298546162876
312,-306.94345505049023
313,-321.0439504815573
314,-69.31665896310838
315,-84.57000069919582
316,-123.65390021318171
317,-352.68217259969333
318,-150.4722399218913
319,-98.1783947613901
320,-117.85418793473536
321,-51.95529495218941
322,-8.563688809852266
323,-105.15098177987709
324,-294.85290803861653
325,-191.12433231299386
326,-134.4698767879762
327,-77.96585583859226
328,-271.4261794032792
329,-121.49885347364602
330,-114.59213774469077
331,-73.30638421087116
332,-326.96287196411686
333,-280.6425599115728
334,-440.621834810248
335,-362.8021254848814
336,-112.13275808190284
337,-176.06193419449136
338,-152.28476322374541
339,-67.36015089719317
340,-252.93204986660527
341,-107.49551961669425
342,-340.0452815145175
343,-51.79171537384349
344,-27.201006930316566
345,-105.47379405407443
346,-84.46084795042708
347,-118.04831044894854
348,-370.1710647369057
349,-337.3803392107185
350,-244.45574710651601
351,-222.53293754850654
352,-64.06667463118373
353,-101.52902644099149
354,-182.53482909209447
355,-245.90755267305715
356,-112.40813727372336
357,-400.7689653986612
358,-252.6494541970398
359,-128.47144782037262
360,-162.3320103149752
361,-131.5264690619474
362,2.7111195236548156
363,-84.07978633195995
364,-263.34982574412146
365,-213.97412346833215
366,-48.57762223619754
367,-82.31842779152248
368,-131.95738718076225
369,-247.90080631292543
370,-89.63025291128932
371,-339.6113467531667
372,-188.83850447907778
373,-130.2442795025682
374,-60.10736058775184
375,-139.45146068617052
376,-64.67308218417566
377,-457.6905255174603
378,-91.23336153848653
379,-94.40539897072046
380,-78.63918102407894
381,-143.53744482003938
382,-198.88198550517825
383,-87.38024113953126
384,-120.1401362603128
385,-59.16897357333381
386,-59.95599858303315
387,-380.7417244188741
388,-80.64270935816018
389,-118.54415679796955
390,-72.98697924790349
391,-208.28424002787148
392,-297.3220590611706
393,-274.62636568528876
394,-363.7646991224976
395,-124.69487713266045
396,-218.05729253725175
397,-173.38282295787542
398,-314.4771973821039
399,-62.3613385639016
400,-81.56011547587042
401,-266.44395786890107
402,-73.39370783160612
403,-260.07416054931315
404,-303.6698063847213
405,-253.389787719692
406,-135.9947894413894
407,-86.95287036422621
408,-82.65791753508414
409,-359.0718647901191
410,-286.6385530565849
411,-91.2482082069324
412,-85.65641755347208
413,-344.1999754973144
414,-92.21819390212569
415,-65.87913951381822
416,-132.0380269896477
417,-448.6164545972334
418,-198.46814880324507
419,-318.400917611948
420,-125.15657217995872
421,-55.0799383369742
422,-208.3262623205531
423,-7.733331540081991
424,-135.17195289764177
425,-73.66578972650235
426,-79.01218185200207
427,-293.32726006987775
428,-227.8182083870133
429,-196.05263831901752
430,-119.11728675442951
431,-38.78353809983996
432,-86.11851993010288
433,-92.78694028843384
434,-178.45761594405016
435,-348.67361892958496
436,-77.44367241571877
437,-236.93959495757122
438,-116.51092936285664
439,-458.96138131307583
440,-235.43975000160827
441,-96.82936188342462
442,-225.12471473506017
443,-163.5798854037624
444,-138.16594355745704
445,-116.13246876976558
446,-218.42234562342773
447,-198.24327189650649
448,-98.39838410638521
449,-97.6115585513778
450,-154.65920534208465
451,-278.2588037229925
452,-142.14883547165772
453,-112.68193046451947
454,-72.68143169571373
455,-312.7132271316783
456,-137.49932387619793
457,-77.83880401978449
458,-53.55903512846865
459,-89.0855928065627
460,-39.452803777777106
461,-435.7203365040558
462,-282.68405734189366
463,-46.11764654186608
464,-24.44735798290948
465,-58.99502099546609
466,-200.62793525509997
467,-142.67182566017965
468,-233.5845370182229
469,-13.763439099671615
470,-68.1801579876952
471,-42.156774879230326
472,-155.73195250482087
473,12.590249692544916
474,-41.882584589337284
475,-74.21591778444946
476,-70.24857673267923
477,-24.331611434521236
478,-100.00767062060753
479,-28.388121284000732
480,-202.17251566157907
481,-205.02406828022816
482,4.303300002628234
483,-262.388932134254
484,-99.28868572394651
485,-57.81710391770986
486,-117.87115600684872
487,-84.22205733888848
488,-199.04549931071668
489,-206.545390176981
490,-41.14973343755037
491,-64.86514683927393
492,-346.4073835860271
493,-13.907231423176086
494,-313.0973383494734
495,-138.82192485255354
496,-308.9473804223766
497,-159.46713389322122
498,-86.66213834207
499,-167.42412764501307
500,-92.85892309709745
501,-229.88169738499684
502,-167.32748769442728
503,-466.6567474995446
504,-202.0671183058467
505,-341.63554902390916
506,-97.45795022940021
507,-141.36041053250926
508,-311.33817831702004
509,-151.48254777007722
510,-87.21467026601222
511,-115.71733306638815
512,-76.35873307911982
513,-271.3336289765048
514,-366.41127200943254
515,-16.84643703218481
516,-76.29449440613003
517,-273.1481082037501
518,-251.02641128623864
519,-226.11858907256442
520,-161.62357336519958
521,-230.1194964266124
522,-75.85405977450208
523,-94.04035389173293
524,-227.79721729491988
525,-309.3115580756406
526,-84.8847478258683
527,-354.42749587825136
528,-65.32805584171678
529,-67.74118691173649
530,-121.54031652288344
531,-248.1180313439306
532,-216.6268389644092
533,-74.90600770606002
534,-312.3685242810127
535,-301.9908417817805
536,-44.95707638215349
537,-49.30605730941592
538,-351.24238521202534
539,-73.33082957185286
540,9.720914629103703
541,-56.723915205181
542,-250.43211036197863
543,-75.91015475589438
544,-385.7237766029374
545,-25.305873043111134
546,-80.14598911628724
547,-428.4295709108254
548,-108.34614850835409
549,-254.964257369824
550,-260.15175083220254
551,-161.21725207350488
552,-316.96212900204273
553,-156.64939865466658
554,-401.1195862403228
555,-305.13858836959287
556,-187.18627228582972
557,-101.07953516149686
558,-148.9414025838428
559,-207.53906991711887
560,-254.54691619210163
561,-70.65552190065638
562,-281.0745165781681
563,-59.20999240080492
564,-295.1918537007913
565,-225.00270153249124
566,-364.8747023879385
567,-175.87197943661482
568,-54.65496835198204
569,-111.35671583056282
570,-49.020840198418504
571,-80.21071579349211
572,-181.77043356811876
573,-75.44652062900266
574,-126.40603905556048
575,-28.711708054088163
