episodes,rewards
0,-131.58980927352792
1,-500.599370946566
2,-6.109403557248484
3,-110.51338563085716
4,-147.37020030804408
5,-426.5469043351111
6,-223.02839786205996
7,-155.5179037912344
8,-401.4370443949874
9,-205.7517667901756
10,-62.1834363991844
11,-382.20338833800446
12,-228.93891902353073
13,-295.9038564558102
14,-87.01862839479504
15,-423.6068494144571
16,-336.84900513640673
17,-387.56131742523246
18,-507.37795574900116
19,-92.00605943629638
20,-120.57932031480112
21,-248.59354387177748
22,-118.15058658496797
23,-275.40037324126246
24,-155.67699823806484
25,-128.24418559019603
26,-108.18627885968529
27,-235.80544895779602
28,-132.7121265477339
29,-87.19198681058498
30,-233.82515318847388
31,-47.64794374581446
32,-113.98213684968734
33,-56.39560071122891
34,-135.60802270307968
35,-465.3606772559372
36,-144.55902658946076
37,-75.26151802052925
38,-85.72264015627681
39,-201.27012521820973
40,-203.40188332135898
41,-180.87798160014427
42,-104.299736751692
43,-65.93604591760385
44,-108.87192831983471
45,-97.16462813704352
46,-102.0870176925799
47,-319.3278308563553
48,-26.221129357409254
49,-105.1194353309709
50,-42.86695428793854
51,37.811403512017165
52,-444.5465726782591
53,-270.5127879282407
54,-50.40393964357536
55,-250.00659869386743
56,-75.37136047166679
57,-92.49142560966695
58,-171.91708360922678
59,-164.58598535019746
60,-327.0976191163663
61,-130.95477774475222
62,-157.00817712529482
63,-108.30266230871382
64,-93.18898055680539
65,-30.268189181302503
66,-334.0260191768066
67,-79.92100671623484
68,-178.0993527241908
69,-182.85720723727493
70,-64.176848920086
71,-258.1627410226903
72,-75.65248458854519
73,-141.23941963719466
74,-185.77168188372525
75,-152.05388629730678
76,-261.06724044050753
77,-119.14170911243849
78,-79.14299982307291
79,-97.95072634518645
80,-78.02718815953739
81,-104.7009185062585
82,-361.95860883889867
83,-218.75961797425583
84,-65.00445675900048
85,-304.49219415300473
86,-76.33584653769167
87,-79.85124944820089
88,-199.22620010929387
89,-193.5924679296411
90,-26.01413188702739
91,-194.38848677729774
92,-83.94299147092015
93,-238.80021312013525
94,-112.99489471932145
95,-130.361580818622
96,-398.26409572081764
97,-38.07168256691591
98,-148.19270174514816
99,-314.6452920161845
100,-167.9534410321781
101,-189.07904408637512
102,-83.35658630425749
103,-106.12670920721898
104,-86.88891127470757
105,-133.27590954012175
106,-58.61254418807418
107,-226.24983162071544
108,-202.43175737274788
109,-246.4185114536818
110,-58.08218653790165
111,-123.18768041111484
112,-275.0573315447384
113,-411.6376697707061
114,-174.44703048299448
115,-211.3011149339224
116,-52.244937776257636
117,-225.20963156621679
118,-119.60490965222546
119,-164.0223321289482
120,-75.32518267854219
121,-196.45876410154688
122,-375.9071020505565
123,-384.49185789416754
124,-280.24646714900314
125,-205.44242431072786
126,-450.36165614921356
127,-384.8377390198204
128,-189.92421808029383
129,-112.71983619513252
130,-230.88980216649597
131,-68.1833438734436
132,-267.64940011208057
133,-117.69132688996979
134,-96.84620919006773
135,-44.96608271855818
136,-217.35855926259012
137,-112.04486094887781
138,-182.8364679890994
139,-89.82525566190448
140,-89.90737408499155
141,-38.415715549290255
142,-58.51608561179856
143,-114.61243068788086
144,-587.3770058216696
145,-98.24830751709158
146,-200.7106778143447
147,-107.464669760564
148,-132.64024984735033
149,-309.158656916891
150,-193.27476616056265
151,-237.78986479622
152,-266.6650869028849
153,-22.859019230083234
154,-40.4129254491441
155,-99.92687157570029
156,-350.50002607409385
157,-327.29818959587965
158,-128.27919274207758
159,-152.252929760158
160,-62.73077747670946
161,-209.1542822365932
162,-87.14712041053754
163,-81.84188805214606
164,-190.3773586166143
165,-530.5087607931669
166,-9.585364186854974
167,-140.44011705691122
168,-74.78255563336816
169,-96.1448073352348
170,-249.40591942365444
171,-344.11679570481965
172,-279.13381663639984
173,-187.73830724077249
174,-85.05224947897054
175,-71.00234338622275
176,-43.36002317941431
177,-63.856494732326574
178,-10.147174548900153
179,-132.49519637967214
180,-107.01447328029826
181,-372.62812275744784
182,-24.166238670424107
183,-64.07524094921202
184,-50.83963037746484
185,-21.735889370830762
186,-240.97002161937496
187,5.0143524883309
188,-51.56451851691354
189,-342.42200141726437
190,-345.0615510007998
191,-50.55799174848075
192,-207.74412487274515
193,-261.1883335637595
194,-194.70881148976892
195,-108.33431306016257
196,-118.20253238249347
197,-144.10213518531936
198,-249.35947618413982
199,-218.58649373490022
200,-96.92794458756582
201,-195.4319363168932
202,-157.7391665025862
203,-404.80145755013547
204,-151.33328189371247
205,-256.87527625864413
206,-48.80245978867086
207,-101.08142902325828
208,-91.4227007843696
209,-241.17606852485818
210,-249.5653167901482
211,-309.77233369874716
212,-136.26209759311945
213,-86.2956195427448
214,-47.54882048972783
215,-85.12060385497827
216,-262.4393807121099
217,-84.3108151776758
218,-142.0653870963696
219,-71.10403584057777
220,-232.19087211530785
221,-43.32097216923472
222,-31.410317938104825
223,-12.985055205611843
224,-106.85182523828627
225,-93.11865746566552
226,-240.4213217918485
227,-166.89205088858975
228,-118.6233002075458
229,-69.66953502454255
230,-218.42548390720378
231,-145.68623586819677
232,-55.82836778444429
233,-202.32703195542626
234,-199.4445373953156
235,-88.16155492453946
236,-54.13865304777609
237,-5.74068944238509
238,-274.135920374131
239,-223.2864378211399
240,-79.11746105304812
241,-297.67577927549416
242,-67.89239380658388
243,-167.76296266538333
244,-27.904350752621184
245,-296.9203237483814
246,-113.62829916026838
247,-258.77513527224033
248,-212.94181724680016
249,-78.08280861080287
250,-279.9264539299869
251,-414.5195318328732
252,-283.15001832064047
253,-138.57022973458328
254,-50.86261145875915
255,-245.80591850377056
256,-195.19250171840815
257,-210.74134954086327
258,-126.96984084439508
259,-53.206455365686836
260,-76.77019909697188
261,-23.087006543287842
262,-291.62805258237796
263,-30.876749436949368
264,-155.02365079736427
265,-267.520923812972
266,32.79369776655409
267,-293.4958758426724
268,-189.85882545261381
269,-26.71172299930086
270,-0.6169609592406999
271,-161.98223720653195
272,-110.35727112635958
273,-217.2059521119453
274,-32.82250354019632
275,-126.19698127490003
276,-245.4110861140129
277,-34.69362245538497
278,-80.94558489689348
279,-49.37963495752044
280,-92.42531300765577
281,-43.585301300903865
282,-198.51792535202765
283,-42.27896420076809
284,-228.6912351763579
285,-15.53868991366518
286,-175.13713168278574
287,-35.19642230159239
288,-23.725502346603562
289,-178.05963473974765
290,-185.07107604148803
291,-125.45006070425922
292,-258.25901336641857
293,-57.94860930528145
294,-262.41436454733423
295,-178.20846900706084
296,-217.09271067625758
297,-140.2465066867843
298,-88.21937423635676
299,-130.64055652705005
300,-226.19628100443438
301,-142.39365255581492
302,-254.970929913434
303,-217.6610560591222
304,-635.039614369606
305,-221.01944666697335
306,-42.755628538610196
307,-226.99865050754312
308,-187.96752250483723
309,9.414828760711202
