episodes,rewards
0,-101.7041013895424
1,-529.015290053314
2,-653.1098492684246
3,-582.1052353730286
4,-1408.8693972523008
5,-374.2520510501237
6,-891.5796005796677
7,-500.3676312961814
8,-2311.4366944214717
9,-633.5915762456015
10,-620.6842527957022
11,-399.4747170802329
12,-712.5474722349195
13,-463.0656464811378
14,-710.0279650517335
15,-1092.9267195888283
16,-1102.964702386852
17,-632.2171885291247
18,-477.8376146734604
19,-711.4478007029024
20,-673.4341393954184
21,-613.2910527641162
22,-626.6928424477227
23,-915.9551510079937
24,-683.8483136987854
25,-1015.8487359573974
26,-1464.7911179271446
27,-2576.526884324984
28,-663.4479144134992
29,-455.36267347538325
30,-1839.6989915985373
31,-529.9467598714407
32,-559.0479587968524
33,-1592.1791199462125
34,-2744.878779190234
35,-871.3445704606033
36,-602.5040281318674
37,-3385.1464015475144
38,-1473.851857957168
39,-737.1127391096189
40,-489.5917137988809
41,-744.3289277803931
42,-2938.367404488566
43,-644.2213839497691
44,-541.6145201661468
45,-561.0450166354883
46,-622.1348412796126
47,-668.8060428844797
48,-727.0776793647468
49,-817.1924593307158
50,-472.38810161388506
51,-564.4060836838171
52,-652.0573094235997
53,-737.1205225110278
54,-414.34347723606425
55,-818.0813002882168
56,-746.2105044345436
57,-689.316822649692
58,-634.0257077425337
59,-717.200658126061
60,-708.1797521933312
61,-914.7605993827739
62,-1033.5660095763646
63,-839.1902849741202
64,-683.1156976647281
65,-1104.5510850126657
66,-1648.7680559174646
67,-780.4066264714397
68,-580.6461858190464
69,-601.7397811339861
70,-1539.412231986875
71,-754.4419338124773
72,-479.47513478423133
73,-1067.2860003870449
74,-525.9852860321676
75,-1322.240198078663
76,-803.5349838757724
77,-784.2451823170727
78,-736.2499898256733
79,-583.0661513901919
80,-670.669483733388
81,-614.8839650778482
82,-607.0654655293972
83,-664.7711531540792
84,-680.837357345016
85,-599.648882805881
86,-542.0525636893542
87,-515.3238384511073
88,-777.9402922893319
89,-760.7712240024945
90,-463.8245411262366
91,-496.7905732430943
92,-840.3412070140571
93,-476.6096102172479
94,-468.79132174675055
95,-767.2437972390934
96,-879.0937671249269
97,-467.96608870172497
98,-316.8448184399006
99,-490.22785484137603
100,-721.5822994947462
101,-335.68413291708873
102,-374.4850189773229
103,-792.7322963535856
104,-740.2852151112744
105,-505.8246268683657
106,-497.4680197259497
107,-652.2176997364717
108,-436.94523321526543
109,-519.6826582042735
110,-560.2378476667112
111,-612.1943849113258
112,-567.2660556208291
113,-524.2011783806329
114,-287.45970720542516
115,-560.2767233463055
116,-774.2205843782932
117,-475.9420112705367
118,-531.7002363926786
119,-560.0731272730222
120,-498.1221261409686
121,-932.7097981610086
122,-679.7755479517584
123,-519.6506787026661
124,-528.5246468918305
125,-457.0043977943976
126,-610.0199767552645
127,-387.1691240280651
128,-439.14061116682694
129,-814.4216618170176
130,-409.1753378018707
131,-854.942618296203
132,-784.6341552884327
133,-727.8296383807675
134,-499.47605384514566
135,-690.3859464046675
136,-725.7795547496722
137,-543.699375781187
138,-547.6890390011115
139,-768.0309727259045
140,-501.4696747869922
141,-789.1951490003011
142,-644.2020817551777
143,-742.2232320640786
144,-605.1389503236599
145,-384.9819435929895
146,-947.5229118964262
147,-672.7980189304687
148,-321.11464284305873
149,-561.2877878642989
150,-1041.7278366840874
151,-493.35411336725406
152,-470.7709302515285
153,-442.4596066770289
154,-496.93721504651796
155,-439.8719744941866
156,-780.5658150620159
157,-859.0194438008602
158,-547.0692561484625
159,-487.5441672747339
160,-674.5123454919445
161,-736.2186199585509
162,-588.495128482216
163,-438.4717100408213
164,-373.05233426192314
165,-356.99957101449974
166,-601.6445237782067
167,-436.11965440374996
168,-504.71201858041763
169,-404.6930863962176
170,-638.0949968967154
171,-465.80223473287873
172,-370.1572519147926
173,-361.0066037937197
174,-599.9799579442308
175,-463.11848857700613
176,-628.2536742967843
177,-418.54096062541885
178,-529.1950871431428
179,-398.12263600982516
180,-526.8910485694162
181,-534.2509195361054
182,-737.887829322628
183,-603.4831744227268
184,-389.93877369849986
185,-542.3468252425586
186,-647.5498457704563
187,-482.9434888808218
188,-492.86496470477675
189,-501.1726628791465
190,-546.2547027320904
191,-410.21021298137026
192,-687.0873906283127
193,-751.9416975604122
194,-566.9645160952836
195,-867.9637774316905
196,-500.3876371575109
197,-1063.47268995599
198,-397.9121676371157
199,-510.65001886355685
200,-443.5896723149195
201,-507.6232379691436
202,-712.8880479271185
203,-724.8088030503635
204,-1044.9806616723959
205,-407.2876927346269
206,-510.97249034196335
207,-450.4232290416722
208,-375.7292707936539
209,-569.4710777215738
210,-555.4589660907908
211,-808.620286516814
212,-436.49933677793143
213,-728.5476252599335
214,-1007.5894204838655
215,-557.6107555869705
216,-487.8106464397112
217,-378.59297005580106
218,-685.2914124998995
219,-492.3515762889194
220,-381.34547928595833
221,-491.3300618213765
222,-469.8461800656912
223,-457.2672238870967
224,-346.38501439971094
225,-505.33523898390973
226,-879.7837950781477
227,-541.8994364068158
228,-653.5652660039104
229,-514.4039468077141
230,-545.3355291713287
231,-424.652780983195
232,-416.41742149122973
233,-514.8452841236174
234,-674.7332824436489
235,-854.3838584550083
236,-411.6948253372385
237,-786.2481945697034
238,-664.0352653367573
239,-433.6027012268848
240,-916.7275630400524
241,-551.1010347846019
242,-540.3863870458838
243,-440.12197935699703
244,-835.8418171533625
245,-455.3382327492758
246,-421.22223358398657
247,-716.6019863714824
248,-382.17221319797477
249,-361.9917047953033
250,-341.6413195274672
251,-437.53989611586303
252,-705.141222241665
253,-923.9176919921547
254,-720.153050729497
255,-792.8103258932146
256,-877.0422291474754
257,-660.987481799405
258,-345.93344911299107
259,-352.5236666354225
260,-847.2583838572637
261,-818.5876031156931
262,-815.1977015956892
263,-839.9941935253675
264,-905.5220134741819
265,-527.7314418299588
266,-432.3190589495482
267,-762.4720604933254
268,-764.9679050008274
269,-646.9519894622288
270,-484.3919346716814
271,-562.620505748431
272,-501.59156107480766
273,-657.3214675805101
274,-929.7402741391315
275,-515.861814984415
276,-547.6290939850537
277,-442.7946371704693
278,-872.3661101561479
279,-494.10676567315073
280,-344.5520624690733
281,-445.02686748356814
282,-457.8159384717964
283,-489.75726971718194
284,-528.352805090331
285,-502.29765216948203
286,-456.86154810136946
287,-473.92352617573715
288,-518.1285660586943
289,-361.2335754025356
290,-598.9888565994877
291,-1014.4298740557145
292,-806.6455451025032
293,-757.287023733286
294,-465.53782534732414
295,-532.3833922673313
296,-501.1501648734777
297,-351.93233427369694
298,-390.16747346571856
299,-528.9454760356133
300,-1043.449148516247
301,-628.1287338166096
302,-542.488503435528
303,-486.7404059194289
304,-598.0718052682345
305,-1105.4044594486104
306,-1040.3173138171146
307,-698.1347854564707
308,-832.3337754203002
309,-918.4966498094819
310,-486.4452343261798
311,-541.440471393784
312,-574.1189765184834
313,-445.02366415464917
314,-516.5687246189138
315,-921.8621389912602
316,-694.7493009782036
317,-565.3103786828192
318,-339.85911241564025
319,-532.7168556387774
320,-554.045469971431
321,-918.3281649273162
322,-908.0123441972423
323,-744.6940009105858
324,-463.17204199873345
325,-330.38628884862186
326,-371.5775734844442
327,-737.2337756573818
328,-531.6329497839685
329,-420.66244417899617
330,-859.5150611197671
331,-763.3045824128225
332,-558.496303235324
333,-359.45298840324745
334,-571.0842460227975
335,-391.5940328201207
336,-485.76274012490967
337,-614.1293701539194
338,-322.132516630554
339,-414.09018117275514
340,-504.50534374723856
341,-445.8616540470426
342,-525.2946536318768
343,-735.1046043679131
344,-473.6680842900691
345,-429.4879925465371
346,-457.94287049756576
347,-432.733548478801
348,-752.7131917848355
349,-466.3812208049606
350,-476.1423927048435
351,-451.4849518349289
352,-479.83133946978296
353,-439.47305514255896
354,-890.6547852142721
355,-432.7854581805623
356,-464.51609458886276
357,-960.2831979391578
358,-612.776630996865
359,-744.1591821918777
360,-397.01051578732034
361,-665.486329746253
362,-436.99721581246337
363,-493.74604751078977
364,-522.5938435988323
365,-385.0400702473227
366,-783.2331208961112
367,-367.5351891140324
368,-912.15508736854
369,-338.20653686505943
370,-397.8629878487551
371,-354.72748154576686
372,-385.0145267352663
373,-563.680465852201
374,-434.0596287996974
375,-791.9462087019622
376,-527.5952702718126
377,-588.6145537155323
378,-428.2772958109695
379,-542.8624081897296
380,-389.9896129673225
381,-830.8057009595042
382,-617.2972001186408
383,-440.31035154428287
384,-590.8106880635446
385,-364.9399235646125
386,-576.7416565190007
387,-496.3735133922854
388,-437.9637654627319
389,-570.5995796606967
390,-335.32760468550805
391,-597.6449085766167
392,-474.73548199112423
393,-541.3597009082016
394,-747.4429393160704
