episodes,rewards
0,-250.94083393958707
1,-182.7427455133863
2,-142.7752850410298
3,-279.11508687307514
4,-62.25384479939662
5,-105.29254846070727
6,-415.5816173655834
7,-214.84051441621943
8,-218.37719208831848
9,-40.58203859383828
10,-152.54298223803627
11,-186.85997029015067
12,-225.65329920406765
13,-216.99549244180224
14,-341.56733334766386
15,-288.9340535307581
16,-511.7450040019727
17,-281.03042111579174
18,-191.72771227665945
19,-211.7062097758691
20,-349.7907953046805
21,-247.99472554717255
22,-202.06019064343792
23,-287.206156201123
24,-51.735005713184165
25,-233.62313858189324
26,-297.0061151813378
27,-384.19047052636364
28,-316.30016193450797
29,-160.95359945357575
30,-147.0771372948735
31,-101.57145081929208
32,-10.973092755449215
33,-247.90215210289085
34,-329.9787083907003
35,-410.24336361229393
36,-468.19651121736484
37,-419.42212527173757
38,-360.18755508382486
39,-115.04101697759403
40,-241.4276640574765
41,-146.29136355982902
42,-311.3198710708975
43,-286.63098483183245
44,-231.63493929490144
45,-202.41944936829617
46,-258.4055009340034
47,-206.67728438846171
48,-113.8045942489679
49,-89.03311857671606
50,-71.24153225034951
51,-141.24509282388686
52,-13.05514171731528
53,-219.79173515025212
54,-295.63486562407616
55,-34.90199121765278
56,-115.35488064810707
57,-269.00467785938815
58,-244.4241071673776
59,-201.51312923378475
60,-62.211002453432826
61,-181.8902426324206
62,-287.4784876102285
63,-85.80449478397917
64,-260.1909814439384
65,89.2699771254417
66,-75.17822952682526
67,-131.00918191828708
68,-213.95327263548458
69,-131.07335860233988
70,-238.31768292302104
71,-228.6672252886421
72,-61.52389863610583
73,6.011943052237555
74,-9.683954271921522
75,-82.59511646387601
76,-112.13882963689917
77,-78.75713006541196
78,-198.31657794016851
79,-11.735966091884976
80,-90.2156013694207
81,-264.4852226105404
82,-218.03670680051934
83,-77.10001762665507
84,-34.78643377524223
85,-95.60050037583002
86,-93.10721411609174
87,-232.61569059089015
88,-168.1712543164912
89,-191.65260387641322
90,-221.19951341918073
91,-170.53445063870083
92,-214.39061157015672
93,-273.5866891302352
94,-157.85370991028896
95,-281.3630267815667
96,16.034608313438667
97,-6.943427693778418
98,-97.49021697526004
99,-85.56798196414564
100,-2.5703703292343647
101,-200.70663726347868
102,-61.25904393569986
103,-60.52974063880107
104,-66.06417432080372
105,-102.20850828810593
106,-31.563047273485793
107,-237.35712016099956
108,-16.68251350958367
109,-192.62387678516995
110,-165.9376582566565
111,1.6463763194615808
112,-143.3754088077063
113,-52.507693538189926
114,-153.14618803035324
115,-182.8575684246092
116,-26.614428913201664
117,-198.99070823857187
118,-168.0806546643625
119,279.7475956551761
120,-78.54773116635613
121,-218.99281538194893
122,-262.8323045049776
123,-200.14801061510485
124,8.823967217857245
125,23.85809061666626
126,22.580452435286148
127,-134.63190958856774
128,252.3215872398238
129,-247.41431453858516
130,-263.8703874850962
131,-121.63079797213814
132,-32.3738090143835
133,31.05201378772537
134,-147.02208882796046
135,-91.7060703960129
136,-107.40193240489424
137,-215.10358274778395
138,-47.27960745929188
139,-211.98679458748018
140,-263.51397563956095
141,-269.57177046920197
142,-210.2309944339528
143,-223.99542972997494
144,-116.43530486881099
145,4.824181797425197
146,-286.5093855613476
147,-88.56943405291847
148,-47.96153282797968
149,-117.28471598247346
150,-217.88840014112392
151,-232.60438277032148
152,-23.95919306642476
153,-158.26859255432572
154,-170.94175420331487
155,-220.47763879749544
156,-139.77649529449639
157,-179.80008095570395
158,-160.19118637851304
159,-171.71699874374616
160,-274.88165924928796
161,-246.27022104196828
162,-75.33649093424319
163,-45.98103187075435
164,-243.66724248671892
165,-1.4700652430127974
166,-59.09788390326998
167,-123.9666042442049
168,-106.5808769105441
169,-120.13722339089645
170,-281.4272596493711
171,-96.17801497405588
172,-72.73940943510475
173,-97.85324126201945
174,-141.76377624231557
175,-175.37096031068174
176,-150.5649636651843
177,-168.15307706047008
178,-143.2251668453273
179,-177.8451817076796
180,-23.57946496556235
181,-170.03851616850258
182,-153.3420771693769
183,-244.00272953162835
184,-132.59188334461814
185,-253.71008369626256
186,-198.6177182735505
187,79.50386718870281
188,53.14926858801661
189,-6.396429065927975
190,-238.40978862424743
191,-72.09063067421013
192,-49.34896968239528
193,-242.58622853740118
194,-103.56735797693624
195,-188.77409780679412
196,-157.70403053701017
197,-139.21077347339119
198,-130.7107428811374
199,-99.39588128357789
200,-160.7502334957025
201,-169.41222589987672
202,-240.35758256419132
203,-115.76771069271001
204,-2.5035841783890964
205,-84.24979807367824
206,-151.3993064316467
207,-66.64663846340135
208,8.898427494242185
209,-217.7886739462822
210,208.4333082856598
211,-43.82217012042521
212,-49.8271435308758
213,-219.5322152992156
214,-160.0527733964749
215,8.0387230108826
216,172.91063823448775
217,-82.56062904703595
218,180.6854146427445
219,-191.94908430578542
220,-123.67264663678974
