episodes,rewards
0,17
1,15
2,29
3,18
4,17
5,27
6,14
7,16
8,12
9,28
10,46
11,15
12,19
13,29
14,20
15,12
16,10
17,22
18,20
19,20
20,16
21,10
22,13
23,10
24,15
25,23
26,17
27,10
28,18
29,16
30,13
31,25
32,10
33,10
34,17
35,11
36,16
37,17
38,18
39,13
40,13
41,16
42,8
43,16
44,11
45,14
46,21
47,10
48,14
49,21
50,10
51,12
52,8
53,13
54,11
55,14
56,16
57,9
58,10
59,11
60,11
61,16
62,10
63,8
64,10
65,10
66,10
67,8
68,10
69,13
70,13
71,9
72,9
73,16
74,8
75,11
76,9
77,23
78,9
79,12
80,9
81,14
82,14
83,11
84,7
85,8
86,10
87,8
88,8
89,11
90,9
91,11
92,9
93,10
94,14
95,9
96,13
97,7
98,9
99,8
100,15
101,8
102,12
103,11
104,9
105,11
106,9
107,12
108,12
109,8
110,10
111,10
112,10
113,10
114,9
115,13
116,10
117,11
118,7
119,19
120,12
121,11
122,13
123,10
124,10
125,9
126,14
127,9
128,13
129,12
130,8
131,10
132,9
133,10
134,7
135,9
136,10
137,12
138,8
139,18
140,11
141,9
142,13
143,10
144,12
145,11
146,9
147,10
148,8
149,10
150,25
151,10
152,9
153,13
154,9
155,9
156,12
157,10
158,9
159,14
160,7
161,10
162,11
163,11
164,10
165,14
166,13
167,12
168,9
169,8
170,10
171,12
172,13
173,10
174,10
175,11
176,16
177,14
178,12
179,16
180,20
181,11
182,12
183,14
184,12
185,10
186,11
187,9
188,9
189,12
190,12
191,9
192,13
193,19
194,15
195,12
196,12
197,10
198,17
199,11
200,10
201,14
202,13
203,16
204,10
205,12
206,16
207,17
208,9
209,13
210,15
211,21
212,16
213,10
214,11
215,11
216,10
217,18
218,9
219,19
220,9
221,13
222,9
223,18
224,14
225,9
226,10
227,17
228,15
229,15
230,8
231,11
232,13
233,19
234,27
235,19
236,18
237,14
238,12
239,9
240,11
241,16
242,19
243,38
244,17
245,11
246,18
247,34
248,20
249,18
250,22
251,19
252,11
253,11
254,11
255,12
256,26
257,14
258,39
259,13
260,19
261,21
262,17
263,21
264,31
265,18
266,21
267,19
268,23
269,21
270,19
271,28
272,29
273,36
274,28
275,15
276,35
277,9
278,25
279,32
280,12
281,27
282,26
283,36
284,32
285,25
286,70
287,40
288,10
289,67
290,68
291,19
292,54
293,21
294,27
295,74
296,34
297,41
298,20
299,40
