episodes,rewards
0,17
1,21
2,11
3,68
4,14
5,29
6,23
7,15
8,27
9,25
10,16
11,19
12,40
13,18
14,22
15,12
16,28
17,16
18,15
19,18
20,9
21,52
22,21
23,33
24,25
25,45
26,20
27,30
28,22
29,14
30,34
31,14
32,32
33,18
34,13
35,19
36,26
37,26
38,26
39,28
40,9
41,26
42,31
43,34
44,13
45,35
46,29
47,12
48,24
49,20
50,17
51,28
52,13
53,26
54,18
55,50
56,13
57,38
58,31
59,15
60,10
61,12
62,45
63,67
64,27
65,24
66,39
67,38
68,32
69,24
70,12
71,19
72,18
73,27
74,22
75,59
76,10
77,12
78,22
79,15
80,23
81,26
82,59
83,18
84,28
85,18
86,21
87,25
88,26
89,12
90,32
91,15
92,12
93,14
94,25
95,22
96,32
97,36
98,27
99,25
100,30
101,19
102,26
103,17
104,16
105,46
106,27
107,14
108,30
109,17
110,17
111,11
112,21
113,12
114,37
115,17
116,9
117,30
118,24
119,31
120,26
121,60
122,34
123,32
124,29
125,16
126,33
127,11
128,20
129,36
130,26
131,25
132,61
133,29
134,15
135,56
136,30
137,50
138,16
139,24
140,12
141,23
142,22
143,24
144,12
145,38
146,85
147,37
148,15
149,15
150,52
151,14
152,18
153,14
154,24
155,25
156,21
157,46
158,28
159,34
160,115
161,12
162,19
163,17
164,24
165,24
166,75
167,41
168,53
169,17
170,26
171,35
172,32
173,48
174,22
175,65
176,25
177,18
178,33
179,31
180,25
181,33
182,17
183,49
184,11
185,16
186,12
187,12
188,29
189,23
190,73
191,18
192,38
193,29
194,45
195,18
196,50
197,54
198,61
199,43
200,45
201,27
202,26
203,42
204,36
205,28
206,28
207,65
208,56
209,22
210,24
211,109
212,14
213,42
214,71
215,32
216,37
217,39
218,39
219,31
220,30
221,56
222,15
223,54
224,41
225,30
226,47
227,52
228,33
229,71
230,31
231,27
232,58
233,25
234,74
235,50
236,29
237,62
238,65
239,94
240,50
241,52
242,17
243,43
244,29
245,37
246,26
247,22
248,12
249,34
250,48
251,59
252,99
253,61
254,62
255,68
256,29
257,87
258,22
259,26
260,79
261,33
262,29
263,70
264,36
265,11
266,20
267,68
268,61
269,160
270,73
271,47
272,37
273,55
274,32
275,48
276,100
277,341
278,41
279,35
280,69
281,94
282,55
283,57
284,98
285,27
286,44
287,115
288,77
289,20
290,52
291,69
292,128
293,43
294,68
295,173
296,96
297,28
298,71
299,19
