episodes,rewards
0,17
1,9
2,9
3,9
4,8
5,9
6,8
7,7
8,8
9,8
10,8
11,8
12,7
13,7
14,9
15,8
16,9
17,8
18,7
19,8
20,9
21,9
22,9
23,8
24,8
25,9
26,7
27,8
28,8
29,9
30,9
31,9
32,9
33,8
34,8
35,7
36,8
37,8
38,9
39,9
40,10
41,8
42,8
43,9
44,8
45,9
46,9
47,8
48,8
49,8
50,7
51,8
52,7
53,9
54,7
55,9
56,8
57,8
58,9
59,9
60,9
61,9
62,8
63,9
64,7
65,8
66,9
67,8
68,9
69,8
70,8
71,8
72,7
73,8
74,9
75,9
76,9
77,7
78,8
79,8
80,9
81,8
82,8
83,8
84,8
85,8
86,7
87,8
88,7
89,10
90,9
91,9
92,8
93,8
94,9
95,8
96,9
97,9
98,9
99,7
100,10
101,8
102,9
103,8
104,8
105,9
106,9
107,8
108,8
109,8
110,9
111,9
112,7
113,7
114,8
115,9
116,8
117,9
118,7
119,9
120,9
121,7
122,7
123,8
124,9
125,8
126,8
127,9
128,8
129,9
130,8
131,9
132,8
133,8
134,8
135,8
136,9
137,7
138,9
139,8
140,8
141,8
142,9
143,8
144,7
145,7
146,7
147,8
148,8
149,8
150,8
151,8
152,8
153,7
154,7
155,9
156,7
157,8
158,9
159,8
160,7
161,7
162,9
163,8
164,8
165,9
166,7
167,9
168,9
169,9
170,9
171,8
172,9
173,9
174,8
175,9
176,8
177,9
178,9
179,8
180,8
181,9
182,8
183,10
184,9
185,8
186,7
187,8
188,10
189,9
190,9
191,9
192,9
193,10
194,9
195,9
196,7
197,8
198,8
199,8
200,7
201,9
202,8
203,8
204,8
205,8
206,9
207,9
208,8
209,8
210,8
211,9
212,9
213,9
214,8
215,9
216,8
217,7
218,9
219,9
220,9
221,8
222,8
223,9
224,8
225,9
226,8
227,7
228,8
229,9
230,9
231,8
232,8
233,9
234,9
235,8
236,8
237,8
238,9
239,8
240,8
241,8
242,8
243,7
244,9
245,8
246,9
247,9
248,8
249,9
250,8
251,8
252,8
253,8
254,7
255,9
256,8
257,9
258,8
259,8
260,8
261,8
262,8
263,8
264,8
265,7
266,8
267,8
268,8
269,9
270,10
271,9
272,9
273,7
274,8
275,8
276,9
277,9
278,8
279,9
280,8
281,8
282,9
283,7
284,9
285,9
286,9
287,9
288,9
289,9
290,8
291,9
292,9
293,9
294,9
295,8
296,8
297,8
298,7
299,8
