episodes,rewards
0,-90.37697127470561
1,-131.2830541451822
2,-425.86092877488954
3,-382.8907772060096
4,-162.094702936047
5,-134.27555530855528
6,-153.0496699812482
7,-96.045585001742
8,-91.73633560811123
9,-151.2969853330625
10,-109.06871381154328
11,8.899646804068922
12,-116.39233136576675
13,-321.09577447437437
14,-168.36697926721496
15,-162.84048610130554
16,-109.82200090520263
17,-81.84872592016694
18,-98.90975072821006
19,-326.38578742684683
20,-91.41829630993564
21,-420.48350342396833
22,-74.75608367817723
23,-461.0400954792781
24,-91.3797004140419
25,-44.140032817194594
26,-108.31807355570619
27,-197.70989151247537
28,-278.382206737048
29,-369.8616510966023
30,-319.88986462582875
31,-131.90083046336827
32,-107.53953257940647
33,-407.0449567739448
34,-303.87443991871
35,-98.87572508987543
36,-188.23492274169814
37,-424.94395520602234
38,-239.1129752354501
39,-273.7027509832221
40,-53.027552244894395
41,-78.04661476572034
42,-270.2751318369542
43,-217.93146129743775
44,-111.00802924260432
45,-43.464610579743216
46,-344.7550471587434
47,-198.0246138919635
48,-8.979404998584911
49,-356.0331555032342
50,-313.60970256444705
51,-51.65224066345489
52,-255.20653194656134
53,-237.85634898948106
54,-185.18056098745097
55,-193.93651611004668
56,-241.4954270398515
57,-92.3832567670467
58,-289.21030760800534
59,-48.98589424133968
60,-302.51672252131505
61,-75.98516662290959
62,-51.26075514625731
63,-364.611214968721
64,-66.65968049946673
65,-275.61317187189405
66,-246.24615713960623
67,-304.15796300652494
68,-114.9170976690833
69,-267.2139795920014
70,-179.27216013148242
71,-305.85235759752334
72,-259.9165530544012
73,-139.53342776846813
74,-221.23398057282412
75,-78.77208303716567
76,-412.38890882713946
77,-338.6438164901836
78,-336.09706972075895
79,-238.19847137431972
80,-342.734069751737
81,-152.1355151352264
82,-469.8556472454171
83,-216.23064235465282
84,-194.98047714045464
85,-155.35296790655894
86,-166.12144191428334
87,-58.60032288297671
88,-149.56597430474937
89,-229.93677401608582
90,-61.480113379954645
91,-196.1062003857176
92,-170.56569452068322
93,-34.02604379052467
94,-203.85148861112532
95,-213.19637704970313
96,-71.87908958296545
97,-146.71596384613156
98,-51.13821840225056
99,-41.977396743545086
100,-60.26318485125098
101,-220.17000268490034
102,-127.6912774438594
103,-218.7388677854305
104,-233.10180123962863
105,-79.39941309716247
106,-83.33326194294963
107,100.3084848266075
108,-172.47926337012854
109,-99.70205585942888
110,-177.58757921675928
111,5.270289520365125
112,-92.12854791469528
113,-121.15115901523296
114,-45.59019120941865
115,-319.03522937195237
116,-74.4080357374254
117,48.71278512096719
118,-110.53367871163141
119,-194.48972158058768
120,-32.24819374145177
121,-162.0453073377005
122,-74.68047535787872
123,-140.31136242483115
124,-71.58632976372195
125,-167.7072771322275
126,-192.2424414280777
127,-294.71423623800155
128,-103.61708194896683
129,-116.53317957142211
130,-53.921298192321025
131,-126.22582038026121
132,-146.35144122259277
133,-195.95159492913575
134,-198.40062376827052
135,-194.1717878388207
136,-206.1089783365414
137,-202.81383007684553
138,-44.933902596415436
139,-48.599275699360135
140,-84.03954057996671
141,-114.57899870073616
142,-261.6162710758489
143,-209.14785381984814
144,-97.84009721118667
145,-183.4480697837577
146,-366.28326050657165
147,-86.36570038183697
148,-364.4604884947477
149,21.76533686847737
150,-423.91288556508806
151,-108.14169095426229
152,-157.74876646965618
153,-193.44544560738348
154,-29.626087953747003
155,-29.49105893380262
156,-129.2882838999921
157,-281.86148498724606
158,-248.6340505759935
159,-131.69297122284257
160,-107.05498877994565
161,-91.41105426694111
162,-214.16944655256643
163,-63.13133742253982
164,-68.96385778992689
165,-99.07077091924978
166,-107.3819011534492
167,-94.3394152141996
168,-145.0629974045635
169,-50.14753443721713
170,-79.45368716292558
171,-133.59950670719348
172,-155.70328997002798
173,-37.92188404911931
174,-48.325139665735136
175,-189.82119159295175
176,-210.62704904588895
177,-72.48222643542013
178,-149.60649030657567
179,-71.55725217484711
180,-79.52285353300417
181,-73.40432107185048
182,-130.41963044513034
183,-93.83192082189085
184,-94.82526157025679
185,-39.6803763958339
186,-123.34560635325604
187,-125.68195923574257
188,-142.2280254605618
189,-157.69224937272736
190,-143.82760381203298
191,-162.86962012819336
192,-176.78693006401227
193,-62.06910847795521
194,16.080104343179826
195,-104.76249302317979
196,-62.181353512034605
197,-467.7922776119032
198,-108.60253349560506
199,-77.1933918296555
200,-180.6470345726322
201,-238.9885301849655
202,-311.2945761009944
203,-116.90386029721742
204,-66.94542994906391
205,-87.9226962830341
206,-70.65856738686011
207,-321.38121400463535
208,-27.713087414436984
209,-57.76374049872926
210,-354.9912891271311
211,-82.20039070802687
212,-108.16728799092556
213,-338.1247173318545
214,-96.34309918214971
215,-350.64403114812893
216,-234.49907075482008
217,-103.08022709919256
