episodes,rewards
0,11
1,14
2,18
3,32
4,22
5,9
6,26
7,10
8,14
9,9
10,11
11,12
12,13
13,13
14,11
15,13
16,14
17,17
18,11
19,12
20,10
21,25
22,11
23,18
24,8
25,16
26,15
27,24
28,21
29,21
30,11
31,20
32,12
33,20
34,20
35,14
36,17
37,20
38,23
39,27
40,17
41,11
42,14
43,36
44,23
45,48
46,35
47,17
48,68
49,20
50,84
51,55
52,16
53,33
54,85
55,59
56,45
57,63
58,49
59,51
60,79
61,27
62,63
63,86
64,58
65,55
66,101
67,63
68,299
69,107
70,175
71,208
72,175
73,233
74,168
75,331
76,153
77,50
78,48
79,110
80,86
81,118
82,146
83,129
84,123
85,118
86,310
87,346
88,177
89,139
90,108
91,177
92,473
93,281
94,157
95,321
96,354
97,263
98,381
99,114
100,370
101,278
102,77
103,102
104,105
105,107
106,130
107,126
108,48
109,53
110,99
111,47
112,33
113,62
114,97
115,150
116,147
117,158
118,140
119,126
120,153
121,208
122,122
123,141
124,170
125,129
126,145
127,166
128,178
129,363
130,390
131,165
132,227
133,132
134,291
135,415
136,522
137,707
138,923
139,215
140,236
141,460
142,386
143,361
144,1212
145,222
146,178
147,191
148,163
149,282
150,205
151,230
152,186
153,151
154,145
155,149
156,188
157,156
158,212
159,155
160,267
161,138
162,177
163,320
164,152
165,144
166,629
167,240
168,606
169,238
170,925
171,1141
172,746
173,796
174,439
175,614
176,630
177,1411
178,1893
179,1192
180,385
181,695
182,280
183,766
184,462
185,459
186,518
187,540
188,468
189,542
190,589
191,328
192,689
193,640
194,710
195,573
196,550
197,543
198,1002
199,755
200,726
201,473
202,2227
203,670
204,875
205,446
206,434
207,673
208,651
209,871
210,915
211,491
212,2065
213,457
214,1760
215,1161
216,1283
217,361
218,778
219,230
220,348
221,234
222,299
223,327
224,192
225,259
226,197
227,162
228,250
229,156
230,246
231,171
232,360
233,441
234,601
235,358
236,748
237,1602
238,1359
239,918
240,1110
241,901
242,827
243,569
244,728
245,913
246,414
247,332
248,347
249,355
250,363
251,353
252,245
253,308
254,292
255,340
256,343
257,326
258,374
259,348
260,433
261,374
262,366
263,562
264,1364
265,654
266,553
267,674
268,1032
269,1073
270,498
271,657
272,367
273,405
274,1490
275,1041
276,1314
277,1045
278,1134
279,648
280,502
281,741
282,303
283,194
284,231
285,193
286,217
287,168
288,140
289,218
290,177
291,159
292,173
293,320
294,200
295,249
296,157
297,241
298,238
299,327
